id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,assist,qualifier/9/value,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/12/value,qualifier/14/value,qualifier/11/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2551397063,1,34,16,0,0,e90fnsgtnamze3yssxpg392eb,1,0,0,2023-05-20T04:43:37.329Z,2023-05-20T06:05:30Z,4291887947,194,6w26g83j8eztacwrfa4ilvh05,4291887943,130,4,4291887951,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4291887937,30,"eu0wama1jzd9er063es4p3b9x, 1vodims2kc52x1ew6acbj0wr9, 5rqe1mdhd56mpjkas654hby3u, 80q72r0bt6k15fgvbfvs3llud, 406wrekzsvvqqo9jgv2lk1d5, 6w26g83j8eztacwrfa4ilvh05, 8k94yjnb64nf994hbmpaiieol, 1t02yvbqtxoq0xlil3o88bgx6, cm1x3wpag38ievovx1azsp9lh, 1zckxb4ugqeuc50tggo5cohyh, 5tkfqt3adzkyb7rxjdni12vh1, 3o1ca5xdl2d20r1cwx3r548gl, 489o5ixewcy1xkpvqaxrbwgyd, anzbyfw36kbait6hvlzornuok, 2otou563dkse1ojis549sw1rd, cam8s80ouxcw7900f0qiwoacq, cxmuf2ztbfbfw5p2fmr7uzbvt, dqdflrd7ox6ord50i2qwu0416",4291887949,197,5039,4291887945,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4291887939,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4291887941,59,"27, 5, 17, 10, 4, 3, 37, 8, 9, 39, 11, 15, 16, 33, 35, 41, 44, 49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551400125,1,34,16,0,0,9s2g5k3dlmfii452t8edaeozh,1,0,0,2023-05-20T05:08:53.863Z,2023-05-20T05:08:54Z,4291905351,194,51xel26o3uzvjdbcywcunmu3t,4291905355,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4291905347,130,2,4291905343,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4291905345,59,"29, 22, 2, 14, 55, 5, 30, 21, 40, 37, 33, 3, 8, 13, 17, 25, 32, 31",4291905341,30,"8i7aw5yhze1xiw2d2g5wax91w, 15b53vkcltdxtbt1zt4peswd1, 12lc6edtue24savqtmbkyu7rp, cs1e2ou4h94utke3qdy14fiay, cqjhp31uh46s2jfedo48h86ol, cvobb9nkum41ldfnfszy42xka, 8shr0ghxn6d8uoiiideh3rmne, 4mnxvvl5unk1t8k2lkac3yor9, 51xel26o3uzvjdbcywcunmu3t, 4c03ukpq8hq69ykgcypq5jf8p, 5rilbggz566o3ixxga08zimdx, 21urhapqadraths78se3rh0ph, 22ad41qtjnxsdo3piosg6mn6d, 412cup9h8jkgivwiroq8mpfjd, 2gwfsjoj9diiuxr1kdga93mc5, 6dtp194pewnyuhwkxcn2xpf8q, 7xvwcat6dce9y9obgc8e2s1k9, 950svxoswapg0ws25uo7jy2nd",4291905353,197,11922,4291905349,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551408887,2,32,1,0,0,9s2g5k3dlmfii452t8edaeozh,1,0,0,2023-05-20T06:03:33.228Z,2023-05-20T06:03:33Z,4291944415,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551408891,2,32,1,0,0,e90fnsgtnamze3yssxpg392eb,1,0,0,2023-05-20T06:03:33.228Z,2023-05-20T06:03:35Z,4291944427,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551408895,3,1,1,0,0,9s2g5k3dlmfii452t8edaeozh,1,50,50,2023-05-20T06:03:33.328Z,2023-05-20T06:03:37Z,4291944479,213,3.4,4291944475,141,41.2,4291944471,56,Back,4291944481,279,S,4291944477,212,21.6,4291944473,140,30.2,,,,,,,4c03ukpq8hq69ykgcypq5jf8p,Y. Kakita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551408907,4,1,1,0,4,9s2g5k3dlmfii452t8edaeozh,0,34.2,37.1,2023-05-20T06:03:37.451Z,2023-05-20T06:09:12Z,4291944557,1,,4291944549,140,84.0,4291944553,212,57.1,4291944545,155,,4291944547,56,Center,4291944555,213,0.4,4291944551,141,70.9,,,,cqjhp31uh46s2jfedo48h86ol,N. Ueda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551408915,3,12,1,0,7,e90fnsgtnamze3yssxpg392eb,1,19.1,27.3,2023-05-20T06:03:40.540Z,2023-05-20T06:09:23Z,4291944597,141,7.0,4291944599,212,15.5,4291944601,213,5.2,4291944593,56,Back,4291944595,140,25.9,4291951509,15,,,,,,,,406wrekzsvvqqo9jgv2lk1d5,Y. Kimoto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551408925,5,1,1,0,10,9s2g5k3dlmfii452t8edaeozh,0,70.7,94.1,2023-05-20T06:03:44.195Z,2023-05-20T06:09:43Z,4291944665,212,21.9,4291944657,155,,4291944659,56,Left,4291944661,140,89.6,4291944667,213,5.8,4291944663,141,80.5,,,,,,,12lc6edtue24savqtmbkyu7rp,K. Anzai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551408931,4,49,1,0,14,e90fnsgtnamze3yssxpg392eb,1,6.1,19.1,2023-05-20T06:03:48.155Z,2023-05-20T06:03:48Z,,,,,,,,,,,,,,,,,,,,,,,,,406wrekzsvvqqo9jgv2lk1d5,Y. Kimoto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551408937,5,1,1,0,15,e90fnsgtnamze3yssxpg392eb,0,6.1,19.1,2023-05-20T06:03:48.445Z,2023-05-20T06:03:50Z,4291944719,1,,4291944707,157,,4291944711,140,42.6,4291944715,212,38.4,4291944709,56,Back,4291944713,141,17.0,4291944717,213,6.2,,,,406wrekzsvvqqo9jgv2lk1d5,Y. Kimoto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
