id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/9/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/16/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/17/value
2525988093,1,34,16,0,0,3vfso415vj7uitnunviuzdyg3,1,0,0,2023-03-31T09:09:00.458Z,2023-03-31T10:08:30Z,4149700305,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4149700317,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4149700311,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4149700303,30,"7lxjfpbed6rmm2qmzs6r1c2j9, 4seh91gn4cj2l3x7kg19duqxh, 7izhszqmb1a9z5na5e0utnc6i, 3ihaypy0xs7cpw7ij61qislat, 5fglqrb2jo1ideuag4pjit9sl, 6gzt9s90prbrhsw4t72vb4jx1, a1uzi9vgpfy7qo1eay243dsk5, b5nc0tgc33wklhsekw3jklylm, da5nt2kexuabduzu4qqxf09ud, 1pcyox1b50pxufww0v07c5boq, do6zvquhc4udqtp900l1cid0q, cqclwglpzg5flou0r0x3lm21h, 4pqi5vt820333t5zsj2refc2d, 2mfunwzltzdnmzlcjyvx752i, dxtg6w2dmsugobe3fj4sutmfp, 8wnmymj8du9xj1jhp90qs366s, eo5kfco94g7az5x9dn2mtr78q, 2pp6fnkqy9gi525viea5c9ene",4149700313,194,4seh91gn4cj2l3x7kg19duqxh,4149700307,59,"1, 2, 15, 19, 28, 5, 14, 3, 30, 21, 8, 4, 9, 12, 17, 25, 26, 40",4149700315,197,4167,4149700309,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2525990581,1,34,16,0,0,3lyo0vqgndy4fuzlfo5l9ql30,1,0,0,2023-03-31T09:22:09.696Z,2023-03-31T10:01:05Z,4149711339,30,"2a58okwh0up45xrwo9bcpallh, exhzpkx6j2ffgblv06ummy356, 4dcx2psoevoocmxjm4mrokyqx, 1lpeuezmfcsmjnaxuts5hrx90, bcqjrpgcfyzggcts863ck11bd, 95xv2vt9zeaisdth7ng5nfy8k, 1d57az0nmca33zgcta21912p5, cgv10p2fly70zfpm74nmyx8bu, 3vw44ny2hu4m11p3ik9y0lk2x, 5vwzliaibdlhfm38g8v5z0r8p, 9bk61hqoeloi792bgxkq0owyd, b1yiwq0bmix3nvs4snp5gmmsp, 6vedxvw1nzhkl23yi0wkxaaj9, 3n5ebr69aqovbxiw13g2zymeh, 7zxscftntxqon7k8h7ozac3fu, 5e8x9ph9g69u29zz3u7xwsm0a, exyx48j2vy8pe6e2t126f0650, aju96fh38fg93pp3dasz29hwp",4149711343,59,"31, 28, 2, 34, 4, 20, 10, 5, 41, 17, 14, 6, 9, 11, 19, 21, 43, 50",4149711353,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4149711345,130,19,4149711349,194,bcqjrpgcfyzggcts863ck11bd,4149711341,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4149711347,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4149711351,197,5064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2525996917,2,32,1,0,0,3vfso415vj7uitnunviuzdyg3,1,0,0,2023-03-31T10:03:10.270Z,2023-03-31T10:03:10Z,4149739139,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2525996919,2,32,1,0,0,3lyo0vqgndy4fuzlfo5l9ql30,1,0,0,2023-03-31T10:03:10.270Z,2023-04-05T14:46:45Z,4149739141,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2525996921,3,1,1,0,0,3vfso415vj7uitnunviuzdyg3,1,50.2,50.1,2023-03-31T10:03:10.370Z,2023-03-31T10:04:50Z,4149739149,212,27.5,4149739151,213,2.8,4149739147,141,62.9,4149739153,279,S,4149739143,56,Back,4149739145,140,25.4,,,,,,,do6zvquhc4udqtp900l1cid0q,Y. Koizumi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2525996933,4,1,1,0,3,3vfso415vj7uitnunviuzdyg3,0,26.2,63,2023-03-31T10:03:13.548Z,2023-03-31T10:03:17Z,4149739199,212,50.7,4149739203,1,,4149739197,141,8.5,4149739191,155,,4149739193,56,Right,4149739201,213,5.5,4149739195,140,59.2,,,,6gzt9s90prbrhsw4t72vb4jx1,M. Høibråten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2525996937,5,44,1,0,6,3vfso415vj7uitnunviuzdyg3,1,61.4,6.9,2023-03-31T10:03:16.444Z,2023-03-31T10:05:33Z,4149739221,56,Right,4149741057,233,3,4149739223,286,,,,,,,,,,,,,,,,,4seh91gn4cj2l3x7kg19duqxh,H. Sakai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2525996941,3,44,1,0,6,3lyo0vqgndy4fuzlfo5l9ql30,0,38.6,93.1,2023-03-31T10:03:16.445Z,2023-03-31T10:05:33Z,4149741061,233,5,4149739243,56,Back,4149739245,285,,,,,,,,,,,,,,,,,4dcx2psoevoocmxjm4mrokyqx,H. Mitsumaru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2525996945,6,1,1,0,6,3vfso415vj7uitnunviuzdyg3,0,68.8,8.3,2023-03-31T10:03:16.660Z,2023-03-31T10:05:35Z,4149739261,140,70.7,4149739267,213,5.9,4149739255,3,,4149739265,212,2.2,4149739263,141,7.1,4149739257,168,,4149739259,56,Right,,,,4seh91gn4cj2l3x7kg19duqxh,H. Sakai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2525996951,4,61,1,0,6,3lyo0vqgndy4fuzlfo5l9ql30,1,36.3,94.8,2023-03-31T10:03:17.212Z,2023-03-31T10:05:34Z,4149739277,56,Back,,,,,,,,,,,,,,,,,,,,,,4dcx2psoevoocmxjm4mrokyqx,H. Mitsumaru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
