id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,keyPass,qualifier/13/value,qualifier/16/value,assist
2526267133,1,34,16,0,0,9s2g5k3dlmfii452t8edaeozh,1,0,0,2023-04-01T05:04:40.471Z,2023-04-01T06:18:36Z,4151170691,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4151170687,59,"29, 32, 2, 25, 55, 3, 15, 14, 40, 8, 13, 5, 22, 27, 31, 33, 35, 37",4151170683,30,"8i7aw5yhze1xiw2d2g5wax91w, 7xvwcat6dce9y9obgc8e2s1k9, 12lc6edtue24savqtmbkyu7rp, 6dtp194pewnyuhwkxcn2xpf8q, cqjhp31uh46s2jfedo48h86ol, 21urhapqadraths78se3rh0ph, aa1f06qx3epbsge6s4ayd1e22, cs1e2ou4h94utke3qdy14fiay, 51xel26o3uzvjdbcywcunmu3t, 22ad41qtjnxsdo3piosg6mn6d, 412cup9h8jkgivwiroq8mpfjd, cvobb9nkum41ldfnfszy42xka, 15b53vkcltdxtbt1zt4peswd1, bqrfxy265rurcjw7c5swwjl9m, 950svxoswapg0ws25uo7jy2nd, 5rilbggz566o3ixxga08zimdx, dj2ukolvfyxahrzwp25q6hbhm, 4c03ukpq8hq69ykgcypq5jf8p",4151170693,194,22ad41qtjnxsdo3piosg6mn6d,4151170697,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4151170689,130,8,4151170685,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4151170695,197,11922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526267171,1,34,16,0,0,89wr6p2dkh7wjxtbwhtsruu02,1,0,0,2023-04-01T05:04:49.350Z,2023-04-01T05:04:49Z,4151170885,197,11401,4151170881,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4151170883,194,80qq4sxv5janjrt2in0qmgd79,4151170887,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4151170879,130,17,4151170873,30,"6vuryavylbdnwabe4g5yvgzxl, 4ps37rz4pj6015y18vgktyynd, 9lji59sodapv92xyenwbavr3d, 80qq4sxv5janjrt2in0qmgd79, czkrfln85uvtb58cau4kz5m5m, 5c2ydgdh3f14lya3spj89m0gl, d3aj0s7ozmpdbdtub8s5qo962, 20ckxhxmd6h2jwv1yqi243h05, 33w6jl3u5nonnwk29nrhv9xhx, bslybqpvcs3eosivpxaeksgyx, 1dta13hd6ajv6vw1c4sxmdzvt, 94zthueiu6uxw1ioe47x6pld6, 9bop4s7higfcspc38thnv7il1, 2su3ef2yrvsyy64fx6oyyc9g5, 7vmiyl7acw24rtxq2ev6m4up6, 4my8wr7hymw527avppuiojp5g, 9lsqinppc86dsw2sitt58lwph, 4g6mmxgmihcoe8t2y3q3al1t6",4151170877,59,"38, 11, 16, 19, 4, 33, 24, 7, 13, 10, 8, 3, 6, 9, 14, 15, 22, 23",4151170875,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526280521,2,32,1,0,0,89wr6p2dkh7wjxtbwhtsruu02,1,0,0,2023-04-01T06:03:27.634Z,2023-04-01T06:03:29Z,4151243115,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526280517,2,32,1,0,0,9s2g5k3dlmfii452t8edaeozh,1,0,0,2023-04-01T06:03:27.634Z,2023-04-01T06:03:27Z,4151243107,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526280531,3,1,1,0,0,89wr6p2dkh7wjxtbwhtsruu02,1,50.1,49.9,2023-04-01T06:03:27.734Z,2023-04-01T06:07:55Z,4151243155,141,51.5,4151243161,279,S,4151243151,56,Back,4151243157,212,21.7,4151243153,140,29.5,4151243159,213,3.1,,,,,,,bslybqpvcs3eosivpxaeksgyx,T. Morishima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526280557,4,1,1,0,4,89wr6p2dkh7wjxtbwhtsruu02,1,31.4,60.5,2023-04-01T06:03:32.472Z,2023-04-01T06:07:39Z,4151243281,212,43.2,4151243283,213,0.4,4151243285,1,,4151243275,56,Left,4151243277,140,69.4,4151243273,155,,4151243279,141,84.8,,,,czkrfln85uvtb58cau4kz5m5m,H. Araki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526280559,5,44,1,0,8,89wr6p2dkh7wjxtbwhtsruu02,1,71.1,86.3,2023-04-01T06:03:36.394Z,2023-04-01T06:03:38Z,4151243291,286,,4151243289,56,Left,4151243331,233,3,,,,,,,,,,,,,,,,33w6jl3u5nonnwk29nrhv9xhx,N. Ben Khalifa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526280565,3,44,1,0,8,9s2g5k3dlmfii452t8edaeozh,0,28.9,13.7,2023-04-01T06:03:36.395Z,2023-04-01T06:03:38Z,4151243315,56,Back,4151243349,233,5,4151243317,285,,,,,,,,,,,,,,,,,aa1f06qx3epbsge6s4ayd1e22,T. Fujii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526280563,6,1,1,0,8,89wr6p2dkh7wjxtbwhtsruu02,0,69.4,84.8,2023-04-01T06:03:36.478Z,2023-04-01T06:23:12Z,4151263767,233,5,4151243305,56,Center,4151243301,3,,4151243309,141,78.2,4151243307,140,75.6,4151243303,168,,4151243311,212,7.9,4151243313,213,5.7,33w6jl3u5nonnwk29nrhv9xhx,N. Ben Khalifa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526280577,4,1,1,0,11,9s2g5k3dlmfii452t8edaeozh,0,24.3,13.5,2023-04-01T06:03:39.495Z,2023-04-01T06:03:39Z,4151243375,157,,4151243377,56,Back,4151243379,140,34.1,4151243381,141,4.3,4151243387,1,,4151243383,212,12.0,4151243385,213,5.7,,,,cs1e2ou4h94utke3qdy14fiay,Y. Higuchi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
