id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/11/value,qualifier/12/value,qualifier/16/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId
2526257347,1,34,16,0,0,6bus1cl4b6zdm93290r02o7cx,1,0,0,2023-04-01T04:05:19.171Z,2023-04-01T04:05:19Z,4151120129,59,"1, 14, 44, 7, 4, 3, 10, 16, 9, 27, 17, 6, 11, 15, 18, 19, 24, 26",4151120139,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4151120133,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4151120127,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4151120135,194,6vkppmpdrvrujfp035ucpib8q,4151120137,197,14530,4151120125,30,"7j7c0l6xctuoauvg1tpni3ysp, 23ejdwwhvzovvi7jmek50dyol, 3qguujjae7411ruqhztrfojys, 6vkppmpdrvrujfp035ucpib8q, 82f876uvvivzq5hspoy6vpfmy, 12ndgojwoabbe9igew1ymcnop, dsg6lclcyu8gvsyyn6jnoii95, 1zoe7llh5n846ipo1i4oqse7d, 7csua09fwbprxmixvu567yvv9, 74ebuvw74k1iwcq5nafqijvxm, 5cwzgbnlpamgpiwjlgn61i8k5, a3ddgi8xegnry9padlgmxhz2t, 3dcmvl6ile1c42e7zzw4e139x, 493qw13cbziuyumsb1s01cufo, f0yeq2v114x8is6rbrj6xxrhm, ez252u15v75qpotw00x7n3rhl, a9lb9wl7lf9lxpmwril1pyfop, 8m7y7kmzgy3aqwvlt1ywp1tjp",4151120131,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526257753,1,34,16,0,0,bbt5nqwufsne7r0zfa6pvpmfa,1,0,0,2023-04-01T04:09:22.302Z,2023-04-01T04:56:48Z,4151123273,59,"1, 24, 19, 16, 23, 15, 5, 18, 10, 11, 14, 3, 8, 22, 25, 26, 27, 40",4151123275,130,4,4151123277,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4151123271,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4151123269,30,"71nmf5ieohq83rj1ah9j94a21, bntvupdmnof1hzo1tfa00yfv9, 1ma8gce4os15aa6p7u24dlj3d, c1bmg5i86q1qye115yyz4qvah, f2mpyljll9npb71owp1tlzy7d, 666fx7wetbxy3ri2hlfdn8ph, 83wyz3tyibxx8t5bnvtedpjo5, 9z3v28ssd5e50tt745583obth, 22imd9on624739u8fym5n640l, 3bl0mhzv53z17qkbezviavg0l, 196dypy60x08uuc7cltabdcr9, 8ms57twka5pm6och4fndo2r8q, 9alwmyk45xpxb6sp2nto9iod1, 2fpbnagisq2zqfordsc9fkjfu, 3eyq5jpfdsk0zp1hhmono2wgl, 62v83t4tsl4zt6kquo32vqay1, go7p2ijq9w10e8k9q4wz6c5w, 3pv358rkmu85la3dsk989fxm1",4151123281,197,11145,4151123279,194,83wyz3tyibxx8t5bnvtedpjo5,4151123283,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526266765,2,32,1,0,0,bbt5nqwufsne7r0zfa6pvpmfa,1,0,0,2023-04-01T05:03:16.737Z,2023-04-01T05:03:19Z,4151169005,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526266761,2,32,1,0,0,6bus1cl4b6zdm93290r02o7cx,1,0,0,2023-04-01T05:03:16.737Z,2023-04-06T13:28:24Z,4151168997,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526266771,3,1,1,0,0,bbt5nqwufsne7r0zfa6pvpmfa,1,50,49.9,2023-04-01T05:03:16.837Z,2023-04-01T05:55:19Z,4151169023,141,53.6,4151169025,212,20.8,4151169021,140,30.3,4151169029,279,S,4151169027,213,3.0,4151169019,56,Back,,,,,,,c1bmg5i86q1qye115yyz4qvah,M. Saito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526266797,4,1,1,0,2,bbt5nqwufsne7r0zfa6pvpmfa,0,32.6,67.2,2023-04-01T05:03:19.731Z,2023-04-01T05:03:24Z,4151169133,141,36.3,4151169129,56,Center,4151169135,212,66.3,4151169127,155,,4151169131,140,92.5,4151169139,1,,4151169137,213,6.0,,,,1ma8gce4os15aa6p7u24dlj3d,R. Hatsuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526266807,3,52,1,0,8,6bus1cl4b6zdm93290r02o7cx,1,6.1,58.8,2023-04-01T05:03:25.378Z,2023-04-06T13:53:21Z,4167528985,376,,,,,,,,,,,,,,,,,,,,,,,7j7c0l6xctuoauvg1tpni3ysp,T. Wakahara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526266883,4,1,1,0,18,6bus1cl4b6zdm93290r02o7cx,0,15.6,42.1,2023-04-01T05:03:35.167Z,2023-04-01T05:03:39Z,4151169439,140,71.0,4151169443,212,60.8,4151169445,213,6.0,4151169437,56,Right,4151169441,141,15.9,4151169447,1,,4151169435,199,,,,,7j7c0l6xctuoauvg1tpni3ysp,T. Wakahara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526266891,5,1,1,0,23,bbt5nqwufsne7r0zfa6pvpmfa,0,28,85.3,2023-04-01T05:03:39.747Z,2023-04-01T05:03:41Z,4151169493,213,5.7,4151169489,141,73.3,4151169491,212,14.6,4151169487,140,39.5,4151169483,3,,4151169485,56,Back,,,,,,,1ma8gce4os15aa6p7u24dlj3d,R. Hatsuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526266905,5,1,1,0,25,6bus1cl4b6zdm93290r02o7cx,1,61.8,28,2023-04-01T05:03:42.320Z,2023-04-01T05:03:45Z,4151169559,140,70.4,4151169565,213,5.3,4151169555,3,,4151169563,212,16.8,4151169557,56,Right,4151169561,141,7.1,,,,,,,1zoe7llh5n846ipo1i4oqse7d,S. Takeda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
