id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/8/value,qualifier/9/value,keyPass,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/13/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2544190419,1,34,16,0,0,18c8ibslzapz40lfb8y5vygcs,1,0,0,2023-05-06T09:07:46.889Z,2023-05-06T10:07:46Z,4253474863,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4253474869,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4253474873,197,5030,4253474867,130,17,4253474875,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4253474861,30,"jywyirljzj827gq6pkgb34k5, dg1wh53t8qyb8l2dkeibtnkkp, 8u07m36pydqgg68citu7pilii, 96c2ojt4sgo4gfxs7vt1qfxed, dnwwsdy1tfz0o7t0odssfstsl, ecdovu3igm2rwrf6mwannhwmi, a6mikq97x6ldarn4j7i16gatx, b9q7re294ul5aq3jxch5oomol, 3g0uy8yhevhod17kgrtho63th, an0ry25y0g1r231rva3xbgs15, 1enckn6zmewa3nupsm95mgkb9, 4q09fnw7soqo8q1u50wfde76d, 5c3w3zdu6bojrfd8gt8u35o7p, iu0xfgqmdqhn8vpgbqwpbnit, dnvqxvpw9c21y0mb2wdxyua51, 4wafzcrbcql65swyc2rsiilt5, 3a9pz8paxic5ggg7qfjmy8xlg, 4o4vrnjw7c3g7j5aw5utyw1cl",4253474865,59,"1, 34, 17, 3, 4, 13, 15, 5, 9, 7, 10, 2, 6, 16, 18, 24, 42, 77",4253474871,194,a6mikq97x6ldarn4j7i16gatx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544191399,1,34,16,0,0,92br3632xgmc25jvr0jesfvl6,1,0,0,2023-05-06T09:10:09.521Z,2023-05-06T10:00:18Z,4253480367,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4253480373,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4253480369,194,8bduzkapiw865xcl3xstzior9,4253480363,59,"99, 3, 24, 18, 2, 20, 23, 48, 11, 47, 8, 1, 5, 6, 7, 9, 13, 37",4253480371,197,19125,4253480359,30,"2mlhzuv74jc84rckx21ctofd, 4xg5pywcbv3pho0idx326s7e2, 76x9dtsoan0d48m4h6gjr8bca, ejiqb92493nx7l8wifxbw5hp1, 23n7wb0am537w2rutg074gpg5, 8bduzkapiw865xcl3xstzior9, i3mv8ja69kgrfm3leprosfe1, crs9cbmof39x40h175yi7naol, 4g3jv6nwzqmv6tow2stbtrt1x, ewm5o6wx18ujlzhyai425ak15, 2kcise3j2ab8hq0n2vgf391wp, bnejmblsp0svuw4x3ngkgwonp, 8d2l4zwaz145adziclzc764t1, 3erz4yrlw2m15mxxocwq31g16, 2shd4ptk7rfpalkpnrfodgded, cts4m629mfz3knbeyri4021n9, 7yt16wh1vrezxyfbvtrpn78mi, co2jr63m3drr3y0ww8ytfexw4",4253480365,130,4,4253480361,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544211517,2,32,1,0,0,92br3632xgmc25jvr0jesfvl6,1,0,0,2023-05-06T10:03:28.271Z,2023-05-06T10:03:28Z,4253582175,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544211519,2,32,1,0,0,18c8ibslzapz40lfb8y5vygcs,1,0,0,2023-05-06T10:03:28.271Z,2023-05-11T13:33:33Z,4253582177,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544211529,3,1,1,0,0,18c8ibslzapz40lfb8y5vygcs,1,50,50,2023-05-06T10:03:28.371Z,2023-05-06T10:03:59Z,4253582201,140,32.4,4253582209,279,S,4253582203,141,51.2,4253582207,213,3.1,4253582199,56,Back,4253582205,212,18.5,,,,,,,1enckn6zmewa3nupsm95mgkb9,Mateus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544211565,4,1,1,0,3,18c8ibslzapz40lfb8y5vygcs,1,33.2,47.9,2023-05-06T10:03:31.543Z,2023-05-06T10:03:36Z,4253582401,140,40.5,4253582405,212,18.6,4253582403,141,23.0,4253582399,56,Back,4253582407,213,5.1,,,,,,,,,,dnwwsdy1tfz0o7t0odssfstsl,S. Nakatani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544211579,5,1,1,0,7,18c8ibslzapz40lfb8y5vygcs,0,54.9,12,2023-05-06T10:03:36.183Z,2023-05-06T10:03:40Z,4253582481,155,,4253582485,140,85.3,4253582491,213,0.5,4253582483,56,Center,4253582489,212,36.8,4253582493,1,,4253582487,141,38.9,,,,ecdovu3igm2rwrf6mwannhwmi,H. Fujii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544211571,3,44,1,0,10,92br3632xgmc25jvr0jesfvl6,1,13.8,61.6,2023-05-06T10:03:38.570Z,2023-05-06T10:03:40Z,4253582455,285,,4253582511,233,6,4253582453,56,Back,,,,,,,,,,,,,,,,8bduzkapiw865xcl3xstzior9,Kwon Kyung-Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544211583,6,44,1,0,10,18c8ibslzapz40lfb8y5vygcs,0,86.2,38.4,2023-05-06T10:03:38.571Z,2023-05-06T10:03:40Z,4253582525,233,3,4253582501,286,,4253582499,56,Center,,,,,,,,,,,,,,,,3g0uy8yhevhod17kgrtho63th,N. Sakai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544211575,4,12,1,0,10,92br3632xgmc25jvr0jesfvl6,1,13,62,2023-05-06T10:03:38.907Z,2023-05-11T13:38:11Z,4253582479,213,0.5,4253582477,212,8.7,4253582465,56,Back,4268393557,15,,4253582471,141,67.6,4253582467,140,20.5,,,,,,,8bduzkapiw865xcl3xstzior9,Kwon Kyung-Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544211591,7,15,1,0,12,18c8ibslzapz40lfb8y5vygcs,1,80.8,32.2,2023-05-06T10:03:41.255Z,2023-05-11T13:38:24Z,4253585577,230,99.3,4253585595,233,5,4253585579,231,50.7,4253585573,146,88.2,4253585571,458,,4253585565,102,49.3,4253585569,215,,4253582539,22,,an0ry25y0g1r231rva3xbgs15,R. Izumi,4253585351,82,4253585563,78,4253585567,103,19,4253582543,56,Center,4253585575,147,39.2,4253582541,18,4253585347,72,,,,,,,,,,,,,,,,,
2544211595,5,10,1,0,13,92br3632xgmc25jvr0jesfvl6,1,10.7,62.1,2023-05-06T10:03:41.355Z,2023-05-06T10:05:04Z,4253585385,233,7,4253582567,56,Back,4253582565,94,,,,,,,,,,,,,,,,,8bduzkapiw865xcl3xstzior9,Kwon Kyung-Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544212255,27,61,1,0,14,18c8ibslzapz40lfb8y5vygcs,0,80.8,32.4,2023-05-06T10:03:42.928Z,2023-05-06T10:05:40Z,4253586693,56,Center,,,,,,,,,,,,,,,,,,,,,,an0ry25y0g1r231rva3xbgs15,R. Izumi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544211599,6,49,1,0,15,92br3632xgmc25jvr0jesfvl6,1,26.1,71.8,2023-05-06T10:03:43.947Z,2023-05-06T10:03:44Z,,,,,,,,,,,,,,,,,,,,,,,,,crs9cbmof39x40h175yi7naol,H. Ishige,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544211603,7,50,1,0,16,92br3632xgmc25jvr0jesfvl6,1,25.8,71.4,2023-05-06T10:03:44.460Z,2023-05-06T10:03:47Z,4253582605,56,Back,4253582607,285,,4253582653,233,8,,,,,,,,,,,,,,,,crs9cbmof39x40h175yi7naol,H. Ishige,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544211609,8,7,1,0,16,18c8ibslzapz40lfb8y5vygcs,1,74.2,28.6,2023-05-06T10:03:44.461Z,2023-05-11T13:38:32Z,4253582621,56,Center,4253582649,233,7,4268394033,384,,4253582623,286,,,,,,,,,,,,,,dg1wh53t8qyb8l2dkeibtnkkp,T. Uchida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544212739,33,61,1,0,16,18c8ibslzapz40lfb8y5vygcs,1,68.5,30.1,2023-05-06T10:03:44.663Z,2023-05-06T10:06:48Z,4253588885,56,Center,,,,,,,,,,,,,,,,,,,,,,a6mikq97x6ldarn4j7i16gatx,S. Inagaki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544211617,9,1,1,0,17,18c8ibslzapz40lfb8y5vygcs,0,68.7,31,2023-05-06T10:03:46.230Z,2023-05-11T15:46:31Z,4253582681,56,Center,4268585083,233,8,4253582679,155,,4253582689,213,4.7,4253582683,140,68.7,4253582687,212,0.5,4268394373,286,,4253582685,141,30.3,b9q7re294ul5aq3jxch5oomol,K. Nagasawa,4268394371,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544211611,8,74,1,0,17,92br3632xgmc25jvr0jesfvl6,1,30.1,66.9,2023-05-06T10:03:46.231Z,2023-05-11T15:46:31Z,4268394451,285,,4253582625,56,Back,4268585087,233,9,,,,,,,,,,,,,,,,i3mv8ja69kgrfm3leprosfe1,Dawhan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544211623,9,1,1,0,18,92br3632xgmc25jvr0jesfvl6,0,33.2,70.2,2023-05-06T10:03:46.601Z,2023-05-11T13:39:01Z,4253582723,3,,4253582731,212,14.7,4253582729,141,85.7,4253582727,140,43.0,4253582733,213,0.8,4253582725,56,Back,,,,,,,crs9cbmof39x40h175yi7naol,H. Ishige,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544211627,10,49,1,0,21,18c8ibslzapz40lfb8y5vygcs,1,56.3,9.5,2023-05-06T10:03:49.911Z,2023-05-06T10:03:50Z,,,,,,,,,,,,,,,,,,,,,,,,,ecdovu3igm2rwrf6mwannhwmi,H. Fujii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544211643,11,1,1,0,22,18c8ibslzapz40lfb8y5vygcs,1,56.3,7.7,2023-05-06T10:03:50.647Z,2023-05-06T10:03:55Z,4253582833,213,0.1,4253582825,56,Right,4253582823,155,,4253582829,141,14.0,4253582831,212,43.2,4253582835,1,,4253582827,140,97.2,,,,ecdovu3igm2rwrf6mwannhwmi,H. Fujii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544211649,12,61,1,0,27,18c8ibslzapz40lfb8y5vygcs,0,97.2,14,2023-05-06T10:03:55.432Z,2023-05-06T10:03:55Z,4253582841,56,Right,,,,,,,,,,,,,,,,,,,,,,an0ry25y0g1r231rva3xbgs15,R. Izumi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544211651,10,5,1,0,27,92br3632xgmc25jvr0jesfvl6,1,-1.2,84.8,2023-05-06T10:03:55.915Z,2023-05-06T10:03:56Z,4253582843,56,Back,4253582845,346,,4253582853,233,13,,,,,,,,,,,,,,,,76x9dtsoan0d48m4h6gjr8bca,K. Kurokawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544211653,13,5,1,0,27,18c8ibslzapz40lfb8y5vygcs,0,101.2,15.2,2023-05-06T10:03:55.915Z,2023-05-06T10:27:49Z,4253582847,56,Right,4253582851,346,,4253582859,233,10,,,,,,,,,,,,,,,,an0ry25y0g1r231rva3xbgs15,R. Izumi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
