id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/10/value,qualifier/16/value,assist
2540445013,1,34,16,0,0,2cwez3hk2i75ope3qyu54cqh1,1,0,0,2023-04-29T04:45:12.115Z,2023-04-29T06:07:25Z,4233534229,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4233534235,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4233534237,197,5031,4233534233,130,8,4233534231,59,"1, 27, 2, 8, 4, 33, 18, 6, 11, 10, 7, 5, 16, 20, 21, 25, 28, 30",4233534239,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4233602329,194,crytuzcclp9vswqsnwwkvubit,4233534227,30,"2l3mrt15ldruy0y7b5n5aiz8p, 645fzooyxtlnw2fy87tys8cet, gdz8r5nsoq3gt8ujug4cv0mh, crytuzcclp9vswqsnwwkvubit, 4d97t25ita5v6jzni0vpnixg5, dmuwwelctq9hiy12xwwguiwdm, 585zyri5hq2bu4j8kmjhnxi39, acr0ml1scc6iyvg8yzk8s9rs9, 8dxp5caa7cl7yqamst9tpxej9, b3mo6ycp38zd2ecbzxoc8en6d, 7q6m9kh79u477neouw0z7xt5h, 6dg5uo3zb4fti2k3i8qe7urbp, 3v695dpbm6bdgifkyhlie6kbu, 8jh2hi287wjaldwq5e5185wq1, 1v26me41hp0pg52oflxiaf45x, 47ln2heh3o1r4gkbvhp7vnqi1, 11xe4cn95zc9a5s4gtfd6kcgk, enfnckq0atgnq0ky2xokmzizt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540445749,1,34,16,0,0,18c8ibslzapz40lfb8y5vygcs,1,0,0,2023-04-29T04:48:59.649Z,2023-04-29T05:57:16Z,4233537109,130,17,4233537111,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4233537113,197,11924,4233537115,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4233607639,194,a6mikq97x6ldarn4j7i16gatx,4233537105,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4233537107,59,"1, 34, 17, 13, 4, 2, 15, 6, 9, 10, 18, 3, 5, 7, 16, 24, 33, 77",4233537103,30,"jywyirljzj827gq6pkgb34k5, dg1wh53t8qyb8l2dkeibtnkkp, 8u07m36pydqgg68citu7pilii, ecdovu3igm2rwrf6mwannhwmi, dnwwsdy1tfz0o7t0odssfstsl, 4q09fnw7soqo8q1u50wfde76d, a6mikq97x6ldarn4j7i16gatx, 5c3w3zdu6bojrfd8gt8u35o7p, 3g0uy8yhevhod17kgrtho63th, 1enckn6zmewa3nupsm95mgkb9, dnvqxvpw9c21y0mb2wdxyua51, 96c2ojt4sgo4gfxs7vt1qfxed, b9q7re294ul5aq3jxch5oomol, an0ry25y0g1r231rva3xbgs15, iu0xfgqmdqhn8vpgbqwpbnit, 4wafzcrbcql65swyc2rsiilt5, cfzctw95ysbr2hdzz1q4uftre, 4o4vrnjw7c3g7j5aw5utyw1cl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540461553,2,32,1,0,0,18c8ibslzapz40lfb8y5vygcs,1,0,0,2023-04-29T06:03:54.453Z,2023-04-29T06:03:54Z,4233613829,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540461555,2,32,1,0,0,2cwez3hk2i75ope3qyu54cqh1,1,0,0,2023-04-29T06:03:54.453Z,2023-05-03T13:20:53Z,4233613837,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540461561,3,43,1,0,0,2cwez3hk2i75ope3qyu54cqh1,1,0,0,2023-04-29T06:03:54.553Z,2023-04-29T06:03:57Z,4233613857,141,50.1,4233613853,56,Center,4233613855,140,50.2,4233613901,144,1,4233613863,279,S,4233613859,212,0,4233613861,213,3.1,,,,acr0ml1scc6iyvg8yzk8s9rs9,K. Watanabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540461835,21,1,1,0,0,2cwez3hk2i75ope3qyu54cqh1,1,50.1,49.9,2023-04-29T06:03:55.314Z,2023-04-29T06:05:25Z,4233615187,56,Center,4233615821,279,S,4233615195,213,5.8,4233615193,212,2.8,4233615191,141,48.1,4233615189,140,52.5,,,,,,,acr0ml1scc6iyvg8yzk8s9rs9,K. Watanabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540461579,4,1,1,0,1,2cwez3hk2i75ope3qyu54cqh1,1,52,51.3,2023-04-29T06:03:55.553Z,2023-04-29T06:05:13Z,4233613967,141,46.3,4233613963,56,Back,4233613965,140,45.0,4233613969,212,8.1,4233613971,213,3.6,,,,,,,,,,b3mo6ycp38zd2ecbzxoc8en6d,Marcos Júnior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540461585,5,1,1,0,4,2cwez3hk2i75ope3qyu54cqh1,1,45,46.3,2023-04-29T06:03:58.976Z,2023-04-29T06:03:59Z,4233614011,213,0.4,4233614009,212,11.8,4233614003,56,Center,4233614007,141,53.4,4233614005,140,55.3,,,,,,,,,,crytuzcclp9vswqsnwwkvubit,T. Kida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540461595,6,1,1,0,5,2cwez3hk2i75ope3qyu54cqh1,1,55.3,53.4,2023-04-29T06:03:59.728Z,2023-04-29T06:04:01Z,4233614057,213,5.0,4233614051,140,56.9,4233614053,141,45.4,4233614055,212,5.7,4233614049,56,Center,,,,,,,,,,acr0ml1scc6iyvg8yzk8s9rs9,K. Watanabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540461601,7,1,1,0,6,2cwez3hk2i75ope3qyu54cqh1,1,59.1,44.8,2023-04-29T06:04:00.911Z,2023-04-29T06:04:02Z,4233614077,56,Center,4233614085,213,1.3,4233614079,140,62.0,4233614083,212,10.4,4233614081,141,59.4,,,,,,,,,,b3mo6ycp38zd2ecbzxoc8en6d,Marcos Júnior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540461609,8,1,1,0,7,2cwez3hk2i75ope3qyu54cqh1,1,63.2,61.2,2023-04-29T06:04:02.256Z,2023-04-29T06:04:03Z,4233614121,141,76.7,4233614123,212,10.6,4233614125,213,1.5,4233614119,140,64.2,4233614117,56,Center,,,,,,,,,,acr0ml1scc6iyvg8yzk8s9rs9,K. Watanabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540461631,9,1,1,0,9,2cwez3hk2i75ope3qyu54cqh1,1,64.7,81.8,2023-04-29T06:04:03.792Z,2023-04-29T06:04:07Z,4233614219,141,96.9,4233614215,56,Left,4233614217,140,73.5,4233614221,212,13.8,4233614223,213,0.8,,,,,,,,,,gdz8r5nsoq3gt8ujug4cv0mh,K. Nagato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540461637,10,1,1,0,12,2cwez3hk2i75ope3qyu54cqh1,1,67.6,86,2023-04-29T06:04:07.344Z,2023-04-29T06:04:08Z,4233614243,56,Center,4233614247,141,71.5,4233614251,213,4.7,4233614245,140,67.8,4233614249,212,9.9,,,,,,,,,,7q6m9kh79u477neouw0z7xt5h,Élber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540461645,11,1,1,0,14,2cwez3hk2i75ope3qyu54cqh1,1,67.8,71.5,2023-04-29T06:04:08.768Z,2023-04-29T06:04:12Z,4233614289,212,12.6,4233614291,213,3.4,4233614283,56,Center,4233614287,141,67.3,4233614285,140,56.1,,,,,,,,,,acr0ml1scc6iyvg8yzk8s9rs9,K. Watanabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540461657,12,1,1,0,17,2cwez3hk2i75ope3qyu54cqh1,1,54.7,51.8,2023-04-29T06:04:12.288Z,2023-04-29T06:04:15Z,4233614347,56,Center,4233614351,141,31.9,4233614353,212,13.6,4233614355,213,4.6,4233614349,140,53.0,,,,,,,,,,dmuwwelctq9hiy12xwwguiwdm,R. Tsunoda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540461671,13,1,1,0,21,2cwez3hk2i75ope3qyu54cqh1,1,54.6,30.6,2023-04-29T06:04:15.583Z,2023-04-29T06:04:18Z,4233614405,56,Right,4233614407,140,78.5,4233614413,213,5.7,4233614411,212,30.5,4233614409,141,5.2,,,,,,,,,,4d97t25ita5v6jzni0vpnixg5,S. Hatanaka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540461703,14,1,1,0,24,2cwez3hk2i75ope3qyu54cqh1,1,78.5,5.2,2023-04-29T06:04:18.545Z,2023-04-29T06:04:25Z,4233614553,141,14.3,4233614557,213,1.8,4233614551,140,77.3,4233614555,212,6.3,4233614549,56,Right,,,,,,,,,,585zyri5hq2bu4j8kmjhnxi39,K. Mizunuma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540461719,15,1,1,0,31,2cwez3hk2i75ope3qyu54cqh1,1,78.5,8.3,2023-04-29T06:04:25.632Z,2023-04-29T06:04:27Z,4233614629,213,2.1,4233614625,141,29.7,4233614627,212,17.0,4233614623,140,70.1,4233614621,56,Center,,,,,,,,,,8dxp5caa7cl7yqamst9tpxej9,Anderson Lopes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540461733,16,1,1,0,33,2cwez3hk2i75ope3qyu54cqh1,1,70.1,28.9,2023-04-29T06:04:27.488Z,2023-04-29T06:04:29Z,4233614709,56,Center,4233614717,213,1.9,4233614711,140,65.7,4233614713,141,46.6,4233614715,212,12.9,,,,,,,,,,crytuzcclp9vswqsnwwkvubit,T. Kida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540461751,17,1,1,0,35,2cwez3hk2i75ope3qyu54cqh1,1,65.6,48.5,2023-04-29T06:04:29.600Z,2023-04-29T06:04:33Z,4233614797,141,70.6,4233614793,56,Center,4233614801,213,1.3,4233614795,140,69.2,4233614799,212,15.5,,,,,,,,,,dmuwwelctq9hiy12xwwguiwdm,R. Tsunoda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540461765,18,1,1,0,39,2cwez3hk2i75ope3qyu54cqh1,1,67.7,83.9,2023-04-29T06:04:33.729Z,2023-04-29T06:04:36Z,4233614887,212,10.0,4233614881,56,Center,4233614883,140,76.5,4233614885,141,78.1,4233614889,213,5.9,,,,,,,,,,gdz8r5nsoq3gt8ujug4cv0mh,K. Nagato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540461767,19,61,1,0,42,2cwez3hk2i75ope3qyu54cqh1,0,77.1,92.3,2023-04-29T06:04:36.758Z,2023-04-29T06:04:37Z,4233614897,56,Left,,,,,,,,,,,,,,,,,,,,,,b3mo6ycp38zd2ecbzxoc8en6d,Marcos Júnior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
