id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/8/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/9/value,qualifier/14/value,qualifier/16/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2533374159,1,34,16,0,0,bbt5nqwufsne7r0zfa6pvpmfa,1,0,0,2023-04-15T06:06:20.273Z,2023-04-15T06:57:22Z,4189005777,197,11145,4189005773,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4189005779,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4189005765,30,"71nmf5ieohq83rj1ah9j94a21, bntvupdmnof1hzo1tfa00yfv9, 1ma8gce4os15aa6p7u24dlj3d, c1bmg5i86q1qye115yyz4qvah, f2mpyljll9npb71owp1tlzy7d, 666fx7wetbxy3ri2hlfdn8ph, 83wyz3tyibxx8t5bnvtedpjo5, 9z3v28ssd5e50tt745583obth, 22imd9on624739u8fym5n640l, 3bl0mhzv53z17qkbezviavg0l, 196dypy60x08uuc7cltabdcr9, 8ms57twka5pm6och4fndo2r8q, 9alwmyk45xpxb6sp2nto9iod1, 4ndofth2e6db85fvqlrz9c0h6, 2fpbnagisq2zqfordsc9fkjfu, 3eyq5jpfdsk0zp1hhmono2wgl, 62v83t4tsl4zt6kquo32vqay1, 75oypu20gsn9naz102zs9239w",4189005771,130,4,4189005769,59,"1, 24, 19, 16, 23, 15, 5, 18, 10, 11, 14, 3, 8, 21, 22, 25, 26, 28",4189005767,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4189005775,194,83wyz3tyibxx8t5bnvtedpjo5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533375655,1,34,16,0,0,9s2g5k3dlmfii452t8edaeozh,1,0,0,2023-04-15T06:09:39.869Z,2023-04-15T06:57:23Z,4189012195,197,11922,4189012187,59,"29, 22, 2, 14, 55, 5, 27, 21, 40, 10, 13, 3, 15, 17, 28, 31, 35, 37",4189012191,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4189012189,130,8,4189012183,30,"8i7aw5yhze1xiw2d2g5wax91w, 15b53vkcltdxtbt1zt4peswd1, 12lc6edtue24savqtmbkyu7rp, cs1e2ou4h94utke3qdy14fiay, cqjhp31uh46s2jfedo48h86ol, cvobb9nkum41ldfnfszy42xka, bqrfxy265rurcjw7c5swwjl9m, 4mnxvvl5unk1t8k2lkac3yor9, 51xel26o3uzvjdbcywcunmu3t, wp6f6m1vhdtygyelx9nj74oa, 412cup9h8jkgivwiroq8mpfjd, 21urhapqadraths78se3rh0ph, aa1f06qx3epbsge6s4ayd1e22, 2gwfsjoj9diiuxr1kdga93mc5, o5sg154346glw9s9z5gjdd04, 950svxoswapg0ws25uo7jy2nd, dj2ukolvfyxahrzwp25q6hbhm, 4c03ukpq8hq69ykgcypq5jf8p",4189012185,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4189012197,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4189012193,194,51xel26o3uzvjdbcywcunmu3t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533396159,2,32,1,0,0,bbt5nqwufsne7r0zfa6pvpmfa,1,0,0,2023-04-15T07:03:44.208Z,2023-04-15T07:03:45Z,4189120847,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533396153,2,32,1,0,0,9s2g5k3dlmfii452t8edaeozh,1,0,0,2023-04-15T07:03:44.208Z,2023-04-20T10:42:26Z,4189120815,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533396167,3,1,1,0,0,9s2g5k3dlmfii452t8edaeozh,1,49.9,50.1,2023-04-15T07:03:44.308Z,2023-04-15T07:03:46Z,4189120895,141,44.3,4189120901,279,S,4189120897,212,19.7,4189120899,213,3.3,4189120893,140,31.5,4189120891,56,Back,,,,,,,wp6f6m1vhdtygyelx9nj74oa,R. Araki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533396203,4,1,1,0,2,9s2g5k3dlmfii452t8edaeozh,0,33.4,42.8,2023-04-15T07:03:46.765Z,2023-04-15T07:03:49Z,4189121011,213,0.7,4189121001,155,,4189121007,141,100.0,4189121003,56,Left,4189121013,1,,4189121009,212,66.0,4189121005,140,83.2,,,,cqjhp31uh46s2jfedo48h86ol,N. Ueda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533396211,3,5,1,0,5,bbt5nqwufsne7r0zfa6pvpmfa,1,19.1,-1.7,2023-04-15T07:03:49.619Z,2023-04-15T07:32:18Z,4189121073,233,5,4189121043,347,,4189121041,56,Back,,,,,,,,,,,,,,,,22imd9on624739u8fym5n640l,Y. Osako,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533396207,5,5,1,0,5,9s2g5k3dlmfii452t8edaeozh,0,80.9,101.7,2023-04-15T07:03:49.619Z,2023-04-15T07:03:51Z,4189121093,233,3,4189121031,347,,4189121029,56,Left,,,,,,,,,,,,,,,,cqjhp31uh46s2jfedo48h86ol,N. Ueda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533396281,4,1,1,0,15,bbt5nqwufsne7r0zfa6pvpmfa,1,21.2,0,2023-04-15T07:03:59.623Z,2023-04-15T07:04:02Z,4189121343,213,0.4,4189121335,56,Back,4189121339,141,7.9,4189121341,212,16.3,4189121333,107,,4189121337,140,35.3,,,,,,,bntvupdmnof1hzo1tfa00yfv9,G. Sakai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533396289,5,1,1,0,17,bbt5nqwufsne7r0zfa6pvpmfa,0,35.3,7.9,2023-04-15T07:04:01.959Z,2023-04-15T07:04:48Z,4189121401,168,,4189121411,213,6.1,4189121407,141,5.3,4189121403,56,Back,4189121409,212,7.9,4189121405,140,42.6,4189121399,3,,,,,3bl0mhzv53z17qkbezviavg0l,Y. Muto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
