id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/15/value,qualifier/10/value,qualifier/12/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/9/value,qualifier/16/value,assist,qualifier/17/value
2544909911,1,34,16,0,0,5pol481515zvirmk6t00kerbc,1,0,0,2023-05-07T05:00:44.453Z,2023-05-07T06:04:56Z,4257299441,197,5040,4257299433,59,"99, 13, 7, 6, 3, 29, 14, 16, 33, 41, 23, 1, 8, 10, 11, 17, 20, 31",4257299435,130,4,4257299437,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4257299443,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4257299431,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4257299439,194,1zajsokdkegr6kia745i27omi,4257299429,30,"88d8c6vvmo62h0lnbbo1t9i39, 5olu4s7w7nn9wy1219grd6z8p, 17l12ufk09zlrm2w8xbxxtl1x, edb7mugbc0u6ke0rk67po87o5, awckr8ajqo4vstzghb59rkwkp, dvic19ojqq6erwene0ijta61g, 1zajsokdkegr6kia745i27omi, e8vzy09iw6420p567rmrcj3vu, 3h1911weob775j3n3r77gjlrd, 3o2up44nguwivaltm6d2hdhw5, gseaoyujse4xe4xwhlsq6sq1, 8psi8rr64yq7ovzua6ekiznpx, dmg39rv08bjlkilby5aycpsve, 520gf81j9admw2zeib75x3v11, 1cfomybhr42ofsatnkgo9w3x1, 1m492fb1pd8amxhgextvoonsa, 2ingh41ma0grign63tygcgaok, 3l6ixflqq5g8ivhj7x9emh8t1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544913989,1,34,16,0,0,27o8mdqno6jslcjb709sxjwyy,1,0,0,2023-05-07T05:19:15.861Z,2023-05-07T06:03:25Z,4257321249,30,"9r2zywyi1254rds8d2h4ne0ru, 9b13bzxb1ihm44s5wx421v4oa, eho6q5j8oz6hw3tffv8p0erdg, egr1qg67z829bjgvwi8508yy, b2ud6d4vrv31bb5l00jzcogoa, cvid25qdznmh1j1lyto6dp695, cpr3syuxxldolgb1a5exxvug9, 28yslyo2m2bsim5y5s7fsr0t1, b68uhpy97bj96uyshxaqdsr9, 3glv4ddtgmm6ghdpqmcgr1j6y, ddf07flibb0j2s97fwmnuau3t, 6a51lu3ps4xpzaa1okrpf26ll, ei6bl9rnpy19fhgc649rz6rqh, ey5f9ve8nitrasavs98v01coa, 5wj0qbjfre960fkxxc1bo6j8, 5pgua1i009fqvqfshy4ncgnv9, 6pjif1rwpdftfj1dfee9l5xm2, 6ll3swg4tj5f8mw4k996adz2t",4257321255,59,"71, 42, 23, 5, 2, 30, 24, 19, 10, 8, 29, 7, 9, 18, 34, 35, 41, 44",4257321253,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4257322505,194,9r2zywyi1254rds8d2h4ne0ru,4257321257,130,8,4257321263,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4257321259,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4257321261,197,8019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544923707,2,32,1,0,0,5pol481515zvirmk6t00kerbc,1,0,0,2023-05-07T06:03:39.596Z,2023-05-07T06:03:39Z,4257378249,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544923713,2,32,1,0,0,27o8mdqno6jslcjb709sxjwyy,1,0,0,2023-05-07T06:03:39.596Z,2023-05-07T06:03:40Z,4257378267,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544923715,3,1,1,0,0,27o8mdqno6jslcjb709sxjwyy,1,50.1,50.1,2023-05-07T06:03:39.696Z,2023-05-07T06:03:44Z,4257378297,141,56.1,4257378303,279,S,4257378293,56,Back,4257378295,140,35.6,4257378299,212,15.8,4257378301,213,2.9,,,,,,,egr1qg67z829bjgvwi8508yy,S. Kawahara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544923721,4,1,1,0,4,27o8mdqno6jslcjb709sxjwyy,0,31.4,59.3,2023-05-07T06:03:44.295Z,2023-05-07T06:03:51Z,4257378339,212,70.3,4257378343,1,,4257378331,157,,4257378341,213,0.1,4257378333,56,Center,4257378335,140,98.1,4257378337,141,67.9,,,,9r2zywyi1254rds8d2h4ne0ru,Park Il-Gyu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544923725,3,52,1,0,7,5pol481515zvirmk6t00kerbc,1,1.8,31.8,2023-05-07T06:03:47.226Z,2023-05-07T06:03:47Z,,,,,,,,,,,,,,,,,,,,,,,,,88d8c6vvmo62h0lnbbo1t9i39,N. Kamifukumoto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544923741,4,80,1,0,14,5pol481515zvirmk6t00kerbc,0,14.8,43.4,2023-05-07T06:03:53.896Z,2023-05-07T06:03:54Z,,,,,,,,,,,,,,,,,,,,,,,,,88d8c6vvmo62h0lnbbo1t9i39,N. Kamifukumoto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544923749,5,1,1,0,15,5pol481515zvirmk6t00kerbc,1,24.9,34.9,2023-05-07T06:03:55.528Z,2023-05-07T06:35:45Z,4257378447,141,5.8,4257378445,140,70.2,4257378451,213,5.9,4257378443,56,Right,4257432625,1,,4257378441,155,,4257378449,212,51.5,,,,88d8c6vvmo62h0lnbbo1t9i39,N. Kamifukumoto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544923763,6,44,1,0,20,5pol481515zvirmk6t00kerbc,1,65.8,5,2023-05-07T06:03:59.663Z,2023-05-07T06:04:01Z,4257378523,233,5,4257378519,56,Right,4257378521,286,,,,,,,,,,,,,,,,,3o2up44nguwivaltm6d2hdhw5,A. Ienaga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544923757,5,44,1,0,20,27o8mdqno6jslcjb709sxjwyy,0,34.2,95,2023-05-07T06:03:59.664Z,2023-05-07T06:04:01Z,4257378487,285,,4257378531,233,6,4257378485,56,Back,,,,,,,,,,,,,,,,eho6q5j8oz6hw3tffv8p0erdg,T. Kikuchi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544923767,7,1,1,0,20,5pol481515zvirmk6t00kerbc,0,68.5,3.7,2023-05-07T06:03:59.856Z,2023-05-07T06:43:20Z,4257378547,212,3.8,4257378545,141,5.6,4257378625,168,,4257378543,140,71.9,4257378539,3,,4257378541,56,Right,4257378549,213,0.3,,,,3o2up44nguwivaltm6d2hdhw5,A. Ienaga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544923765,6,49,1,0,21,27o8mdqno6jslcjb709sxjwyy,1,29.7,89.7,2023-05-07T06:04:01.439Z,2023-05-07T06:04:01Z,,,,,,,,,,,,,,,,,,,,,,,,,egr1qg67z829bjgvwi8508yy,S. Kawahara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544923771,7,1,1,0,21,27o8mdqno6jslcjb709sxjwyy,0,29.7,89.7,2023-05-07T06:04:01.530Z,2023-05-07T06:04:02Z,4257378557,140,36.0,4257378563,213,0.9,4257378561,212,10.0,4257378555,56,Back,4257378559,141,100.0,,,,,,,,,,egr1qg67z829bjgvwi8508yy,S. Kawahara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544923775,8,5,1,0,22,27o8mdqno6jslcjb709sxjwyy,0,33.2,100.9,2023-05-07T06:04:01.921Z,2023-05-07T06:06:38Z,4257378575,347,,4257378601,233,8,4257378573,56,Back,,,,,,,,,,,,,,,,egr1qg67z829bjgvwi8508yy,S. Kawahara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544923773,8,5,1,0,22,5pol481515zvirmk6t00kerbc,1,66.8,-0.9,2023-05-07T06:04:01.921Z,2023-05-07T06:04:02Z,4257378565,56,Right,4257378591,233,8,4257378567,347,,,,,,,,,,,,,,,,,3o2up44nguwivaltm6d2hdhw5,A. Ienaga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544923799,9,1,1,0,27,5pol481515zvirmk6t00kerbc,1,66.2,0,2023-05-07T06:04:06.688Z,2023-05-07T06:04:08Z,4257378697,140,67.0,4257378701,212,5.4,4257378695,56,Right,4257378693,107,,4257378703,213,1.4,4257378699,141,5.8,,,,,,,5olu4s7w7nn9wy1219grd6z8p,M. Yamane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544923801,10,1,1,0,29,5pol481515zvirmk6t00kerbc,0,66.6,5.9,2023-05-07T06:04:08.640Z,2023-05-07T06:04:09Z,4257378719,141,4.9,4257378723,213,6.1,4257378721,212,4.4,4257378715,56,Right,4257378717,140,70.7,,,,,,,,,,1zajsokdkegr6kia745i27omi,Y. Wakizaka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544923809,9,8,1,0,32,27o8mdqno6jslcjb709sxjwyy,1,27.5,94.5,2023-05-07T06:04:12.449Z,2023-05-07T06:04:12Z,4257378759,56,Back,,,,,,,,,,,,,,,,,,,,,,eho6q5j8oz6hw3tffv8p0erdg,T. Kikuchi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544923811,11,61,1,0,33,5pol481515zvirmk6t00kerbc,1,73.6,2.6,2023-05-07T06:04:12.969Z,2023-05-07T06:04:13Z,4257378767,56,Right,,,,,,,,,,,,,,,,,,,,,,3o2up44nguwivaltm6d2hdhw5,A. Ienaga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544923819,10,5,1,0,33,27o8mdqno6jslcjb709sxjwyy,1,26.8,101.4,2023-05-07T06:04:13.432Z,2023-05-07T06:06:38Z,4257378805,56,Back,4257378811,233,12,4257378807,347,,,,,,,,,,,,,,,,,eho6q5j8oz6hw3tffv8p0erdg,T. Kikuchi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544923815,12,5,1,0,33,5pol481515zvirmk6t00kerbc,0,73.2,-1.4,2023-05-07T06:04:13.432Z,2023-05-07T06:04:15Z,4257378823,233,10,4257378797,347,,4257378795,56,Right,,,,,,,,,,,,,,,,3o2up44nguwivaltm6d2hdhw5,A. Ienaga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544923841,11,1,1,0,38,27o8mdqno6jslcjb709sxjwyy,0,29.3,100,2023-05-07T06:04:17.799Z,2023-05-07T06:04:19Z,4257378905,212,18.0,4257378897,107,,4257378903,141,84.2,4257378901,140,42.5,4257378907,213,5.6,4257378899,56,Back,,,,,,,eho6q5j8oz6hw3tffv8p0erdg,T. Kikuchi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544923849,13,1,1,0,40,5pol481515zvirmk6t00kerbc,1,62,8.3,2023-05-07T06:04:20.305Z,2023-05-07T06:04:21Z,4257378937,141,5.5,4257378935,140,69.0,4257378933,56,Right,4257378941,213,6.0,4257378939,212,7.6,4257378931,3,,,,,,,,edb7mugbc0u6ke0rk67po87o5,João Schmidt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544923851,14,49,1,0,41,5pol481515zvirmk6t00kerbc,1,69.4,5.3,2023-05-07T06:04:21.312Z,2023-05-07T06:04:21Z,,,,,,,,,,,,,,,,,,,,,,,,,3o2up44nguwivaltm6d2hdhw5,A. Ienaga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544923857,15,1,1,0,42,5pol481515zvirmk6t00kerbc,1,69.4,5.3,2023-05-07T06:04:21.752Z,2023-05-07T06:04:23Z,4257378965,56,Right,4257378963,155,,4257378973,213,0.3,4257378967,140,74.6,4257378969,141,7.9,4257378971,212,5.7,,,,,,,3o2up44nguwivaltm6d2hdhw5,A. Ienaga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544923867,16,1,1,0,44,5pol481515zvirmk6t00kerbc,1,72.8,10.4,2023-05-07T06:04:23.705Z,2023-05-07T06:04:24Z,4257379007,141,19.1,4257379011,213,2.2,4257379003,56,Right,4257379005,140,69.0,4257379009,212,7.1,4257379001,3,,,,,,,,3h1911weob775j3n3r77gjlrd,T. Miyashiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544923875,17,1,1,0,45,5pol481515zvirmk6t00kerbc,1,69,19.1,2023-05-07T06:04:24.856Z,2023-05-07T06:08:48Z,4257379051,213,0.2,4257379045,140,76.8,4257379043,56,Center,4257379047,141,21.5,4257379041,155,,4257379049,212,8.4,,,,,,,e8vzy09iw6420p567rmrcj3vu,T. Seko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544923877,18,44,1,0,46,5pol481515zvirmk6t00kerbc,1,76.6,22.6,2023-05-07T06:04:26.327Z,2023-05-07T06:14:40Z,4257379057,56,Center,4257379107,233,12,4257379059,286,,,,,,,,,,,,,,,,,3h1911weob775j3n3r77gjlrd,T. Miyashiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544923879,12,44,1,0,46,27o8mdqno6jslcjb709sxjwyy,0,23.4,77.4,2023-05-07T06:04:26.328Z,2023-05-07T06:08:45Z,4257379069,233,18,4257379063,56,Back,4257379065,285,,,,,,,,,,,,,,,,,b2ud6d4vrv31bb5l00jzcogoa,K. Yamazaki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544925371,72,1,1,0,46,5pol481515zvirmk6t00kerbc,0,79.2,28.1,2023-05-07T06:04:26.541Z,2023-05-07T06:09:42Z,4257386511,56,Center,4257386523,213,0.6,4257386519,141,29.1,4257386509,3,,4257386521,212,1.2,4257386515,140,80.1,,,,,,,3h1911weob775j3n3r77gjlrd,T. Miyashiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544923885,13,61,1,0,47,27o8mdqno6jslcjb709sxjwyy,1,23.7,76.4,2023-05-07T06:04:27.112Z,2023-05-07T06:09:40Z,4257379089,56,Back,,,,,,,,,,,,,,,,,,,,,,b2ud6d4vrv31bb5l00jzcogoa,K. Yamazaki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544923901,19,1,1,0,49,5pol481515zvirmk6t00kerbc,1,75.2,25.2,2023-05-07T06:04:29.209Z,2023-05-07T06:04:30Z,4257379157,140,70.2,4257379161,212,10.3,4257379163,213,2.1,4257379155,56,Center,4257379159,141,38.2,,,,,,,,,,3h1911weob775j3n3r77gjlrd,T. Miyashiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
