id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/11/value,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,assist
2542825643,1,34,16,0,0,6bus1cl4b6zdm93290r02o7cx,1,0,0,2023-05-03T04:03:52.837Z,2023-05-03T04:03:53Z,4246186407,130,4,4246186401,30,"7j7c0l6xctuoauvg1tpni3ysp, 23ejdwwhvzovvi7jmek50dyol, 3qguujjae7411ruqhztrfojys, 6vkppmpdrvrujfp035ucpib8q, 82f876uvvivzq5hspoy6vpfmy, 12ndgojwoabbe9igew1ymcnop, dqvxvzeffd8u9xssgp195ydbd, f0yeq2v114x8is6rbrj6xxrhm, 3dcmvl6ile1c42e7zzw4e139x, 5y6uy0cw3emtxukzgl1xeb4l, 5cwzgbnlpamgpiwjlgn61i8k5, 39ix1ftjgermlkf4i12c80u7d, 7csua09fwbprxmixvu567yvv9, dsg6lclcyu8gvsyyn6jnoii95, a9lb9wl7lf9lxpmwril1pyfop, 8m7y7kmzgy3aqwvlt1ywp1tjp, 1ohbb8qqo4atptaijs269i6i2, c4gfngqz8qeae1xayhyiwg7l6",4246186415,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4246186409,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4246186403,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4246186413,197,14530,4246186411,194,6vkppmpdrvrujfp035ucpib8q,4246186405,59,"1, 14, 44, 7, 4, 3, 39, 18, 11, 23, 17, 8, 9, 10, 24, 26, 33, 47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542825897,1,34,16,0,0,5pol481515zvirmk6t00kerbc,1,0,0,2023-05-03T04:09:01.031Z,2023-05-03T04:09:00Z,4246187825,30,"88d8c6vvmo62h0lnbbo1t9i39, 5olu4s7w7nn9wy1219grd6z8p, a2lga77euo3am1ltgxstfnpp1, edb7mugbc0u6ke0rk67po87o5, dvic19ojqq6erwene0ijta61g, 17l12ufk09zlrm2w8xbxxtl1x, 1zajsokdkegr6kia745i27omi, e8vzy09iw6420p567rmrcj3vu, 3h1911weob775j3n3r77gjlrd, 3o2up44nguwivaltm6d2hdhw5, 1m492fb1pd8amxhgextvoonsa, 8psi8rr64yq7ovzua6ekiznpx, awckr8ajqo4vstzghb59rkwkp, dmg39rv08bjlkilby5aycpsve, 520gf81j9admw2zeib75x3v11, 1cfomybhr42ofsatnkgo9w3x1, 2ingh41ma0grign63tygcgaok, gseaoyujse4xe4xwhlsq6sq1",4246187835,194,1zajsokdkegr6kia745i27omi,4246187837,197,14937,4246187827,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4246187831,130,4,4246187829,59,"99, 13, 2, 6, 29, 7, 14, 16, 33, 41, 17, 1, 3, 8, 10, 11, 20, 23",4246187839,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4246187833,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542830149,2,32,1,0,0,5pol481515zvirmk6t00kerbc,1,0,0,2023-05-03T05:03:29.299Z,2023-05-03T05:03:31Z,4246207107,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542830145,2,32,1,0,0,6bus1cl4b6zdm93290r02o7cx,1,0,0,2023-05-03T05:03:29.299Z,2023-05-03T05:03:29Z,4246207103,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542830171,3,1,1,0,0,5pol481515zvirmk6t00kerbc,1,50.1,49.9,2023-05-03T05:03:29.399Z,2023-05-03T05:03:33Z,4246207155,140,29.8,4246207163,279,S,4246207157,141,47.5,4246207159,212,21.4,4246207161,213,3.2,4246207153,56,Back,,,,,,,1zajsokdkegr6kia745i27omi,Y. Wakizaka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542830177,4,1,1,0,3,5pol481515zvirmk6t00kerbc,1,30.1,46,2023-05-03T05:03:32.899Z,2023-05-03T05:03:36Z,4246207219,212,55.0,4246207223,1,,4246207213,56,Right,4246207211,155,,4246207221,213,5.8,4246207217,141,6.2,4246207215,140,75.7,,,,17l12ufk09zlrm2w8xbxxtl1x,S. Kurumaya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542830185,5,44,1,0,6,5pol481515zvirmk6t00kerbc,1,74.2,7.2,2023-05-03T05:03:35.919Z,2023-05-03T05:03:39Z,4246207247,286,,4246207253,233,3,4246207245,56,Right,,,,,,,,,,,,,,,,3o2up44nguwivaltm6d2hdhw5,A. Ienaga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542830175,3,44,1,0,6,6bus1cl4b6zdm93290r02o7cx,0,25.8,92.8,2023-05-03T05:03:35.920Z,2023-05-03T05:03:39Z,4246207207,285,,4246207263,233,5,4246207203,56,Back,,,,,,,,,,,,,,,,3qguujjae7411ruqhztrfojys,K. Sato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542830195,6,1,1,0,7,5pol481515zvirmk6t00kerbc,0,75.7,6.2,2023-05-03T05:03:36.769Z,2023-05-03T06:07:39Z,4246207289,213,0.1,4246207279,56,Right,4246207283,141,9.8,4246207281,140,91.9,4246207287,212,17.2,4246207277,3,,,,,,,,3o2up44nguwivaltm6d2hdhw5,A. Ienaga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542830191,4,49,1,0,9,6bus1cl4b6zdm93290r02o7cx,1,10.7,90.5,2023-05-03T05:03:39.072Z,2023-05-03T05:03:39Z,,,,,,,,,,,,,,,,,,,,,,,,,12ndgojwoabbe9igew1ymcnop,S. Asada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
