id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/8/value,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,keyPass,qualifier/11/value,qualifier/12/value,assist,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/13/value,qualifier/14/value
2518077373,1,34,16,0,0,3vfso415vj7uitnunviuzdyg3,1,0,0,2023-03-11T03:58:11.641Z,2023-03-11T05:10:49Z,4087003415,30,"7lxjfpbed6rmm2qmzs6r1c2j9, 4seh91gn4cj2l3x7kg19duqxh, 7izhszqmb1a9z5na5e0utnc6i, 3ihaypy0xs7cpw7ij61qislat, 5fglqrb2jo1ideuag4pjit9sl, 6gzt9s90prbrhsw4t72vb4jx1, a2ggooyqi2s1berhxtm75j5qt, b5nc0tgc33wklhsekw3jklylm, da5nt2kexuabduzu4qqxf09ud, 1pcyox1b50pxufww0v07c5boq, do6zvquhc4udqtp900l1cid0q, cqclwglpzg5flou0r0x3lm21h, 4pqi5vt820333t5zsj2refc2d, 2mfunwzltzdnmzlcjyvx752i, a1uzi9vgpfy7qo1eay243dsk5, 8wnmymj8du9xj1jhp90qs366s, eo5kfco94g7az5x9dn2mtr78q, 2pp6fnkqy9gi525viea5c9ene",4087003423,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4087003417,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4087003419,59,"1, 2, 15, 19, 28, 5, 10, 3, 30, 21, 8, 4, 9, 12, 14, 25, 26, 40",4087003425,194,4seh91gn4cj2l3x7kg19duqxh,4087003427,197,18338,4087003421,130,8,4087003429,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518078977,1,34,16,0,0,bbt5nqwufsne7r0zfa6pvpmfa,1,0,0,2023-03-11T04:09:51.832Z,2023-03-11T04:56:18Z,4087014565,197,14622,4087014567,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4087014561,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4087014553,30,"71nmf5ieohq83rj1ah9j94a21, bntvupdmnof1hzo1tfa00yfv9, 1ma8gce4os15aa6p7u24dlj3d, 3eyq5jpfdsk0zp1hhmono2wgl, f2mpyljll9npb71owp1tlzy7d, 666fx7wetbxy3ri2hlfdn8ph, 83wyz3tyibxx8t5bnvtedpjo5, c1bmg5i86q1qye115yyz4qvah, 22imd9on624739u8fym5n640l, 3bl0mhzv53z17qkbezviavg0l, 196dypy60x08uuc7cltabdcr9, 9z3v28ssd5e50tt745583obth, 2fpbnagisq2zqfordsc9fkjfu, go7p2ijq9w10e8k9q4wz6c5w, c2pa3htr3y0ncojh8kr83sd79, 9whpm2j0zai890ysmcre6lpzp, 72kqs3ac4qyb8jq5isqpketqs, 3pv358rkmu85la3dsk989fxm1",4087014559,130,4,4087014563,194,83wyz3tyibxx8t5bnvtedpjo5,4087014557,59,"1, 24, 19, 25, 23, 15, 5, 16, 10, 11, 14, 18, 22, 27, 30, 33, 34, 40",4087014555,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518088645,2,32,1,0,0,3vfso415vj7uitnunviuzdyg3,1,0,0,2023-03-11T05:03:26.419Z,2023-03-11T05:03:26Z,4087068691,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518088647,2,32,1,0,0,bbt5nqwufsne7r0zfa6pvpmfa,1,0,0,2023-03-11T05:03:26.419Z,2023-03-16T15:50:37Z,4087068701,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518088651,3,1,1,0,0,bbt5nqwufsne7r0zfa6pvpmfa,1,50.1,49.7,2023-03-11T05:03:26.519Z,2023-03-11T07:29:02Z,4087068715,213,2.7,4087068717,279,S,4087068711,141,64.3,4087068713,212,21.9,4087068709,140,31.5,4087068707,56,Back,,,,,,,c1bmg5i86q1qye115yyz4qvah,M. Saito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518088671,4,1,1,0,4,bbt5nqwufsne7r0zfa6pvpmfa,1,30.4,66.9,2023-03-11T05:03:30.433Z,2023-03-11T05:03:33Z,4087068817,1,,4087068815,213,5.4,4087068803,155,,4087068811,141,5.0,4087068809,140,64.8,4087068813,212,55.5,4087068807,56,Right,4087068805,196,,1ma8gce4os15aa6p7u24dlj3d,R. Hatsuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518088679,5,1,1,0,7,bbt5nqwufsne7r0zfa6pvpmfa,1,64.8,5,2023-03-11T05:03:33.472Z,2023-03-11T05:03:34Z,4087068851,212,3.7,4087068853,213,0.9,4087068849,141,9.1,4087068845,56,Right,4087068847,140,67.1,,,,,,,,,,3bl0mhzv53z17qkbezviavg0l,Y. Muto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518088683,6,1,1,0,8,bbt5nqwufsne7r0zfa6pvpmfa,1,67.8,10.7,2023-03-11T05:03:34.624Z,2023-03-11T05:03:36Z,4087068879,141,15.3,4087068877,140,63.4,4087068881,212,5.6,4087068875,56,Right,4087068883,213,2.5,,,,,,,,,,22imd9on624739u8fym5n640l,Y. Osako,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518088689,7,1,1,0,9,bbt5nqwufsne7r0zfa6pvpmfa,1,64.1,13.2,2023-03-11T05:03:35.968Z,2023-03-11T05:03:37Z,4087068915,141,5.0,4087068913,140,73.8,4087068909,56,Right,4087068917,212,11.6,4087068919,213,5.8,,,,,,,,,,83wyz3tyibxx8t5bnvtedpjo5,H. Yamaguchi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518088695,8,1,1,0,10,bbt5nqwufsne7r0zfa6pvpmfa,1,73.4,4,2023-03-11T05:03:37.104Z,2023-03-16T15:51:57Z,4087068931,140,64.4,4087068935,212,9.4,4087068929,56,Right,4087068937,213,3.1,4100823221,156,,4087068933,141,4.0,,,,,,,3bl0mhzv53z17qkbezviavg0l,Y. Muto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
