id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,assist,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,keyPass,qualifier/10/value,qualifier/11/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2544132803,1,34,16,0,0,e90fnsgtnamze3yssxpg392eb,1,0,0,2023-05-06T03:44:29.865Z,2023-05-06T04:56:52Z,4253165285,130,8,4253165283,59,"27, 38, 49, 7, 3, 44, 15, 37, 22, 8, 11, 4, 9, 16, 17, 33, 39, 41",4253165293,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4253165279,30,"eu0wama1jzd9er063es4p3b9x, 1q1n8bmn35in4nmq096zcwk5w, dqdflrd7ox6ord50i2qwu0416, 63245yg2ywq2p2s85w4vdokd0, 6w26g83j8eztacwrfa4ilvh05, cxmuf2ztbfbfw5p2fmr7uzbvt, 3o1ca5xdl2d20r1cwx3r548gl, 8k94yjnb64nf994hbmpaiieol, elwh2hvzlbju52obpqmh39vxl, 1t02yvbqtxoq0xlil3o88bgx6, 5tkfqt3adzkyb7rxjdni12vh1, 406wrekzsvvqqo9jgv2lk1d5, cm1x3wpag38ievovx1azsp9lh, 489o5ixewcy1xkpvqaxrbwgyd, 5rqe1mdhd56mpjkas654hby3u, anzbyfw36kbait6hvlzornuok, 1zckxb4ugqeuc50tggo5cohyh, cam8s80ouxcw7900f0qiwoacq",4253165291,197,5039,4253165287,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4253165289,194,6w26g83j8eztacwrfa4ilvh05,4253165281,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544137015,1,34,16,0,0,1f3ehp8p9yi8reamghry4p76t,1,0,0,2023-05-06T04:15:52.396Z,2023-05-06T04:59:19Z,4253189113,30,"7blan2t3io9iatmzpzazeh9lh, 7de6u27l0rm2y8aigjr2i0ru, f06bxfhvobzkepanw3nm1vzzd, 51ny01vwhnzkkd50iy4pfyor9, a60hpbc5lfxj5cj82iadif622, 8cmqekmxeybrc8c9ml7rwdai2, 1bjh7t56w2jg6berm300782c5, 61mnri2ox1dao9jdo2ye42i8l, 70pwpkwjgkp07b4m4jdz1l0fe, ez4fqumbyew4fsvisf0ziml4a, du14luqzm3al3uw51qs2bzqol, 5s151hcgpbhtuuarwfchd47ze, 2jgby6e91uem5e2dd1b11psoa, bcctcysurrrfw25szzr1pjsnp, 8978k9hzej7ocv8ng09i1zcut, 28wgdmao7y8qbj30feniqnj3e, bj3ve8inko999nctm66s76acp, 9wan49fvimh705r3jjfrlhuc5",4253189115,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4253189127,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4253189121,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4253189119,130,17,4253189123,194,1bjh7t56w2jg6berm300782c5,4253189125,197,5044,4253189117,59,"1, 9, 4, 5, 50, 2, 10, 27, 19, 18, 14, 3, 6, 7, 25, 32, 49, 99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544140113,2,32,1,0,0,1f3ehp8p9yi8reamghry4p76t,1,0,0,2023-05-06T05:03:09.963Z,2023-05-06T05:03:11Z,4253208313,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544140107,2,32,1,0,0,e90fnsgtnamze3yssxpg392eb,1,0,0,2023-05-06T05:03:09.963Z,2023-05-06T05:03:10Z,4253208303,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544140115,3,1,1,0,0,e90fnsgtnamze3yssxpg392eb,1,50,50,2023-05-06T05:03:10.063Z,2023-05-06T05:04:17Z,4253208325,56,Back,4253208333,213,3.1,4253208335,279,S,4253208329,141,52.5,4253208331,212,21.6,4253208327,140,29.5,,,,,,,1t02yvbqtxoq0xlil3o88bgx6,S. Abe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544140117,4,1,1,0,3,e90fnsgtnamze3yssxpg392eb,0,31.1,53,2023-05-06T05:03:12.989Z,2023-05-06T05:03:16Z,4253208343,140,72.5,4253208345,141,89.9,4253208339,155,,4253208351,1,,4253208347,212,50.2,4253208341,56,Left,4253208349,213,0.5,,,,cxmuf2ztbfbfw5p2fmr7uzbvt,Henrique Trevisan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544140127,3,1,1,0,6,1f3ehp8p9yi8reamghry4p76t,0,25.7,17.4,2023-05-06T05:03:16.652Z,2023-05-06T05:03:20Z,4253208379,3,,4253208383,140,41.7,4253208385,141,16.7,4253208387,212,16.8,4253208381,56,Back,4253208389,213,6.3,,,,,,,a60hpbc5lfxj5cj82iadif622,D. Okamura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544140125,5,44,1,0,7,e90fnsgtnamze3yssxpg392eb,1,57.6,84.4,2023-05-06T05:03:17.959Z,2023-05-06T05:03:19Z,4253208399,233,4,4253208375,56,Left,4253208377,286,,,,,,,,,,,,,,,,,63245yg2ywq2p2s85w4vdokd0,K. Matsuki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544140129,4,44,1,0,7,1f3ehp8p9yi8reamghry4p76t,0,42.4,15.6,2023-05-06T05:03:17.960Z,2023-05-06T05:03:20Z,4253208397,285,,4253208417,233,5,4253208395,56,Back,,,,,,,,,,,,,,,,61mnri2ox1dao9jdo2ye42i8l,T. Arano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544140131,6,1,1,0,8,e90fnsgtnamze3yssxpg392eb,1,54.8,89.8,2023-05-06T05:03:18.282Z,2023-05-06T05:32:55Z,4253208413,213,6.3,4253208405,56,Left,4253208403,3,,4253208407,140,68.8,4253208409,141,89.4,4253208411,212,14.7,,,,,,,63245yg2ywq2p2s85w4vdokd0,K. Matsuki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544140133,7,61,1,0,10,e90fnsgtnamze3yssxpg392eb,1,69.7,90.5,2023-05-06T05:03:20.817Z,2023-05-06T05:32:53Z,4253208421,56,Left,,,,,,,,,,,,,,,,,,,,,,elwh2hvzlbju52obpqmh39vxl,Perotti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544140139,8,1,1,0,11,e90fnsgtnamze3yssxpg392eb,1,73.8,91.8,2023-05-06T05:03:21.602Z,2023-05-06T05:03:22Z,4253208441,212,5.4,4253208435,56,Left,4253208443,213,4.1,4253208437,140,70.7,4253208439,141,85.4,,,,,,,,,,3o1ca5xdl2d20r1cwx3r548gl,Adaílton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544140141,9,1,1,0,12,e90fnsgtnamze3yssxpg392eb,1,70.7,85.4,2023-05-06T05:03:22.049Z,2023-05-06T05:03:24Z,4253208463,140,79.4,4253208465,141,96.3,4253208467,212,11.8,4253208461,56,Left,4253208469,213,0.7,,,,,,,,,,1t02yvbqtxoq0xlil3o88bgx6,S. Abe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544140143,10,61,1,0,14,e90fnsgtnamze3yssxpg392eb,0,76.4,88.4,2023-05-06T05:03:24.481Z,2023-05-06T05:03:24Z,4253208475,56,Left,,,,,,,,,,,,,,,,,,,,,,3o1ca5xdl2d20r1cwx3r548gl,Adaílton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
