id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/14/value,qualifier/16/value,qualifier/15/value
2542825799,1,34,16,0,0,1f3ehp8p9yi8reamghry4p76t,1,0,0,2023-05-03T04:06:24.472Z,2023-05-03T06:19:52Z,4246187251,30,"8978k9hzej7ocv8ng09i1zcut, 7de6u27l0rm2y8aigjr2i0ru, f06bxfhvobzkepanw3nm1vzzd, a60hpbc5lfxj5cj82iadif622, 8cmqekmxeybrc8c9ml7rwdai2, 2jgby6e91uem5e2dd1b11psoa, du14luqzm3al3uw51qs2bzqol, 51ny01vwhnzkkd50iy4pfyor9, 9bvp90vtnqsbq3muka37rm40l, ez4fqumbyew4fsvisf0ziml4a, 70pwpkwjgkp07b4m4jdz1l0fe, 5s151hcgpbhtuuarwfchd47ze, bcctcysurrrfw25szzr1pjsnp, 1bjh7t56w2jg6berm300782c5, 676393u877l71t3rli4ukbq39, 28wgdmao7y8qbj30feniqnj3e, bj3ve8inko999nctm66s76acp, 9wan49fvimh705r3jjfrlhuc5",4246187257,130,18,4246187263,197,5044,4246187255,59,"25, 9, 4, 50, 2, 6, 14, 5, 11, 18, 19, 3, 7, 10, 21, 32, 49, 99",4246187253,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4246187261,194,51ny01vwhnzkkd50iy4pfyor9,4246187265,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4246187259,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542825985,1,34,16,0,0,9s2g5k3dlmfii452t8edaeozh,1,0,0,2023-05-03T04:11:07.133Z,2023-05-03T05:06:27Z,4246188215,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4246188207,30,"8i7aw5yhze1xiw2d2g5wax91w, 15b53vkcltdxtbt1zt4peswd1, 7xvwcat6dce9y9obgc8e2s1k9, cs1e2ou4h94utke3qdy14fiay, cqjhp31uh46s2jfedo48h86ol, cvobb9nkum41ldfnfszy42xka, 8shr0ghxn6d8uoiiideh3rmne, 4mnxvvl5unk1t8k2lkac3yor9, 51xel26o3uzvjdbcywcunmu3t, 4c03ukpq8hq69ykgcypq5jf8p, 5rilbggz566o3ixxga08zimdx, 21urhapqadraths78se3rh0ph, 22ad41qtjnxsdo3piosg6mn6d, 412cup9h8jkgivwiroq8mpfjd, 2gwfsjoj9diiuxr1kdga93mc5, bqrfxy265rurcjw7c5swwjl9m, 950svxoswapg0ws25uo7jy2nd, cxpzniw7x2s4sdsv6oivq91jo",4246188221,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4246188211,59,"29, 22, 32, 14, 55, 5, 30, 21, 40, 37, 33, 3, 8, 13, 17, 27, 31, 34",4246188217,194,51xel26o3uzvjdbcywcunmu3t,4246188219,197,5841,4246188209,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4246188213,130,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542830197,2,32,1,0,0,9s2g5k3dlmfii452t8edaeozh,1,0,0,2023-05-03T05:03:39.693Z,2023-05-03T05:03:42Z,4246207297,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542830193,2,32,1,0,0,1f3ehp8p9yi8reamghry4p76t,1,0,0,2023-05-03T05:03:39.693Z,2023-05-09T13:31:38Z,4246207275,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542830203,3,1,1,0,0,9s2g5k3dlmfii452t8edaeozh,1,49.7,49.9,2023-05-03T05:03:39.793Z,2023-05-03T05:05:43Z,4246207317,56,Back,4246207327,279,S,4246207321,141,39.4,4246207325,213,3.5,4246207323,212,23.4,4246207319,140,28.5,,,,,,,4c03ukpq8hq69ykgcypq5jf8p,Y. Kakita,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542830245,4,1,1,0,3,9s2g5k3dlmfii452t8edaeozh,0,28.8,37.1,2023-05-03T05:03:42.778Z,2023-05-03T05:03:53Z,4246207497,1,,4246207491,141,100.0,4246207493,212,72.1,4246207487,56,Left,4246207485,157,,4246207495,213,0.7,4246207489,140,83.3,,,,cqjhp31uh46s2jfedo48h86ol,N. Ueda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542830241,3,5,1,0,8,1f3ehp8p9yi8reamghry4p76t,1,16.3,-1.4,2023-05-03T05:03:48.035Z,2023-05-03T05:03:51Z,4246207511,233,5,4246207475,56,Back,4246207477,347,,,,,,,,,,,,,,,,,70pwpkwjgkp07b4m4jdz1l0fe,T. Ogashiwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542830249,5,5,1,0,8,9s2g5k3dlmfii452t8edaeozh,0,83.7,101.4,2023-05-03T05:03:48.035Z,2023-05-03T05:05:19Z,4246207505,347,,4246207529,233,3,4246207503,56,Left,,,,,,,,,,,,,,,,51xel26o3uzvjdbcywcunmu3t,Y. Suzuki,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542830261,4,1,1,0,14,1f3ehp8p9yi8reamghry4p76t,1,22.8,0,2023-05-03T05:03:54.210Z,2023-05-03T05:03:55Z,4246207587,56,Back,4246207593,212,7.7,4246207591,141,5.0,4246207589,140,16.8,4246207585,107,,4246207595,213,2.5,,,,,,,7de6u27l0rm2y8aigjr2i0ru,T. Kaneko,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542830281,5,1,1,0,15,1f3ehp8p9yi8reamghry4p76t,0,17.5,4.9,2023-05-03T05:03:55.444Z,2023-05-03T05:04:15Z,4246207681,213,0.4,4246207673,56,Back,4246207679,212,30.4,4246207677,141,20.9,4246207993,155,,4246207675,140,44.5,,,,,,,8cmqekmxeybrc8c9ml7rwdai2,S. Tanaka,,,,,,,,,,,,,,,,,,,,,,,,,,,,
