id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/8/value,keyPass,qualifier/11/value,qualifier/12/value,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2533359663,1,34,16,0,0,2cwez3hk2i75ope3qyu54cqh1,1,0,0,2023-04-15T05:01:17.479Z,2023-04-15T05:54:00Z,4188922541,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4188922539,197,5031,4188922537,194,crytuzcclp9vswqsnwwkvubit,4188922527,30,"2l3mrt15ldruy0y7b5n5aiz8p, 11xe4cn95zc9a5s4gtfd6kcgk, gdz8r5nsoq3gt8ujug4cv0mh, acr0ml1scc6iyvg8yzk8s9rs9, 4d97t25ita5v6jzni0vpnixg5, dmuwwelctq9hiy12xwwguiwdm, 585zyri5hq2bu4j8kmjhnxi39, crytuzcclp9vswqsnwwkvubit, 8dxp5caa7cl7yqamst9tpxej9, b3mo6ycp38zd2ecbzxoc8en6d, 7q6m9kh79u477neouw0z7xt5h, 3cen673039ickz8g3q4ryqvze, 3v695dpbm6bdgifkyhlie6kbu, effts3pvx458med3adk4yagnp, 8jh2hi287wjaldwq5e5185wq1, 1v26me41hp0pg52oflxiaf45x, enfnckq0atgnq0ky2xokmzizt, 64kh102i5g21rdu01h74pjjyt",4188922533,130,8,4188922535,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4188922529,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4188922531,59,"1, 28, 2, 6, 4, 33, 18, 8, 11, 10, 7, 15, 16, 17, 20, 21, 30, 41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533361383,1,34,16,0,0,83d6z6wvkzs3dx9oy3mftixow,1,0,0,2023-04-15T05:11:28.272Z,2023-04-15T06:04:01Z,4188934887,59,"1, 3, 44, 22, 4, 2, 11, 20, 18, 7, 13, 6, 10, 15, 21, 26, 29, 88",4188934895,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4188934893,194,8alc0ohhvwzzpv25jxnicfmqd,4188934889,130,19,4188934883,30,"5ai6500e7oug5v5hybnkfzh7t, 3tx6890pt4hfaz45foj1nhey1, 8d1sjb0uxmgz8945khj6ovmqd, 8alc0ohhvwzzpv25jxnicfmqd, 1acnyk8g437ayer0m4e1331pm, etsgyfejyka71co7e2xeq6r55, 2rdx221tb304urcypk3y5nkk5, ec0zzrcibmg2r6apg8a0c81cl, 4o71xxq6qdkhug58a073fxega, 978z8ejc2jneguyb6yq430g5x, 3mqvpqnv1yixpclmxsvqfoxec, 63x2f9goh9q2g6ql4r0ll4w5x, 2lwcix6j3nphfos61pidoxuj9, cpats5brlfpugqtw8hi4vigdm, 82jbtoimbxpaomrvm1q3wm5ex, 9w0brh9x5ez6yoiinh50g6y5m, c7ukr0stxvyflr3xfod5zkpp0, docsi872whx44eedrczqua385",4188934885,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4188994085,197,5056,4188934891,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533372863,2,32,1,0,0,83d6z6wvkzs3dx9oy3mftixow,1,0,0,2023-04-15T06:03:15.334Z,2023-04-20T10:43:30Z,4189000489,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533372857,2,32,1,0,0,2cwez3hk2i75ope3qyu54cqh1,1,0,0,2023-04-15T06:03:15.334Z,2023-04-15T06:03:16Z,4189000479,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533372911,3,1,1,0,0,83d6z6wvkzs3dx9oy3mftixow,1,50,50,2023-04-15T06:03:16.065Z,2023-04-15T06:03:22Z,4189000663,1,,4189000659,212,34.1,4189000665,279,S,4189000657,141,84.8,4189000653,56,Back,4189000655,140,26.6,4189000661,213,2.4,,,,4o71xxq6qdkhug58a073fxega,S. Machino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533372931,4,1,1,0,3,83d6z6wvkzs3dx9oy3mftixow,0,26.6,92,2023-04-15T06:03:19.186Z,2023-04-20T10:44:12Z,4189000723,213,6.2,4189000725,1,,4189000713,155,,4189000715,56,Left,4189000721,212,46.3,4189000717,140,70.6,4189000719,141,87.4,,,,etsgyfejyka71co7e2xeq6r55,D. Sugioka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533372937,3,1,1,0,7,2cwez3hk2i75ope3qyu54cqh1,1,30.9,10.1,2023-04-15T06:03:23.242Z,2023-04-15T06:03:26Z,4189000741,3,,4189000751,213,0.0,4189000743,56,Back,4189000745,140,41.1,4189000747,141,10.3,4189000749,212,10.7,,,,,,,11xe4cn95zc9a5s4gtfd6kcgk,R. Yamane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533372947,5,49,1,0,10,2cwez3hk2i75ope3qyu54cqh1,1,25.1,7.1,2023-04-15T06:03:25.844Z,2023-04-20T10:54:41Z,,,,,,,,,,,,,,,,,,,,,,,,,crytuzcclp9vswqsnwwkvubit,T. Kida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533372939,4,1,1,0,12,2cwez3hk2i75ope3qyu54cqh1,1,20.1,12,2023-04-15T06:03:27.408Z,2023-04-20T10:54:42Z,4189016913,213,4.4,4189016911,212,4.1,4189016907,141,6.2,4189016903,140,18.9,4189000755,56,Back,,,,,,,,,,crytuzcclp9vswqsnwwkvubit,T. Kida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533372953,6,1,1,0,14,2cwez3hk2i75ope3qyu54cqh1,0,25.1,7.1,2023-04-15T06:03:29.362Z,2023-04-20T10:54:46Z,4189000801,213,0.9,4189000799,212,38.7,4189000803,1,,4189000797,141,50.3,4189000793,56,Back,4189000795,140,49.1,4189000789,155,,,,,11xe4cn95zc9a5s4gtfd6kcgk,R. Yamane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533372965,5,49,1,0,15,83d6z6wvkzs3dx9oy3mftixow,1,54,45.4,2023-04-15T06:03:31.241Z,2023-04-15T06:03:31Z,,,,,,,,,,,,,,,,,,,,,,,,,1acnyk8g437ayer0m4e1331pm,K. Tachi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533372977,6,1,1,0,16,83d6z6wvkzs3dx9oy3mftixow,1,54,45.4,2023-04-15T06:03:31.506Z,2023-04-15T06:03:32Z,4189000879,56,Center,4189000887,213,6.2,4189000883,141,42.5,4189000885,212,15.2,4189000881,140,68.4,,,,,,,,,,1acnyk8g437ayer0m4e1331pm,K. Tachi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533372985,7,1,1,0,17,83d6z6wvkzs3dx9oy3mftixow,1,68.4,42.5,2023-04-15T06:03:32.898Z,2023-04-20T10:56:03Z,4204070839,156,,4189000913,56,Center,4189000915,140,65.0,4189000921,213,2.3,4189000919,212,5.1,4189000917,141,47.9,,,,,,,2rdx221tb304urcypk3y5nkk5,T. Elyounoussi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533372991,8,1,1,0,18,83d6z6wvkzs3dx9oy3mftixow,0,65,47.9,2023-04-15T06:03:33.554Z,2023-04-15T06:03:35Z,4189000935,140,65.8,4189000933,56,Center,4189000939,212,3.8,4189000941,213,1.3,4189000953,286,,4189000937,141,53.4,4189000947,236,,4189000949,233,7,1acnyk8g437ayer0m4e1331pm,K. Tachi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533372973,7,74,1,0,18,2cwez3hk2i75ope3qyu54cqh1,1,37,40.4,2023-04-15T06:03:33.555Z,2023-04-15T06:03:35Z,4189000869,285,,4189000975,233,8,4189000867,56,Back,,,,,,,,,,,,,,,,acr0ml1scc6iyvg8yzk8s9rs9,K. Watanabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533372995,8,1,1,0,19,2cwez3hk2i75ope3qyu54cqh1,0,33.8,28.5,2023-04-15T06:03:35.204Z,2023-04-15T06:13:00Z,4189019917,286,,4189000967,213,0.6,4189000963,141,29.9,4189000959,56,Back,4189000965,212,1.8,4189019913,233,63,4189019911,236,,4189000961,140,35.2,crytuzcclp9vswqsnwwkvubit,T. Kida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533377087,63,74,1,0,19,83d6z6wvkzs3dx9oy3mftixow,1,63,70.7,2023-04-15T06:03:35.205Z,2023-04-15T06:19:10Z,4189019919,233,8,4189019893,285,,4189019891,56,Center,,,,,,,,,,,,,,,,1acnyk8g437ayer0m4e1331pm,K. Tachi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533373045,9,1,1,0,23,83d6z6wvkzs3dx9oy3mftixow,1,71,74.1,2023-04-15T06:03:39.033Z,2023-04-15T06:03:45Z,4189001149,56,Left,4189001157,213,0.5,4189001155,212,18.1,4189001153,141,87.7,4189001151,140,85.8,,,,,,,,,,8d1sjb0uxmgz8945khj6ovmqd,Y. Nakano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533373049,10,1,1,0,30,83d6z6wvkzs3dx9oy3mftixow,0,94,76.1,2023-04-15T06:03:45.881Z,2023-04-20T10:59:17Z,4189001185,141,53.1,4189001183,140,96.5,4189001187,212,15.9,4189001189,213,4.9,4189001177,155,,4189001181,56,Center,4204077873,225,,4189001171,2,,3mqvpqnv1yixpclmxsvqfoxec,T. Hiraoka,4204077875,386,4204077877,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
