id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/8/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/11/value,qualifier/12/value,qualifier/18/id,qualifier/18/qualifierId,assist
2526279959,1,34,16,0,0,2cwez3hk2i75ope3qyu54cqh1,1,0,0,2023-04-01T06:00:15.889Z,2023-04-01T06:58:54Z,4151240951,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4151240945,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4151240941,59,"1, 38, 2, 6, 4, 5, 18, 8, 11, 30, 7, 10, 15, 16, 17, 20, 21, 28",4151240949,197,5031,4151240939,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4151240937,30,"2l3mrt15ldruy0y7b5n5aiz8p, 9yjk78212f5mzei9zey47tr84, gdz8r5nsoq3gt8ujug4cv0mh, acr0ml1scc6iyvg8yzk8s9rs9, 4d97t25ita5v6jzni0vpnixg5, 6dg5uo3zb4fti2k3i8qe7urbp, 585zyri5hq2bu4j8kmjhnxi39, crytuzcclp9vswqsnwwkvubit, 8dxp5caa7cl7yqamst9tpxej9, enfnckq0atgnq0ky2xokmzizt, 7q6m9kh79u477neouw0z7xt5h, b3mo6ycp38zd2ecbzxoc8en6d, 3cen673039ickz8g3q4ryqvze, 3v695dpbm6bdgifkyhlie6kbu, effts3pvx458med3adk4yagnp, 8jh2hi287wjaldwq5e5185wq1, 1v26me41hp0pg52oflxiaf45x, 11xe4cn95zc9a5s4gtfd6kcgk",4151240943,130,8,4151240947,194,crytuzcclp9vswqsnwwkvubit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526284279,1,34,16,0,0,90cc40yau7yv6n8r4xs361ofd,1,0,0,2023-04-01T06:13:00.556Z,2023-04-01T07:00:00Z,4151261525,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4151261517,30,"rwrgxpcw0fbw23nmrol7w0d1, a1c22m80hq868xo8ekebeh39x, 9lx0ga5gyyydtll2lykm496fp, 5rojh6x1n0mshbzfhcjramn6d, cswf4egr4vc9p1mcfdhlfj8id, d5ohcms1wnysq8ydfrbbfhrvu, c0462ainildhz7zmyosnafmc5, 77487qauk9fkzlesgze21odsl, 7wg0d34b0cdh7fxgetfgqs8np, a48j66n8bzz6ffcsyiodbfwq2, 6i35vaig8vo8uu549elm5kul1, a5bv94qfazsluavgaoxrys0rt, 9qugefy6toogpl37zi90s9uy1, 1y7418qkypc0tg1fpx0anycfe, ehnhef906i6z4e7hn7ae1p68l, 57140tg9gdrk4iqqhxbfomjmx, cvt6409ohlrm4x3jl75gyqy1, bg6f1chwq529zvdu7zcsz68r9",4151261531,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4151261527,194,5rojh6x1n0mshbzfhcjramn6d,4151261523,130,4,4151261529,197,4991,4151261521,59,"21, 2, 6, 17, 22, 24, 25, 8, 9, 16, 19, 3, 5, 7, 11, 20, 27, 31",4151261519,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526298343,2,32,1,0,0,90cc40yau7yv6n8r4xs361ofd,1,0,0,2023-04-01T07:03:20.745Z,2023-04-06T14:03:47Z,4151338405,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526298341,2,32,1,0,0,2cwez3hk2i75ope3qyu54cqh1,1,0,0,2023-04-01T07:03:20.745Z,2023-04-01T07:03:20Z,4151338403,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526298355,3,1,1,0,0,2cwez3hk2i75ope3qyu54cqh1,1,50.1,50,2023-04-01T07:03:20.845Z,2023-04-01T07:03:23Z,4151338449,56,Back,4151338455,212,22.0,4151338457,213,3.5,4151338453,141,40.1,4151338459,279,S,4151338451,140,30.2,,,,,,,crytuzcclp9vswqsnwwkvubit,T. Kida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526298361,4,1,1,0,2,2cwez3hk2i75ope3qyu54cqh1,1,30.2,40.1,2023-04-01T07:03:22.852Z,2023-04-01T07:03:24Z,4151338485,141,46.0,4151338489,213,1.7,4151338481,56,Back,4151338483,140,29.6,4151338487,212,4.1,,,,,,,,,,6dg5uo3zb4fti2k3i8qe7urbp,Eduardo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526298365,5,1,1,0,3,2cwez3hk2i75ope3qyu54cqh1,1,30.1,45.8,2023-04-01T07:03:24.451Z,2023-04-01T07:03:25Z,4151338503,212,14.1,4151338501,141,51.5,4151338499,140,43.0,4151338505,213,0.3,4151338497,56,Back,,,,,,,,,,4d97t25ita5v6jzni0vpnixg5,S. Hatanaka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526298377,6,1,1,0,5,2cwez3hk2i75ope3qyu54cqh1,1,43,51.6,2023-04-01T07:03:25.811Z,2023-04-01T07:03:30Z,4151338539,56,Back,4151338541,140,32.3,4151338547,213,3.3,4151338543,141,49.7,4151338545,212,11.3,,,,,,,,,,acr0ml1scc6iyvg8yzk8s9rs9,K. Watanabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526298385,7,1,1,0,9,2cwez3hk2i75ope3qyu54cqh1,1,31.3,55.7,2023-04-01T07:03:30.116Z,2023-04-01T07:03:33Z,4151338579,212,20.2,4151338577,141,85.4,4151338573,56,Back,4151338581,213,1.5,4151338575,140,31.9,,,,,,,,,,6dg5uo3zb4fti2k3i8qe7urbp,Eduardo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526298393,8,1,1,0,12,2cwez3hk2i75ope3qyu54cqh1,0,31.5,87.5,2023-04-01T07:03:33.172Z,2023-04-01T07:03:33Z,4151338599,141,85.1,4151338601,212,7.5,4151338603,213,6.1,4151338597,140,38.5,4151338595,56,Back,,,,,,,,,,gdz8r5nsoq3gt8ujug4cv0mh,K. Nagato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526298397,3,8,1,0,13,90cc40yau7yv6n8r4xs361ofd,1,67.7,14.1,2023-04-01T07:03:34.494Z,2023-04-06T14:09:44Z,4167563945,383,,4151338619,56,Right,,,,,,,,,,,,,,,,,,,a48j66n8bzz6ffcsyiodbfwq2,S. Maikuma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526298399,4,49,1,0,14,90cc40yau7yv6n8r4xs361ofd,1,67.4,14,2023-04-01T07:03:35.131Z,2023-04-01T07:03:35Z,,,,,,,,,,,,,,,,,,,,,,,,,a48j66n8bzz6ffcsyiodbfwq2,S. Maikuma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526298409,5,1,1,0,15,90cc40yau7yv6n8r4xs361ofd,1,65.4,4.4,2023-04-01T07:03:36.508Z,2023-04-01T07:03:40Z,4151338663,213,0.2,4151338661,212,10.6,4151338657,140,75.3,4151338659,141,7.7,4151338655,56,Right,,,,,,,,,,a48j66n8bzz6ffcsyiodbfwq2,S. Maikuma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526298413,6,1,1,0,19,90cc40yau7yv6n8r4xs361ofd,1,71.5,1.6,2023-04-01T07:03:40.491Z,2023-04-01T07:03:41Z,4151338695,212,4.5,4151338689,56,Right,4151338691,140,69.1,4151338697,213,2.2,4151338693,141,7.0,,,,,,,,,,77487qauk9fkzlesgze21odsl,S. Kagawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526298419,7,1,1,0,20,90cc40yau7yv6n8r4xs361ofd,1,68.8,7,2023-04-01T07:03:41.244Z,2023-04-01T07:03:43Z,4151338721,56,Right,4151338729,213,0.1,4151338727,212,20.2,4151338723,140,88.0,4151338725,141,9.8,,,,,,,,,,a1c22m80hq868xo8ekebeh39x,R. Matsuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
