id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/15/value,assist,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2526269747,1,34,16,0,0,83d6z6wvkzs3dx9oy3mftixow,1,0,0,2023-04-01T05:14:30.149Z,2023-04-01T06:01:28Z,4151184829,197,12765,4151184831,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4151184821,59,"23, 3, 44, 22, 4, 2, 88, 20, 18, 7, 11, 1, 6, 10, 13, 16, 25, 29",4151184817,30,"aua94lt20qwged96rn4hzz3rp, 3tx6890pt4hfaz45foj1nhey1, 8d1sjb0uxmgz8945khj6ovmqd, 8alc0ohhvwzzpv25jxnicfmqd, 1acnyk8g437ayer0m4e1331pm, etsgyfejyka71co7e2xeq6r55, docsi872whx44eedrczqua385, ec0zzrcibmg2r6apg8a0c81cl, 4o71xxq6qdkhug58a073fxega, 978z8ejc2jneguyb6yq430g5x, 2rdx221tb304urcypk3y5nkk5, 5ai6500e7oug5v5hybnkfzh7t, 63x2f9goh9q2g6ql4r0ll4w5x, 2lwcix6j3nphfos61pidoxuj9, 3mqvpqnv1yixpclmxsvqfoxec, dc5xn6dglh6hkc8bfvx2r9kut, 7kw2rg2vf2sqs486bdasi20ru, c7ukr0stxvyflr3xfod5zkpp0",4151184827,194,8alc0ohhvwzzpv25jxnicfmqd,4151184819,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4151184825,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4151184823,130,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526270347,1,34,16,0,0,92br3632xgmc25jvr0jesfvl6,1,0,0,2023-04-01T05:17:08.445Z,2023-04-01T06:05:11Z,4151188367,30,"2mlhzuv74jc84rckx21ctofd, 4xg5pywcbv3pho0idx326s7e2, 76x9dtsoan0d48m4h6gjr8bca, i3mv8ja69kgrfm3leprosfe1, 8d2l4zwaz145adziclzc764t1, 5426us5htztnint9qxlhfugkq, 7ot8yoc3nghpbgdkexc2g4j8q, crs9cbmof39x40h175yi7naol, cts4m629mfz3knbeyri4021n9, 2kcise3j2ab8hq0n2vgf391wp, ewm5o6wx18ujlzhyai425ak15, bnejmblsp0svuw4x3ngkgwonp, 23n7wb0am537w2rutg074gpg5, 4g3jv6nwzqmv6tow2stbtrt1x, 7yt16wh1vrezxyfbvtrpn78mi, 3qx2f9tqr7qn9wvs5dt4b5nqi, ejiqb92493nx7l8wifxbw5hp1, 8sjwzm5s22rk4wxhbpx099jx0",4151188375,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4151188377,194,7ot8yoc3nghpbgdkexc2g4j8q,4151188373,130,4,4151188381,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4151188371,59,"99, 3, 24, 23, 5, 34, 29, 48, 9, 8, 47, 1, 2, 11, 13, 14, 18, 28",4151188369,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4151188379,197,5066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526280503,2,32,1,0,0,92br3632xgmc25jvr0jesfvl6,1,0,0,2023-04-01T06:03:23.320Z,2023-04-01T06:03:25Z,4151243065,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526280501,2,32,1,0,0,83d6z6wvkzs3dx9oy3mftixow,1,0,0,2023-04-01T06:03:23.320Z,2023-04-01T06:03:23Z,4151243063,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526280527,3,1,1,0,0,83d6z6wvkzs3dx9oy3mftixow,1,50,50,2023-04-01T06:03:23.420Z,2023-04-01T06:03:28Z,4151243137,141,77.6,4151243135,140,26.0,4151243143,279,S,4151243133,56,Back,4151243141,213,2.5,4151243139,212,31.4,,,,,,,978z8ejc2jneguyb6yq430g5x,H. Abe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526280537,4,1,1,0,5,83d6z6wvkzs3dx9oy3mftixow,1,27,80.6,2023-04-01T06:03:28.789Z,2023-04-01T06:03:31Z,4151243201,140,48.3,4151243199,56,Back,4151243203,141,98.0,4151243205,212,25.3,4151243207,213,0.5,,,,,,,,,,etsgyfejyka71co7e2xeq6r55,D. Sugioka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526280551,5,1,1,0,7,83d6z6wvkzs3dx9oy3mftixow,1,48.3,98,2023-04-01T06:03:31.226Z,2023-04-01T06:03:35Z,4151243247,56,Back,4151243255,213,3.3,4151243249,140,27.4,4151243251,141,93.0,4151243253,212,22.2,,,,,,,,,,8d1sjb0uxmgz8945khj6ovmqd,Y. Nakano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526280567,6,1,1,0,12,83d6z6wvkzs3dx9oy3mftixow,1,26,92.6,2023-04-01T06:03:35.662Z,2023-04-01T06:03:38Z,4151243323,141,60.6,4151243321,140,8.3,4151243327,213,4.0,4151243319,56,Back,4151243325,212,28.6,,,,,,,,,,etsgyfejyka71co7e2xeq6r55,D. Sugioka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526280579,7,1,1,0,14,83d6z6wvkzs3dx9oy3mftixow,0,8.2,60.6,2023-04-01T06:03:38.181Z,2023-04-01T06:03:40Z,4151243393,140,34.6,4151243399,213,0.8,4151243391,56,Back,4151243397,212,39.4,4151243389,155,,4151243395,141,100.0,4151243401,1,,,,,aua94lt20qwged96rn4hzz3rp,D. Tomii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526280641,3,5,1,0,15,92br3632xgmc25jvr0jesfvl6,1,64.2,-1.5,2023-04-01T06:03:38.780Z,2023-04-01T06:03:53Z,4151243617,233,8,4151243605,56,Right,4151243607,347,,,,,,,,,,,,,,,,,2kcise3j2ab8hq0n2vgf391wp,R. Meshino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
