id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/10/value,assist,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2551408647,1,34,16,0,0,bbt5nqwufsne7r0zfa6pvpmfa,1,0,0,2023-05-20T06:01:39.530Z,2023-05-20T06:57:14Z,4291943045,59,"1, 19, 15, 16, 23, 3, 5, 22, 10, 11, 14, 26, 27, 28, 29, 31, 33, 34",4291943051,194,83wyz3tyibxx8t5bnvtedpjo5,4291943043,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4291943053,197,11145,4291943041,30,"71nmf5ieohq83rj1ah9j94a21, 1ma8gce4os15aa6p7u24dlj3d, 666fx7wetbxy3ri2hlfdn8ph, c1bmg5i86q1qye115yyz4qvah, f2mpyljll9npb71owp1tlzy7d, 8ms57twka5pm6och4fndo2r8q, 83wyz3tyibxx8t5bnvtedpjo5, 2fpbnagisq2zqfordsc9fkjfu, 22imd9on624739u8fym5n640l, 3bl0mhzv53z17qkbezviavg0l, 196dypy60x08uuc7cltabdcr9, 62v83t4tsl4zt6kquo32vqay1, go7p2ijq9w10e8k9q4wz6c5w, 75oypu20gsn9naz102zs9239w, drtfhsho2kjit9gfq6u9eujmx, f48vsvku9qpdc0cobsqmplf55, 9whpm2j0zai890ysmcre6lpzp, 72kqs3ac4qyb8jq5isqpketqs",4291943055,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4291943049,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4291943047,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551411857,1,34,16,0,0,3lyo0vqgndy4fuzlfo5l9ql30,1,0,0,2023-05-20T06:16:18.522Z,2023-05-20T06:16:18Z,4291960189,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4291960187,130,8,4291960185,59,"46, 24, 16, 5, 50, 4, 11, 28, 19, 10, 14, 2, 6, 9, 17, 21, 34, 43",4291960191,194,bcqjrpgcfyzggcts863ck11bd,4291960183,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4291960193,197,5064,4291960195,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4291960181,30,"5ha4d9cmkfc0zdfjtmqt3mg6i, cq5sbfpf2mphplrzyb2tmsxxx, h84l7hezwweq4hmxnb0q7651, cgv10p2fly70zfpm74nmyx8bu, aju96fh38fg93pp3dasz29hwp, bcqjrpgcfyzggcts863ck11bd, 3n5ebr69aqovbxiw13g2zymeh, exhzpkx6j2ffgblv06ummy356, 7zxscftntxqon7k8h7ozac3fu, 1d57az0nmca33zgcta21912p5, 9bk61hqoeloi792bgxkq0owyd, 4dcx2psoevoocmxjm4mrokyqx, b1yiwq0bmix3nvs4snp5gmmsp, 6vedxvw1nzhkl23yi0wkxaaj9, 5vwzliaibdlhfm38g8v5z0r8p, 5e8x9ph9g69u29zz3u7xwsm0a, 1lpeuezmfcsmjnaxuts5hrx90, exyx48j2vy8pe6e2t126f0650",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551422369,2,32,1,0,0,3lyo0vqgndy4fuzlfo5l9ql30,1,0,0,2023-05-20T07:03:17.746Z,2023-05-20T07:03:17Z,4292014625,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551422377,2,32,1,0,0,bbt5nqwufsne7r0zfa6pvpmfa,1,0,0,2023-05-20T07:03:17.746Z,2023-05-20T07:03:19Z,4292014653,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551422387,3,1,1,0,0,bbt5nqwufsne7r0zfa6pvpmfa,1,50,50,2023-05-20T07:03:17.846Z,2023-05-20T07:03:21Z,4292014711,213,2.7,4292014707,141,64.9,4292014709,212,21.8,4292014713,279,S,4292014703,56,Back,4292014705,140,31.6,,,,,,,c1bmg5i86q1qye115yyz4qvah,M. Saito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551422409,4,1,1,0,3,bbt5nqwufsne7r0zfa6pvpmfa,0,30.3,64,2023-05-20T07:03:21.240Z,2023-05-20T07:03:24Z,4292014801,212,55.3,4292014805,1,,4292014803,213,5.5,4292014797,140,68.2,4292014799,141,7.6,4292014793,155,,4292014795,56,Right,,,,666fx7wetbxy3ri2hlfdn8ph,Y. Honda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551422413,3,8,1,0,6,3lyo0vqgndy4fuzlfo5l9ql30,1,29.1,89.9,2023-05-20T07:03:24.295Z,2023-05-20T07:03:24Z,4292014817,56,Back,4292014829,15,,,,,,,,,,,,,,,,,,,,h84l7hezwweq4hmxnb0q7651,E. Katayama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551422423,4,5,1,0,7,3lyo0vqgndy4fuzlfo5l9ql30,0,32.4,101.2,2023-05-20T07:03:25.241Z,2023-05-20T07:07:12Z,4292014875,233,5,4292014861,347,,4292014859,56,Back,,,,,,,,,,,,,,,,h84l7hezwweq4hmxnb0q7651,E. Katayama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551422421,5,5,1,0,7,bbt5nqwufsne7r0zfa6pvpmfa,1,67.6,-1.2,2023-05-20T07:03:25.241Z,2023-05-20T07:03:26Z,4292014855,56,Right,4292014863,233,4,4292014857,347,,,,,,,,,,,,,,,,,666fx7wetbxy3ri2hlfdn8ph,Y. Honda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551422475,6,1,1,0,13,bbt5nqwufsne7r0zfa6pvpmfa,0,67.6,0,2023-05-20T07:03:31.463Z,2023-05-20T07:03:44Z,4292015133,140,83.2,4292015135,141,13.5,4292015131,56,Right,4292015139,213,0.5,4292015129,107,,4292015137,212,19.0,,,,,,,1ma8gce4os15aa6p7u24dlj3d,R. Hatsuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
