id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/10/value,qualifier/12/value,qualifier/15/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId
2548435647,1,34,16,0,0,ydlnn8jofdkseegh42az3fpt,1,0,0,2023-05-14T03:27:23.832Z,2023-05-14T04:46:01Z,4276161225,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4276161217,30,"emw5plh1tvy8dc86odc9xmprd, 76l36yrzqri48jtz5idaxjyzt, 8ml40qwf2tnqc72oy6zo68ic5, 1wqc5xmo6zuuatorteg0zz78q, 2ati8vm9atqgr7pw57olfrr2t, t3mr37pe6ebkr18v3n9373kl, 6q6m86e4vt46tk3bzgfvaq904, 3qfugmdyrphh09ktbhqqid3p, bc3t2v3tt6phv43c5v89u5ckp, 74nsqkyskico0dzgtxjheka5m, 5dvxh6xzjxetb0lx04uxztb6d, bpzxb7f450i503nsl4wj1xk2x, u4whgg6ojxpsaktaikdpl785, 1xnz11whvodane2pc9dj1jphx, e7eqz8gzhxdfdkiwbd8dkrz3e, 4lu1bc2hlxs0glhnc3nlek4k4, 6vsv85w7h0972blejy2yl0844, 9cj392dzw0u8cr467wuijecmi",4276161229,197,10236,4276161221,59,"31, 29, 14, 5, 3, 33, 30, 6, 11, 8, 9, 1, 10, 18, 20, 27, 28, 35",4276161223,130,17,4276161227,194,2ati8vm9atqgr7pw57olfrr2t,4276161231,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4276161219,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548442067,1,34,16,0,0,27o8mdqno6jslcjb709sxjwyy,1,0,0,2023-05-14T03:44:59.447Z,2023-05-14T03:44:59Z,4276199329,59,"71, 42, 23, 5, 30, 2, 24, 19, 10, 8, 29, 7, 9, 14, 18, 35, 41, 44",4276199337,197,8019,4276199325,30,"9r2zywyi1254rds8d2h4ne0ru, 9b13bzxb1ihm44s5wx421v4oa, eho6q5j8oz6hw3tffv8p0erdg, egr1qg67z829bjgvwi8508yy, cvid25qdznmh1j1lyto6dp695, b2ud6d4vrv31bb5l00jzcogoa, cpr3syuxxldolgb1a5exxvug9, 28yslyo2m2bsim5y5s7fsr0t1, b68uhpy97bj96uyshxaqdsr9, 3glv4ddtgmm6ghdpqmcgr1j6y, ddf07flibb0j2s97fwmnuau3t, 6a51lu3ps4xpzaa1okrpf26ll, ei6bl9rnpy19fhgc649rz6rqh, 5ap11m53rn4jai32lx8ejjzdh, ey5f9ve8nitrasavs98v01coa, 5pgua1i009fqvqfshy4ncgnv9, 6pjif1rwpdftfj1dfee9l5xm2, 6ll3swg4tj5f8mw4k996adz2t",4276199335,194,b68uhpy97bj96uyshxaqdsr9,4276199327,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4276199333,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4276199339,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4276199331,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548455669,2,32,1,0,0,27o8mdqno6jslcjb709sxjwyy,1,0,0,2023-05-14T04:34:32.036Z,2023-05-14T04:34:32Z,4276277961,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548455673,2,32,1,0,0,ydlnn8jofdkseegh42az3fpt,1,0,0,2023-05-14T04:34:32.036Z,2023-05-18T13:48:32Z,4276277967,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548455677,3,1,1,0,0,ydlnn8jofdkseegh42az3fpt,1,49.9,49.7,2023-05-14T04:34:32.136Z,2023-05-14T04:37:50Z,4276278005,212,21.3,4276278009,279,S,4276278001,140,30.6,4276278003,141,59.4,4276277999,56,Back,4276278007,213,2.8,,,,,,,3qfugmdyrphh09ktbhqqid3p,H. Mae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548455693,4,1,1,0,2,ydlnn8jofdkseegh42az3fpt,0,30.3,58.5,2023-05-14T04:34:34.906Z,2023-05-14T04:34:37Z,4276278133,141,31.9,4276278127,155,,4276278131,140,77.7,4276278139,1,,4276278135,212,53.0,4276278129,56,Center,4276278137,213,5.9,,,,1wqc5xmo6zuuatorteg0zz78q,D. Miya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548455705,3,1,1,0,6,27o8mdqno6jslcjb709sxjwyy,0,25.5,68,2023-05-14T04:34:38.219Z,2023-05-14T04:35:42Z,4276278205,56,Center,4276278209,141,75.8,4276278203,3,,4276278207,140,51.4,4276278213,213,0.2,4276278211,212,27.7,,,,,,,b2ud6d4vrv31bb5l00jzcogoa,K. Yamazaki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548455713,4,43,1,0,9,27o8mdqno6jslcjb709sxjwyy,1,0,0,2023-05-14T04:34:41.344Z,2023-05-14T04:35:32Z,4276278247,141,69.9,4276278251,213,0.1,4276279847,144,1,4276278241,3,0,4276278249,212,13.3,4276278243,56,Center,4276278245,140,54.9,,,,3glv4ddtgmm6ghdpqmcgr1j6y,F. Honda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548455717,5,1,1,0,10,27o8mdqno6jslcjb709sxjwyy,0,54.9,69.9,2023-05-14T04:34:42.280Z,2023-05-14T04:34:43Z,4276278277,212,21.3,4276278269,3,,4276278275,141,100.0,4276278279,213,1.3,4276278271,56,Left,4276278273,140,59.5,,,,,,,b68uhpy97bj96uyshxaqdsr9,Y. Ono,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548455727,5,5,1,0,11,ydlnn8jofdkseegh42az3fpt,1,38,-1,2023-05-14T04:34:43.570Z,2023-05-14T04:35:18Z,4276278321,56,Back,4276278323,347,,4276278335,233,6,,,,,,,,,,,,,,,,1wqc5xmo6zuuatorteg0zz78q,D. Miya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548455719,6,5,1,0,11,27o8mdqno6jslcjb709sxjwyy,0,62,101,2023-05-14T04:34:43.570Z,2023-05-14T04:34:45Z,4276278285,56,Left,4276278287,347,,4276278363,233,5,,,,,,,,,,,,,,,,b68uhpy97bj96uyshxaqdsr9,Y. Ono,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
