id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,assist
2540438823,1,34,16,0,0,89wr6p2dkh7wjxtbwhtsruu02,1,0,0,2023-04-29T04:08:33.882Z,2023-04-29T04:08:33Z,4233506945,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4233506941,194,80qq4sxv5janjrt2in0qmgd79,4233506937,130,17,4233506933,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4233506931,30,"6vuryavylbdnwabe4g5yvgzxl, 3rgupzc2gcdg8nyzd78xe98no, d3aj0s7ozmpdbdtub8s5qo962, 80qq4sxv5janjrt2in0qmgd79, czkrfln85uvtb58cau4kz5m5m, 5c2ydgdh3f14lya3spj89m0gl, 1dta13hd6ajv6vw1c4sxmdzvt, 20ckxhxmd6h2jwv1yqi243h05, 33w6jl3u5nonnwk29nrhv9xhx, 4ps37rz4pj6015y18vgktyynd, bslybqpvcs3eosivpxaeksgyx, 2su3ef2yrvsyy64fx6oyyc9g5, 7vmiyl7acw24rtxq2ev6m4up6, 4my8wr7hymw527avppuiojp5g, 9lji59sodapv92xyenwbavr3d, 7mtych33i5kan7ngc4kj17x7t, cqhh4d51iamhrd8flzu1rlz9x, 9lsqinppc86dsw2sitt58lwph",4233506939,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4233506935,59,"38, 32, 24, 19, 4, 33, 8, 7, 13, 11, 10, 9, 14, 15, 16, 17, 20, 22",4233506943,197,11401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540439007,1,34,16,0,0,90cc40yau7yv6n8r4xs361ofd,1,0,0,2023-04-29T04:11:18.827Z,2023-04-29T05:02:07Z,4233508691,197,4991,4233508683,59,"21, 2, 6, 4, 22, 24, 25, 8, 9, 16, 19, 1, 3, 7, 20, 33, 38, 41",4233508679,30,"rwrgxpcw0fbw23nmrol7w0d1, a1c22m80hq868xo8ekebeh39x, 9lx0ga5gyyydtll2lykm496fp, 9d46sx7as05co7z0b91b1fpx, cswf4egr4vc9p1mcfdhlfj8id, d5ohcms1wnysq8ydfrbbfhrvu, c0462ainildhz7zmyosnafmc5, 77487qauk9fkzlesgze21odsl, 7wg0d34b0cdh7fxgetfgqs8np, a48j66n8bzz6ffcsyiodbfwq2, 6i35vaig8vo8uu549elm5kul1, 1wwcosp7djsj0lk59c379luxh, a5bv94qfazsluavgaoxrys0rt, 1y7418qkypc0tg1fpx0anycfe, 57140tg9gdrk4iqqhxbfomjmx, b8uoz55lg5vph4efl6clee4x6, cg2dpmeot9vtf40lnvg5scxsk, 79pu8sflam8hqbmlckw8o0huy",4233508687,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4233508693,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4233508681,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4233508689,194,rwrgxpcw0fbw23nmrol7w0d1,4233508685,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540448279,2,32,1,0,0,90cc40yau7yv6n8r4xs361ofd,1,0,0,2023-04-29T05:03:10.824Z,2023-04-29T05:03:13Z,4233548913,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540448275,2,32,1,0,0,89wr6p2dkh7wjxtbwhtsruu02,1,0,0,2023-04-29T05:03:10.824Z,2023-04-29T05:03:10Z,4233548907,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540448287,3,1,1,0,0,90cc40yau7yv6n8r4xs361ofd,1,49.9,50.1,2023-04-29T05:03:10.924Z,2023-04-29T05:04:36Z,4233548953,279,S,4233548947,141,53.0,4233548951,213,3.0,4233548945,140,33.5,4233548949,212,17.3,4233548941,56,Back,,,,,,,77487qauk9fkzlesgze21odsl,S. Kagawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540448297,4,1,1,0,2,90cc40yau7yv6n8r4xs361ofd,0,30,43.9,2023-04-29T05:03:13.692Z,2023-04-29T05:03:16Z,4233549003,155,,4233549013,213,6.3,4233549007,140,73.4,4233549015,1,,4233549011,212,45.6,4233549005,56,Center,4233549009,141,43.1,,,,cswf4egr4vc9p1mcfdhlfj8id,M. Jonjić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540448315,3,1,1,0,6,89wr6p2dkh7wjxtbwhtsruu02,0,28.1,60,2023-04-29T05:03:17.158Z,2023-04-29T05:03:18Z,4233549079,3,,4233549087,212,14.7,4233549083,140,40.8,4233549089,213,0.4,4233549085,141,69.0,4233549081,56,Back,,,,,,,czkrfln85uvtb58cau4kz5m5m,H. Araki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540448329,5,1,1,0,7,90cc40yau7yv6n8r4xs361ofd,1,61.9,33.1,2023-04-29T05:03:17.883Z,2023-04-29T05:03:20Z,4233549137,140,69.8,4233549141,212,11.2,4233549139,141,22.1,4233549135,56,Center,4233549143,213,5.5,,,,,,,,,,c0462ainildhz7zmyosnafmc5,H. Okuno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540448333,6,1,1,0,9,90cc40yau7yv6n8r4xs361ofd,1,69.6,23,2023-04-29T05:03:19.995Z,2023-04-29T05:03:21Z,4233549155,141,23.6,4233549159,213,3.1,4233549151,56,Center,4233549157,212,5.7,4233549153,140,64.2,,,,,,,,,,a48j66n8bzz6ffcsyiodbfwq2,S. Maikuma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540448345,7,1,1,0,10,90cc40yau7yv6n8r4xs361ofd,1,62.9,23.7,2023-04-29T05:03:20.907Z,2023-04-29T05:03:22Z,4233549195,213,5.0,4233549191,141,7.4,4233549187,56,Right,4233549189,140,65.7,4233549193,212,11.5,,,,,,,,,,c0462ainildhz7zmyosnafmc5,H. Okuno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
