id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/11/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/17/value
2511750897,1,34,16,0,0,18c8ibslzapz40lfb8y5vygcs,1,0,0,2023-02-25T06:02:59.261Z,2023-02-25T07:02:04Z,4053529991,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4053529989,30,"jywyirljzj827gq6pkgb34k5, 8u07m36pydqgg68citu7pilii, an0ry25y0g1r231rva3xbgs15, 96c2ojt4sgo4gfxs7vt1qfxed, dnwwsdy1tfz0o7t0odssfstsl, ecdovu3igm2rwrf6mwannhwmi, a6mikq97x6ldarn4j7i16gatx, 5c3w3zdu6bojrfd8gt8u35o7p, 4o4vrnjw7c3g7j5aw5utyw1cl, 1enckn6zmewa3nupsm95mgkb9, dnvqxvpw9c21y0mb2wdxyua51, 4q09fnw7soqo8q1u50wfde76d, b9q7re294ul5aq3jxch5oomol, 3g0uy8yhevhod17kgrtho63th, iu0xfgqmdqhn8vpgbqwpbnit, 365fyu3119amhqhcr0odemuad, dg1wh53t8qyb8l2dkeibtnkkp, 8zdlz0of41h59r1iizgtsgcbu",4053529993,59,"1, 17, 7, 3, 4, 13, 15, 6, 77, 10, 18, 2, 5, 9, 16, 92, 34, 46",4053529997,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4053529999,194,a6mikq97x6ldarn4j7i16gatx,4053530003,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4053529995,130,17,4053530001,197,5030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511752841,1,34,16,0,0,6bus1cl4b6zdm93290r02o7cx,1,0,0,2023-02-25T06:09:46.800Z,2023-02-25T07:22:55Z,4053540599,30,"7j7c0l6xctuoauvg1tpni3ysp, 23ejdwwhvzovvi7jmek50dyol, 3qguujjae7411ruqhztrfojys, 12ndgojwoabbe9igew1ymcnop, 82f876uvvivzq5hspoy6vpfmy, efwxg8re4wdxgcdxa32aoqyqy, ez252u15v75qpotw00x7n3rhl, 6vkppmpdrvrujfp035ucpib8q, 7csua09fwbprxmixvu567yvv9, 5y6uy0cw3emtxukzgl1xeb4l, darnk2r4rggf7z5dm7t48omp5, 39ix1ftjgermlkf4i12c80u7d, dsg6lclcyu8gvsyyn6jnoii95, 3dcmvl6ile1c42e7zzw4e139x, a9lb9wl7lf9lxpmwril1pyfop, ca4hme0jyql3gf06hmsi89ht6, 1eeq0eka4cjb86tq5l2228dl, c4gfngqz8qeae1xayhyiwg7l6",4053540607,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4053540609,194,6vkppmpdrvrujfp035ucpib8q,4053540601,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4053540613,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4053540611,197,14618,4053540603,59,"1, 14, 44, 3, 4, 5, 19, 7, 9, 23, 22, 8, 10, 11, 24, 25, 32, 47",4053540605,130,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511768793,2,32,1,0,0,18c8ibslzapz40lfb8y5vygcs,1,0,0,2023-02-25T07:03:54.355Z,2023-02-28T15:18:48Z,4053624479,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511768795,2,32,1,0,0,6bus1cl4b6zdm93290r02o7cx,1,0,0,2023-02-25T07:03:54.355Z,2023-02-25T07:03:58Z,4053624485,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511768805,3,1,1,0,0,18c8ibslzapz40lfb8y5vygcs,1,49.8,50.3,2023-02-25T07:03:54.455Z,2023-02-25T07:03:58Z,4053624515,141,47.6,4053624519,213,3.2,4053624517,212,21.7,4053624521,279,S,4053624513,140,29.2,4053624511,56,Back,,,,,,,4o4vrnjw7c3g7j5aw5utyw1cl,K. Junker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511768811,4,1,1,0,2,18c8ibslzapz40lfb8y5vygcs,0,29.6,46.3,2023-02-25T07:03:56.675Z,2023-02-28T15:17:44Z,4053624553,212,59.0,4053624551,141,53.0,4053624547,56,Center,4053624549,140,85.6,4053624557,1,,4053624555,213,0.1,4053624545,157,,,,,dnwwsdy1tfz0o7t0odssfstsl,S. Nakatani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511768813,3,52,1,0,6,6bus1cl4b6zdm93290r02o7cx,1,13.1,43.9,2023-02-25T07:04:01Z,2023-02-28T15:17:51Z,4063617223,378,,,,,,,,,,,,,,,,,,,,,,,7j7c0l6xctuoauvg1tpni3ysp,T. Wakahara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511768827,4,80,1,0,9,6bus1cl4b6zdm93290r02o7cx,0,13,43.3,2023-02-25T07:04:03.496Z,2023-02-25T07:04:03Z,,,,,,,,,,,,,,,,,,,,,,,,,7j7c0l6xctuoauvg1tpni3ysp,T. Wakahara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511768837,5,1,1,0,11,6bus1cl4b6zdm93290r02o7cx,1,21.6,36.9,2023-02-25T07:04:05.747Z,2023-02-28T15:18:04Z,4063617609,155,,4053624653,212,46.1,4053624651,141,33.0,4053624647,56,Center,4053624657,1,,4053624649,140,65.4,4053624655,213,6.2,,,,7j7c0l6xctuoauvg1tpni3ysp,T. Wakahara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511768845,6,1,1,0,14,6bus1cl4b6zdm93290r02o7cx,0,73.5,25.8,2023-02-25T07:04:08.560Z,2023-02-28T15:18:11Z,4053624685,3,,4053624695,212,6.5,4053624697,213,5.9,4053624691,140,79.2,4053624689,56,Center,4053624687,168,,4053624693,141,21.9,,,,7csua09fwbprxmixvu567yvv9,Patric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
