id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/9/value,qualifier/10/value,qualifier/8/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2521281747,1,34,16,0,0,5pol481515zvirmk6t00kerbc,1,0,0,2023-03-18T06:04:37.038Z,2023-03-18T06:56:51Z,4103964461,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4103964463,194,dmg39rv08bjlkilby5aycpsve,4103964465,197,5040,4103964467,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4103964459,130,4,4103964457,59,"1, 13, 2, 6, 3, 15, 18, 8, 20, 41, 23, 11, 17, 27, 30, 33, 49, 99",4103964455,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4103964453,30,"8psi8rr64yq7ovzua6ekiznpx, 5olu4s7w7nn9wy1219grd6z8p, a2lga77euo3am1ltgxstfnpp1, edb7mugbc0u6ke0rk67po87o5, awckr8ajqo4vstzghb59rkwkp, 9whlivl2irrdz4ed457x2vv9w, 5u3kbu3dqrij1mnzy6ismu6z9, dmg39rv08bjlkilby5aycpsve, 2ingh41ma0grign63tygcgaok, 3o2up44nguwivaltm6d2hdhw5, gseaoyujse4xe4xwhlsq6sq1, 1cfomybhr42ofsatnkgo9w3x1, 1m492fb1pd8amxhgextvoonsa, 1h7fvauzlamj44picr31usjys, asr6wzzjgymajee0mth8rbvt, 3h1911weob775j3n3r77gjlrd, bp9o855yj8bdkyictup27h2ad, 88d8c6vvmo62h0lnbbo1t9i39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521286465,1,34,16,0,0,90cc40yau7yv6n8r4xs361ofd,1,0,0,2023-03-18T06:15:15.954Z,2023-03-18T07:25:37Z,4103985681,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4103985667,30,"rwrgxpcw0fbw23nmrol7w0d1, a1c22m80hq868xo8ekebeh39x, 9lx0ga5gyyydtll2lykm496fp, c0462ainildhz7zmyosnafmc5, cswf4egr4vc9p1mcfdhlfj8id, d5ohcms1wnysq8ydfrbbfhrvu, a48j66n8bzz6ffcsyiodbfwq2, 5rojh6x1n0mshbzfhcjramn6d, 57140tg9gdrk4iqqhxbfomjmx, 77487qauk9fkzlesgze21odsl, 6i35vaig8vo8uu549elm5kul1, a5bv94qfazsluavgaoxrys0rt, 9qugefy6toogpl37zi90s9uy1, 1y7418qkypc0tg1fpx0anycfe, 7wg0d34b0cdh7fxgetfgqs8np, ehnhef906i6z4e7hn7ae1p68l, cvt6409ohlrm4x3jl75gyqy1, bg6f1chwq529zvdu7zcsz68r9",4103985669,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4103985679,197,5046,4103985677,194,5rojh6x1n0mshbzfhcjramn6d,4103985675,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4103985671,59,"21, 2, 6, 25, 22, 24, 16, 17, 20, 8, 19, 3, 5, 7, 9, 11, 27, 31",4103985673,130,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521302567,2,32,1,0,0,90cc40yau7yv6n8r4xs361ofd,1,0,0,2023-03-18T07:03:35Z,2023-03-18T07:04:07Z,4104073835,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521302611,3,32,1,0,0,5pol481515zvirmk6t00kerbc,1,0,0,2023-03-18T07:03:35Z,2023-03-23T14:33:32Z,4104073963,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521302563,2,43,1,0,0,5pol481515zvirmk6t00kerbc,1,0,0,2023-03-18T07:03:35.520Z,2023-03-18T07:03:48Z,4104073831,127,Left to Right,4104073939,144,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521302613,4,1,1,0,1,5pol481515zvirmk6t00kerbc,1,50,49.9,2023-03-18T07:03:36.079Z,2023-03-18T07:07:34Z,4104073967,56,Back,4104073969,140,37.2,4104073975,213,2.6,4104077993,279,S,4104073973,212,16.1,4104073971,141,62.9,,,,,,,2ingh41ma0grign63tygcgaok,S. Yamada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521302627,5,1,1,0,2,5pol481515zvirmk6t00kerbc,0,32.2,54.8,2023-03-18T07:03:37.896Z,2023-03-18T07:53:32Z,4104083439,1,,4104073991,213,5.9,4104073989,212,35.1,4104073987,141,36.5,4104073985,140,63.5,4104073983,56,Center,,,,,,,9whlivl2irrdz4ed457x2vv9w,S. Tanabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521303101,19,49,1,0,3,90cc40yau7yv6n8r4xs361ofd,1,37.9,63.5,2023-03-18T07:03:38.761Z,2023-03-18T07:10:56Z,,,,,,,,,,,,,,,,,,,,,,,,,c0462ainildhz7zmyosnafmc5,H. Okuno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521302641,6,43,1,0,4,5pol481515zvirmk6t00kerbc,1,0,0,2023-03-18T07:03:39.368Z,2023-03-18T07:10:16Z,4104083107,144,1,4104074015,213,0.0,4104074011,141,37.4,4104074013,212,35.6,4104074009,140,64.4,4104074017,1,0,4104074007,56,Center,,,,awckr8ajqo4vstzghb59rkwkp,T. Ominami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521303103,20,1,1,0,4,90cc40yau7yv6n8r4xs361ofd,0,38.3,66.8,2023-03-18T07:03:39.915Z,2023-03-18T07:53:43Z,4104085463,56,Left,4104085471,213,0.4,4104085465,140,62.5,4104085467,141,81.4,4104085607,155,,4104085469,212,27.3,,,,,,,c0462ainildhz7zmyosnafmc5,H. Okuno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
