id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,assist,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/12/value,qualifier/16/value
2526314895,1,34,16,0,0,5pol481515zvirmk6t00kerbc,1,0,0,2023-04-01T08:47:30.705Z,2023-04-01T10:40:06Z,4151424147,30,"8psi8rr64yq7ovzua6ekiznpx, 5olu4s7w7nn9wy1219grd6z8p, a2lga77euo3am1ltgxstfnpp1, dmg39rv08bjlkilby5aycpsve, awckr8ajqo4vstzghb59rkwkp, 9whlivl2irrdz4ed457x2vv9w, 2ingh41ma0grign63tygcgaok, e8vzy09iw6420p567rmrcj3vu, 3o2up44nguwivaltm6d2hdhw5, 1m492fb1pd8amxhgextvoonsa, 3h1911weob775j3n3r77gjlrd, edb7mugbc0u6ke0rk67po87o5, 17l12ufk09zlrm2w8xbxxtl1x, 8n5kr6rf1uhu9t0w593aw6x1x, 1cfomybhr42ofsatnkgo9w3x1, 1zajsokdkegr6kia745i27omi, asr6wzzjgymajee0mth8rbvt, 88d8c6vvmo62h0lnbbo1t9i39",4151424155,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4151424159,197,14937,4151424151,59,"1, 13, 2, 8, 3, 15, 20, 16, 41, 17, 33, 6, 7, 9, 11, 14, 30, 99",4151424153,130,8,4151424149,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4151424161,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4151424157,194,dmg39rv08bjlkilby5aycpsve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526315041,1,34,16,0,0,1f3ehp8p9yi8reamghry4p76t,1,0,0,2023-04-01T08:49:11.895Z,2023-04-01T10:15:58Z,4151424993,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4151424985,130,18,4151424989,194,8978k9hzej7ocv8ng09i1zcut,4151424981,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4151424983,59,"25, 9, 11, 4, 50, 2, 27, 5, 99, 19, 18, 3, 6, 13, 22, 32, 45, 48",4151424987,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4151424991,197,5044,4151424979,30,"8978k9hzej7ocv8ng09i1zcut, 7de6u27l0rm2y8aigjr2i0ru, 9bvp90vtnqsbq3muka37rm40l, f06bxfhvobzkepanw3nm1vzzd, a60hpbc5lfxj5cj82iadif622, 8cmqekmxeybrc8c9ml7rwdai2, 61mnri2ox1dao9jdo2ye42i8l, 51ny01vwhnzkkd50iy4pfyor9, 9wan49fvimh705r3jjfrlhuc5, 70pwpkwjgkp07b4m4jdz1l0fe, ez4fqumbyew4fsvisf0ziml4a, 5s151hcgpbhtuuarwfchd47ze, 2jgby6e91uem5e2dd1b11psoa, 6jdifjaop9haqylognzg3azf9, 1av7m3uyhcvjn8jhsegdqypqt, 28wgdmao7y8qbj30feniqnj3e, 2xfo511b4sbt16xpwca2w3uok, dbx2uc9zyw88drq5w80smpgb9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526328779,2,32,1,0,0,1f3ehp8p9yi8reamghry4p76t,1,0,0,2023-04-01T10:04:03.645Z,2023-04-05T09:42:39Z,4151488811,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526328763,2,32,1,0,0,5pol481515zvirmk6t00kerbc,1,0,0,2023-04-01T10:04:03.645Z,2023-04-01T10:04:03Z,4151488761,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526328797,3,1,1,0,0,1f3ehp8p9yi8reamghry4p76t,1,49.7,49.7,2023-04-01T10:04:03.745Z,2023-04-01T10:09:58Z,4151488907,212,14.4,4151488911,279,S,4151488903,140,36.0,4151488905,141,50.0,4151488909,213,3.1,4151488901,56,Back,,,,,,,61mnri2ox1dao9jdo2ye42i8l,T. Arano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526328809,4,1,1,0,4,1f3ehp8p9yi8reamghry4p76t,0,35.9,50.4,2023-04-01T10:04:08.412Z,2023-04-01T10:10:01Z,4151488967,1,,4151488965,213,5.6,4151488961,141,4.6,4151488955,155,,4151488963,212,50.2,4151488957,56,Right,4151488959,140,73.4,,,,f06bxfhvobzkepanw3nm1vzzd,D. Suga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526328819,3,44,1,0,6,5pol481515zvirmk6t00kerbc,1,28.2,96.4,2023-04-01T10:04:10.411Z,2023-04-01T10:04:12Z,4151489031,233,5,4151489007,56,Back,4151489009,285,,,,,,,,,,,,,,,,,a2lga77euo3am1ltgxstfnpp1,K. Noborizato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526328815,5,44,1,0,6,1f3ehp8p9yi8reamghry4p76t,0,71.8,3.6,2023-04-01T10:04:10.412Z,2023-04-01T10:04:12Z,4151489075,233,3,4151488995,286,,4151488993,56,Right,,,,,,,,,,,,,,,,7de6u27l0rm2y8aigjr2i0ru,T. Kaneko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526328833,4,12,1,0,7,5pol481515zvirmk6t00kerbc,1,29.9,96.9,2023-04-01T10:04:11.120Z,2023-04-01T10:10:17Z,4151489081,56,Back,4151489089,213,1.7,4151489085,141,100.0,4151489091,15,,4151489087,212,3.5,4151489105,167,,4151489083,140,29.5,,,,a2lga77euo3am1ltgxstfnpp1,K. Noborizato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526328835,5,5,1,0,9,5pol481515zvirmk6t00kerbc,0,29.4,102,2023-04-01T10:04:12.965Z,2023-04-01T10:04:14Z,4151489115,233,6,4151489095,347,,4151489093,56,Back,,,,,,,,,,,,,,,,a2lga77euo3am1ltgxstfnpp1,K. Noborizato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
