id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,assist,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId
2551397953,1,34,16,0,0,83d6z6wvkzs3dx9oy3mftixow,1,0,0,2023-05-20T04:50:09.367Z,2023-05-20T05:56:42Z,4291892341,130,19,4291892349,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4291892335,30,"5ai6500e7oug5v5hybnkfzh7t, 3tx6890pt4hfaz45foj1nhey1, 8d1sjb0uxmgz8945khj6ovmqd, c3co8yb1kyhzxhl5rs55vi3f9, 63x2f9goh9q2g6ql4r0ll4w5x, etsgyfejyka71co7e2xeq6r55, docsi872whx44eedrczqua385, 59cu40rkqkx1723dfdp50gonp, 4o71xxq6qdkhug58a073fxega, c7ukr0stxvyflr3xfod5zkpp0, 3mqvpqnv1yixpclmxsvqfoxec, 978z8ejc2jneguyb6yq430g5x, 2rdx221tb304urcypk3y5nkk5, cpats5brlfpugqtw8hi4vigdm, ec0zzrcibmg2r6apg8a0c81cl, 8alc0ohhvwzzpv25jxnicfmqd, aua94lt20qwged96rn4hzz3rp, 9i73cbjo6j1zx7pkngj5oh9g4",4291892347,197,5056,4291892337,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4291892343,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4291892345,194,etsgyfejyka71co7e2xeq6r55,4291892339,59,"1, 3, 44, 8, 6, 2, 88, 14, 18, 29, 13, 7, 11, 15, 20, 22, 23, 37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551398709,1,34,16,0,0,90cc40yau7yv6n8r4xs361ofd,1,0,0,2023-05-20T04:56:54.614Z,2023-05-20T06:07:08Z,4291897125,30,"rwrgxpcw0fbw23nmrol7w0d1, a48j66n8bzz6ffcsyiodbfwq2, 9lx0ga5gyyydtll2lykm496fp, 77487qauk9fkzlesgze21odsl, a5bv94qfazsluavgaoxrys0rt, d5ohcms1wnysq8ydfrbbfhrvu, ehnhef906i6z4e7hn7ae1p68l, c0462ainildhz7zmyosnafmc5, 57140tg9gdrk4iqqhxbfomjmx, 7wg0d34b0cdh7fxgetfgqs8np, 6i35vaig8vo8uu549elm5kul1, 1wwcosp7djsj0lk59c379luxh, 1y7418qkypc0tg1fpx0anycfe, 5rojh6x1n0mshbzfhcjramn6d, cvt6409ohlrm4x3jl75gyqy1, 6y8q2is29kywguj8vt0pffk0k, b8uoz55lg5vph4efl6clee4x6, 79pu8sflam8hqbmlckw8o0huy",4291897133,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4291897135,194,rwrgxpcw0fbw23nmrol7w0d1,4291897127,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4291897137,197,5046,4291897129,59,"21, 16, 6, 8, 3, 24, 11, 25, 20, 9, 19, 1, 7, 17, 27, 30, 33, 41",4291897131,130,2,4291897139,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551408997,2,32,1,0,0,83d6z6wvkzs3dx9oy3mftixow,1,0,0,2023-05-20T06:04:12.546Z,2023-05-20T06:04:12Z,4291945101,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551408999,2,32,1,0,0,90cc40yau7yv6n8r4xs361ofd,1,0,0,2023-05-20T06:04:12.546Z,2023-05-20T06:04:13Z,4291945107,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551409003,3,1,1,0,0,83d6z6wvkzs3dx9oy3mftixow,1,49.9,49.9,2023-05-20T06:04:12.646Z,2023-05-20T06:04:15Z,4291945155,213,3.2,4291945149,140,31.9,4291945153,212,18.9,4291945147,56,Back,4291945151,141,49.1,4291945157,279,S,,,,,,,c7ukr0stxvyflr3xfod5zkpp0,A. Suzuki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551409009,4,1,1,0,2,83d6z6wvkzs3dx9oy3mftixow,1,31.9,50.9,2023-05-20T06:04:15.350Z,2023-05-20T06:04:21Z,4291945227,56,Back,4291945229,140,30.9,4291945231,141,77.5,4291945235,213,1.6,4291945233,212,18.1,,,,,,,,,,c3co8yb1kyhzxhl5rs55vi3f9,K. Ohno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551409015,5,1,1,0,8,83d6z6wvkzs3dx9oy3mftixow,0,41.3,89.1,2023-05-20T06:04:21.159Z,2023-05-20T06:04:22Z,4291945259,56,Center,4291945261,140,69.6,4291945267,213,6.0,4291945257,155,,4291945265,212,30.5,4291945263,141,78.7,,,,,,,etsgyfejyka71co7e2xeq6r55,D. Sugioka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551409023,3,1,1,0,10,90cc40yau7yv6n8r4xs361ofd,0,29.3,23.4,2023-05-20T06:04:23.320Z,2023-05-20T06:04:27Z,4291945347,213,0.5,4291945341,140,52.7,4291945339,56,Center,4291945345,212,27.3,4291945343,141,41.0,4291945337,3,,,,,,,,a5bv94qfazsluavgaoxrys0rt,R. Shindo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551409697,44,44,1,0,13,83d6z6wvkzs3dx9oy3mftixow,1,45.6,55.4,2023-05-20T06:04:25.705Z,2023-05-20T06:08:36Z,4291950387,233,42,4291950373,56,Back,4291950375,285,,,,,,,,,,,,,,,,,c3co8yb1kyhzxhl5rs55vi3f9,K. Ohno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551409729,42,44,1,0,13,90cc40yau7yv6n8r4xs361ofd,0,54.4,44.6,2023-05-20T06:04:25.706Z,2023-05-20T06:08:34Z,4291950241,286,,4291950397,233,44,4291950239,56,Center,,,,,,,,,,,,,,,,7wg0d34b0cdh7fxgetfgqs8np,Léo Ceará,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
