id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,keyPass,qualifier/11/value,assist,qualifier/14/value,qualifier/16/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2508895569,1,34,16,0,0,9s2g5k3dlmfii452t8edaeozh,1,0,0,2023-02-18T04:02:17.411Z,2023-02-18T05:07:50Z,4038480641,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4038480635,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4038480633,130,4,4038480631,59,"29, 32, 2, 25, 55, 5, 21, 14, 40, 15, 13, 8, 10, 17, 22, 27, 31, 37",4038480627,30,"8i7aw5yhze1xiw2d2g5wax91w, 7xvwcat6dce9y9obgc8e2s1k9, 12lc6edtue24savqtmbkyu7rp, 6dtp194pewnyuhwkxcn2xpf8q, cqjhp31uh46s2jfedo48h86ol, cvobb9nkum41ldfnfszy42xka, 4mnxvvl5unk1t8k2lkac3yor9, cs1e2ou4h94utke3qdy14fiay, 51xel26o3uzvjdbcywcunmu3t, aa1f06qx3epbsge6s4ayd1e22, 412cup9h8jkgivwiroq8mpfjd, 22ad41qtjnxsdo3piosg6mn6d, wp6f6m1vhdtygyelx9nj74oa, 2gwfsjoj9diiuxr1kdga93mc5, 15b53vkcltdxtbt1zt4peswd1, bqrfxy265rurcjw7c5swwjl9m, 950svxoswapg0ws25uo7jy2nd, 4c03ukpq8hq69ykgcypq5jf8p",4038480629,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4038480637,194,51xel26o3uzvjdbcywcunmu3t,4038480639,197,5841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508895659,1,34,16,0,0,6bus1cl4b6zdm93290r02o7cx,1,0,0,2023-02-18T04:03:31.266Z,2023-02-18T05:05:11Z,4038481451,30,"7j7c0l6xctuoauvg1tpni3ysp, 23ejdwwhvzovvi7jmek50dyol, c2kqhdj67jhmhibczzoigqb1m, 6vkppmpdrvrujfp035ucpib8q, 82f876uvvivzq5hspoy6vpfmy, 12ndgojwoabbe9igew1ymcnop, dsg6lclcyu8gvsyyn6jnoii95, 1zoe7llh5n846ipo1i4oqse7d, 3dcmvl6ile1c42e7zzw4e139x, 5y6uy0cw3emtxukzgl1xeb4l, 493qw13cbziuyumsb1s01cufo, efwxg8re4wdxgcdxa32aoqyqy, 39ix1ftjgermlkf4i12c80u7d, 7csua09fwbprxmixvu567yvv9, ch1ehgr9guufs2wmz5dbvmvo5, darnk2r4rggf7z5dm7t48omp5, ca4hme0jyql3gf06hmsi89ht6, c4gfngqz8qeae1xayhyiwg7l6",4038481461,194,6vkppmpdrvrujfp035ucpib8q,4038481459,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4038481457,130,4,4038481465,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4038481463,197,14530,4038481455,59,"1, 14, 20, 7, 4, 3, 10, 16, 11, 23, 15, 5, 8, 9, 21, 22, 25, 47",4038481453,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508902553,2,32,1,0,0,6bus1cl4b6zdm93290r02o7cx,1,0,0,2023-02-18T05:03:42.700Z,2023-02-21T15:06:10Z,4038521911,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508902551,2,32,1,0,0,9s2g5k3dlmfii452t8edaeozh,1,0,0,2023-02-18T05:03:42.700Z,2023-02-18T05:03:42Z,4038521907,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508902573,3,1,1,0,0,6bus1cl4b6zdm93290r02o7cx,1,49.9,50,2023-02-18T05:03:42.800Z,2023-02-18T06:00:52Z,4038521981,213,0.5,4038521983,279,S,4038521975,140,51.8,4038521973,56,Center,4038521977,141,51.6,4038521979,212,2.3,,,,,,,6vkppmpdrvrujfp035ucpib8q,S. Kawasaki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508902587,4,1,1,0,3,6bus1cl4b6zdm93290r02o7cx,1,55,65.1,2023-02-18T05:03:45.862Z,2023-02-21T15:08:33Z,4038522031,56,Back,4038522035,141,66.2,4038522033,140,40.0,4038522039,213,3.1,4038522037,212,15.8,,,,,,,,,,493qw13cbziuyumsb1s01cufo,Y. Kimura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508902589,5,1,1,0,6,6bus1cl4b6zdm93290r02o7cx,0,39.4,69.7,2023-02-18T05:03:49.296Z,2023-02-21T15:08:38Z,4038522049,155,,4038522055,141,88.6,4038522053,140,69.9,4038522059,213,0.4,4038522057,212,34.5,4038522051,56,Left,4038522061,1,,,,,6vkppmpdrvrujfp035ucpib8q,S. Kawasaki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508902595,3,44,1,0,7,9s2g5k3dlmfii452t8edaeozh,1,27.9,15.4,2023-02-18T05:03:50.376Z,2023-02-18T05:03:54Z,4038522071,56,Back,4038522205,233,6,4038522073,285,,,,,,,,,,,,,,,,,7xvwcat6dce9y9obgc8e2s1k9,K. Tsunemoto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508902611,6,44,1,0,7,6bus1cl4b6zdm93290r02o7cx,0,72.1,84.6,2023-02-18T05:03:50.377Z,2023-02-18T05:03:55Z,4038522201,286,,4038522217,233,3,4038522199,56,Left,,,,,,,,,,,,,,,,c2kqhdj67jhmhibczzoigqb1m,S. Fukuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508902597,4,1,1,0,8,9s2g5k3dlmfii452t8edaeozh,0,24.1,16.7,2023-02-18T05:03:50.968Z,2023-02-18T05:03:52Z,4038522089,3,,4038522093,140,40.6,4038522095,141,0.0,4038522091,56,Back,4038522099,213,5.7,4038522097,212,21.2,,,,,,,7xvwcat6dce9y9obgc8e2s1k9,K. Tsunemoto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
