id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/9/value,qualifier/10/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/8/value,keyPass,qualifier/13/value,qualifier/17/id,qualifier/17/qualifierId,assist
2533350905,1,34,16,0,0,ctm9as17rs95yhuz7qf53wfke,1,0,0,2023-04-15T04:05:01.723Z,2023-04-15T04:56:57Z,4188869515,197,7606,4188869507,59,"21, 3, 26, 25, 2, 27, 33, 20, 18, 10, 50, 6, 7, 15, 16, 22, 41, 44",4188869511,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4188869513,194,9gqymee6r8xdj6jbvcc6mahg5,4188869509,130,8,4188869517,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4188869505,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4188869503,30,"a8adq7dy6i0icdu0j2b6jm2g9, br87k809f9zu9av8cwkwtkhgq, 8bxd61gpgwi9cat8awx4h0n4k, 9gqymee6r8xdj6jbvcc6mahg5, el9hmsmc1zz7yie7dedfaac8a, 8lfgk7eqdptu5o53n656vxck5, esfnlp56d5kfvxy9518d91gd0, 31xdzeykcgfe0vyel250sd0q1, dgex06nxjy9fdvc12o8keg99l, 2o6pujv6wvjonzi16w48nf8q1, 6m636zjfcq36y7r9hx4c4bi6t, 9uj9vy1lj10nqjncq6d2rd39x, 9zr0kq2pw4eua1tqo3vsvd9wq, 8mksoz3513wprt2hhu8c9vo45, d8f4eo6asksimz2kqs58x6bjd, 19pcq7pd8fq57z1tgec16o79x, ljr2286geelctnfxzkxukmi1, uryuny8bzehw0mcqt8lscr85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533351341,1,34,16,0,0,89wr6p2dkh7wjxtbwhtsruu02,1,0,0,2023-04-15T04:10:41.705Z,2023-04-15T04:57:47Z,4188875493,197,15097,4188875487,59,"38, 32, 24, 19, 4, 33, 8, 7, 13, 11, 10, 3, 9, 14, 15, 16, 20, 22",4188909703,194,80qq4sxv5janjrt2in0qmgd79,4188875495,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4188875491,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4188875489,130,17,4188875485,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4188875483,30,"6vuryavylbdnwabe4g5yvgzxl, 3rgupzc2gcdg8nyzd78xe98no, d3aj0s7ozmpdbdtub8s5qo962, 80qq4sxv5janjrt2in0qmgd79, czkrfln85uvtb58cau4kz5m5m, 5c2ydgdh3f14lya3spj89m0gl, 1dta13hd6ajv6vw1c4sxmdzvt, 20ckxhxmd6h2jwv1yqi243h05, 33w6jl3u5nonnwk29nrhv9xhx, 4ps37rz4pj6015y18vgktyynd, bslybqpvcs3eosivpxaeksgyx, 94zthueiu6uxw1ioe47x6pld6, 2su3ef2yrvsyy64fx6oyyc9g5, 7vmiyl7acw24rtxq2ev6m4up6, 4my8wr7hymw527avppuiojp5g, 9lji59sodapv92xyenwbavr3d, cqhh4d51iamhrd8flzu1rlz9x, 9lsqinppc86dsw2sitt58lwph",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533359903,2,32,1,0,0,ctm9as17rs95yhuz7qf53wfke,1,0,0,2023-04-15T05:03:27.630Z,2023-04-15T05:03:27Z,4188924347,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533359907,2,32,1,0,0,89wr6p2dkh7wjxtbwhtsruu02,1,0,0,2023-04-15T05:03:27.630Z,2023-04-15T05:03:28Z,4188924361,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533359917,3,1,1,0,0,ctm9as17rs95yhuz7qf53wfke,1,49.8,49.7,2023-04-15T05:03:27.730Z,2023-04-15T05:22:55Z,4188924405,213,3.0,4188924397,140,44.6,4188924403,212,5.5,4188924407,279,S,4188924399,141,51.0,4188924395,56,Back,,,,,,,dgex06nxjy9fdvc12o8keg99l,Koki Ogawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533359923,4,1,1,0,2,ctm9as17rs95yhuz7qf53wfke,1,44.6,51,2023-04-15T05:03:30.120Z,2023-04-15T05:03:32Z,4188924469,212,34.8,4188924461,155,,4188924465,140,58.6,4188924463,56,Right,4188924473,1,,4188924467,141,4.6,4188924471,213,5.1,,,,9gqymee6r8xdj6jbvcc6mahg5,H. Mita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533359937,5,1,1,0,4,ctm9as17rs95yhuz7qf53wfke,1,57.6,4.4,2023-04-15T05:03:32.262Z,2023-04-15T05:03:34Z,4188924549,141,8.9,4188924545,56,Back,4188924553,213,2.9,4188924551,212,13.3,4188924547,140,45.3,,,,,,,,,,esfnlp56d5kfvxy9518d91gd0,T. Kondo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533359941,6,1,1,0,6,ctm9as17rs95yhuz7qf53wfke,0,45.3,8.9,2023-04-15T05:03:34.412Z,2023-04-15T05:03:35Z,4188924577,155,,4188924579,56,Center,4188924583,141,32.4,4188924581,140,76.4,4188924589,1,,4188924587,213,0.5,4188924585,212,36.4,,,,br87k809f9zu9av8cwkwtkhgq,T. Nakamura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533359951,3,1,1,0,9,89wr6p2dkh7wjxtbwhtsruu02,0,22.7,78.4,2023-04-15T05:03:36.799Z,2023-04-15T05:03:39Z,4188924667,141,77.8,4188924665,140,31.6,4188924661,3,,4188924669,212,9.4,4188924663,56,Back,4188924671,213,6.2,,,,,,,80qq4sxv5janjrt2in0qmgd79,S. Sasaki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533359953,7,61,1,0,12,ctm9as17rs95yhuz7qf53wfke,1,68.7,34.3,2023-04-15T05:03:39.938Z,2023-04-15T05:03:40Z,4188924681,56,Center,,,,,,,,,,,,,,,,,,,,,,dgex06nxjy9fdvc12o8keg99l,Koki Ogawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533360669,38,61,1,0,13,89wr6p2dkh7wjxtbwhtsruu02,1,24.8,71.1,2023-04-15T05:03:41.139Z,2023-04-15T05:08:16Z,4188930395,56,Back,,,,,,,,,,,,,,,,,,,,,,d3aj0s7ozmpdbdtub8s5qo962,S. Higashi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
