id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/9/value,qualifier/14/value,qualifier/15/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2521265679,1,34,16,0,0,12tyw9yomy9n5cjd5po2ajx1q,1,0,0,2023-03-18T05:03:21.448Z,2023-03-18T06:01:10Z,4103884227,130,8,4103884235,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4103884225,59,"1, 2, 15, 20, 5, 3, 11, 19, 9, 13, 14, 16, 17, 18, 21, 23, 31, 47",4103884229,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4103884223,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4103884233,197,14560,4103884221,30,"b67vtycwcw93v5z6zidzsej8p, go72kkg33k57tcxebbg9v7u2, 59e2dosv29zg2c146u5v9k02y, aieev8jr470iq7ft2ob005wph, 7f7rlxtcm93i5p08kci7rzjkl, 73si74r5khd2xih6w3uc72rxl, dhqt17jw4t2yis8p6medgnluy, 9sqv61rxp1papk4e2aab9noix, 3tiriwy3k68lw0zi0fj5dx49h, 3n8lo5wm0i7sh0h92abx87hm1, 536qjh4gcmpo5q68ti87e60kq, 5r0vvr8ch9wrim11994baqln8, d00ghqkaff818dnyuyhcdcve, cqxevrqcel70m41ihup6kyac5, 5x1kq3909or0h3gbe2uu2cp91, 6yy4eglwmvj6i50st1np97be2, 9uuzy744b3q8i7sbk7hjjntn9, 6b84kcskv0bwqrf49q0kd60pg",4103884231,194,7f7rlxtcm93i5p08kci7rzjkl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521274779,1,34,16,0,0,3vfso415vj7uitnunviuzdyg3,1,0,0,2023-03-18T05:33:46.870Z,2023-03-18T05:50:30Z,4103932927,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4103932925,130,8,4103932921,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4103932931,197,4167,4103932923,59,"1, 2, 15, 19, 28, 5, 14, 3, 30, 21, 8, 4, 9, 10, 12, 25, 26, 40",4103932919,30,"7lxjfpbed6rmm2qmzs6r1c2j9, 4seh91gn4cj2l3x7kg19duqxh, 7izhszqmb1a9z5na5e0utnc6i, 3ihaypy0xs7cpw7ij61qislat, 5fglqrb2jo1ideuag4pjit9sl, 6gzt9s90prbrhsw4t72vb4jx1, a1uzi9vgpfy7qo1eay243dsk5, b5nc0tgc33wklhsekw3jklylm, da5nt2kexuabduzu4qqxf09ud, 1pcyox1b50pxufww0v07c5boq, do6zvquhc4udqtp900l1cid0q, cqclwglpzg5flou0r0x3lm21h, 4pqi5vt820333t5zsj2refc2d, a2ggooyqi2s1berhxtm75j5qt, 2mfunwzltzdnmzlcjyvx752i, 8wnmymj8du9xj1jhp90qs366s, eo5kfco94g7az5x9dn2mtr78q, 2pp6fnkqy9gi525viea5c9ene",4103932933,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4103932929,194,4seh91gn4cj2l3x7kg19duqxh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521281403,2,32,1,0,0,3vfso415vj7uitnunviuzdyg3,1,0,0,2023-03-18T06:03:35.443Z,2023-03-18T06:03:35Z,4103963085,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521281405,2,32,1,0,0,12tyw9yomy9n5cjd5po2ajx1q,1,0,0,2023-03-18T06:03:35.443Z,2023-03-18T06:03:37Z,4103963087,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521281423,3,1,1,0,0,3vfso415vj7uitnunviuzdyg3,1,50.1,50.1,2023-03-18T06:03:35.543Z,2023-03-18T06:03:50Z,4103963161,141,27.4,4103963163,212,25.7,4103963157,56,Back,4103963165,213,3.8,4103963167,279,S,4103963159,140,30.5,,,,,,,1pcyox1b50pxufww0v07c5boq,T. Okubo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521281451,4,1,1,0,4,3vfso415vj7uitnunviuzdyg3,0,30.3,37,2023-03-18T06:03:40.030Z,2023-03-18T06:03:44Z,4103963279,213,0.8,4103963267,155,,4103963273,140,74.3,4103963271,56,Left,4103963277,212,63.9,4103963275,141,100.0,4103963269,196,,4103963281,1,,5fglqrb2jo1ideuag4pjit9sl,A. Scholz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521281447,3,5,1,0,8,12tyw9yomy9n5cjd5po2ajx1q,1,19.4,-1.8,2023-03-18T06:03:44.045Z,2023-03-18T06:03:45Z,4103963259,56,Back,4103963293,233,5,4103963261,347,,,,,,,,,,,,,,,,,go72kkg33k57tcxebbg9v7u2,N. Arai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521281453,5,5,1,0,8,3vfso415vj7uitnunviuzdyg3,0,80.6,101.8,2023-03-18T06:03:44.045Z,2023-03-18T07:04:37Z,4103963285,347,,4103963283,56,Left,4103963297,233,3,,,,,,,,,,,,,,,,5fglqrb2jo1ideuag4pjit9sl,A. Scholz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521281475,4,1,1,0,17,12tyw9yomy9n5cjd5po2ajx1q,1,14,0,2023-03-18T06:03:52.907Z,2023-03-18T06:03:53Z,4103963355,56,Back,4103963357,140,16.0,4103963359,141,7.0,4103963361,212,6.3,4103963353,107,,4103963363,213,1.2,,,,,,,go72kkg33k57tcxebbg9v7u2,N. Arai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521281479,5,1,1,0,18,12tyw9yomy9n5cjd5po2ajx1q,1,16,7,2023-03-18T06:03:53.722Z,2023-03-18T06:03:55Z,4103963397,156,,4103963387,140,11.5,4103963389,141,5.2,4103963385,56,Back,4103963393,213,3.4,4103963391,212,4.9,,,,,,,9sqv61rxp1papk4e2aab9noix,Y. Hoshi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
