id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/8/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,keyPass,qualifier/10/value,qualifier/13/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId
2527212139,1,34,16,0,0,19auwjswq9camwpb4u14a6tp5,1,0,0,2023-04-02T06:11:00.432Z,2023-04-02T06:22:23Z,4156210609,194,au0u20e5h1p6yn4gsgcimjcnp,4156210607,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4156210603,59,"21, 2, 18, 7, 6, 20, 17, 26, 22, 8, 99, 1, 5, 9, 14, 30, 66, 74",4156210601,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4156210605,130,11,4156210613,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4156210599,30,"812p4cjsthngn5glo3d7yzro5, 6lfh7umo99gfk2f23jbg6k3ro, k5yu3cqzlq5jybo9eozy89nt, apa928m4vsbgdb20pvxjwdgix, 50pxsuw6rozz51fqz6phq4r8p, 524eip47zifw3ed8h7ojnugkq, 2zgac47mjf4fife5es00y4h9m, d585rl5n1lyby0pzclz7ywokq, au0u20e5h1p6yn4gsgcimjcnp, bw0h202lprp7jzdtp6hv78ixh, 8ig76mb9fsq6r456o42fnactm, any4esejk79yct375aswisyqx, 6k2wxx0v0e60g1gtrio4xekmh, 5blgib9feku7hwyfe4qyla85x, 62cm6wselsnn3az1utbmdual0, bvgdvff530o8uz3k1n3uvpgd0, 2urtsl9xa0plg4w80nr8z9tuy, deo8agvy9lyt8xppcisqepxx",4156210611,197,7784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527212999,1,34,16,0,0,4dkougngrd8mpvfb1cr9mdb1p,1,0,0,2023-04-02T06:16:14.253Z,2023-04-02T08:49:14Z,4156216939,30,"5q14ubfa0onthocee8udipsyd, bvb790jufzko9iif477l7gd0p, 5o8e7mjrqi8wpco5b7f6oef9x, bppyf0fnmm86izw3n2kifahh, f5dwmfqf84vn26jqgru6q6uax, at9ebendkmv06dnp6b140fw89, a54k20jw9qbbz7f9dgmiufc2x, 23yszo5vk185thxlbtejvpfbp, cni5awk83s8cen20ed4v1swve, 1vbautuicco584hp4qav9sfyt, bzvu0o7w64pw53vtkl4687l04, 2hn4ovm6c5unekgaqok8a19wq, 6c57ayh4zo9txp6oo987w96fp, ep1eax2gaziw4xoshealvq5ex, ar5egjfxvgref6nzy4onfmsid, 10ixr0cqjjep81fttjma8zap5, eu0p99sk5yxmjyjln9cz0woo9, 4iatm3hkiepuk84pn8rcfjm6s",4156216945,130,13,4156216949,194,23yszo5vk185thxlbtejvpfbp,4156216943,59,"21, 14, 7, 20, 47, 3, 16, 8, 10, 40, 77, 1, 4, 6, 11, 19, 27, 28",4156216951,197,7785,4156216947,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4156216953,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4156216941,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527220685,2,32,1,0,0,19auwjswq9camwpb4u14a6tp5,1,0,0,2023-04-02T06:46:17.234Z,2023-04-02T06:46:17Z,4156255403,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527220687,2,32,1,0,0,4dkougngrd8mpvfb1cr9mdb1p,1,0,0,2023-04-02T06:46:17.234Z,2023-04-06T13:34:57Z,4156255405,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527220691,3,1,1,0,0,19auwjswq9camwpb4u14a6tp5,1,49.8,49.9,2023-04-02T06:46:17.334Z,2023-04-02T06:46:19Z,4156255431,140,32.2,4156255437,213,3.2,4156255433,141,47.6,4156255439,279,S,4156255435,212,18.5,4156255429,56,Back,,,,,,,au0u20e5h1p6yn4gsgcimjcnp,Lee Keun-Ho,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527220693,4,1,1,0,2,19auwjswq9camwpb4u14a6tp5,1,30.5,46.6,2023-04-02T06:46:19.639Z,2023-04-02T06:46:24Z,4156255461,213,1.0,4156255455,140,34.2,4156255459,212,7.7,4156255453,56,Back,4156255457,141,56.4,,,,,,,,,,50pxsuw6rozz51fqz6phq4r8p,Hong Jeong-Woon,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527220695,5,1,1,0,7,19auwjswq9camwpb4u14a6tp5,1,39.4,71.8,2023-04-02T06:46:24.247Z,2023-04-02T06:46:25Z,4156255467,140,46.2,4156255469,141,91.8,4156255473,213,1.1,4156255465,56,Back,4156255471,212,15.4,,,,,,,,,,bw0h202lprp7jzdtp6hv78ixh,Marcos Serrato,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527220701,6,1,1,0,7,19auwjswq9camwpb4u14a6tp5,1,45.7,92,2023-04-02T06:46:25.144Z,2023-04-06T13:36:33Z,4156255509,212,18.0,4156255503,56,Center,4156255507,141,76.0,4167489985,155,,4156255505,140,59.3,4156255511,213,5.6,,,,,,,k5yu3cqzlq5jybo9eozy89nt,K. Suzuki,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527220703,7,1,1,0,11,19auwjswq9camwpb4u14a6tp5,1,61.8,82.9,2023-04-02T06:46:29.047Z,2023-04-02T06:46:30Z,4156255525,212,10.5,4156255523,141,69.3,4156255527,213,5.2,4156255519,56,Center,4156255521,140,66.6,,,,,,,,,,au0u20e5h1p6yn4gsgcimjcnp,Lee Keun-Ho,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527220705,8,61,1,0,13,19auwjswq9camwpb4u14a6tp5,0,66.7,69.3,2023-04-02T06:46:30.775Z,2023-04-02T06:46:31Z,4156255531,56,Center,,,,,,,,,,,,,,,,,,,,,,8ig76mb9fsq6r456o42fnactm,Lucas Barcelos,,,,,,,,,,,,,,,,,,,,,,,,,,,
