id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/9/value,keyPass,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,assist,qualifier/13/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/18/value
2539765289,9,1,1,0,14,4dhojk80ifrs6ax05725bala2,1,46.9,27.4,2023-04-27T09:44:31.182Z,2023-04-27T09:44:32Z,4227967119,141,14.4,4227967117,140,42.1,4227967121,212,10.2,4227967115,56,Back,4227967123,213,4.2,,,,,,,,,,6xxhpvf1ac36ox0k06flx9wbt,Han Chan-Hee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539765299,10,1,1,0,15,4dhojk80ifrs6ax05725bala2,1,42.1,14.4,2023-04-27T09:44:32.031Z,2023-04-27T09:44:34Z,4227967179,56,Back,4227967181,140,28.8,4227967187,213,2.7,4227967183,141,24.3,4227967185,212,15.5,,,,,,,,,,9gmsma17q21lca5ogboz6a6eh,Kim Jin-Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539765315,11,1,1,0,17,4dhojk80ifrs6ax05725bala2,1,31.6,28.2,2023-04-27T09:44:34.366Z,2023-04-27T09:44:37Z,4227967263,56,Back,4227967267,141,64.0,4227967265,140,32.7,4227967269,212,24.4,4227967271,213,1.5,,,,,,,,,,qbyyhh8m9r2wssat24ic745x,Kwon Wan-Kyu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539765329,12,1,1,0,20,4dhojk80ifrs6ax05725bala2,1,35.6,68.7,2023-04-27T09:44:37.118Z,2023-04-27T09:44:40Z,4227967349,56,Back,4227967355,212,19.4,4227967357,213,1.1,4227967353,141,93.8,4227967351,140,44.3,,,,,,,,,,15lc9nb9h2r2e9qvh4es27q7e,Kim Ju-Sung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539765333,13,1,1,0,23,4dhojk80ifrs6ax05725bala2,0,47.2,96.9,2023-04-27T09:44:39.790Z,2023-04-27T09:44:40Z,4227967377,56,Left,4227967381,141,86.0,4227967379,140,70.8,4227967385,213,6.0,4227967383,212,25.9,,,,,,,,,,cspyqj6qtdeymxcnw70b40j55,Park Soo-Il,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539765347,3,49,1,0,26,98uh21utg52famg6x9k7t3s20,1,35.6,10.6,2023-04-27T09:44:42.636Z,2023-04-27T09:44:42Z,,,,,,,,,,,,,,,,,,,,,,,,,arjghrkpdudekgjn9ygz1qvvt,Yu In-Soo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539765349,4,1,1,0,26,98uh21utg52famg6x9k7t3s20,0,35.6,10.6,2023-04-27T09:44:42.775Z,2023-04-27T09:45:59Z,4227967483,213,6.1,4227967477,140,59.3,4227967481,212,25.2,4227967479,141,4.6,4227967475,56,Right,,,,,,,,,,arjghrkpdudekgjn9ygz1qvvt,Yu In-Soo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539765357,5,43,1,0,27,98uh21utg52famg6x9k7t3s20,1,0,0,2023-04-27T09:44:43.510Z,2023-04-27T09:45:56Z,4227967553,56,Right,4227970405,144,61,,,,,,,,,,,,,,,,,,,9ung27ni2ywc2ekdomftu6vbo,Kim Dae-Woo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539765833,37,1,1,0,27,4dhojk80ifrs6ax05725bala2,1,45.3,86.6,2023-04-27T09:44:44.231Z,2023-04-27T09:47:11Z,4227971005,140,42.3,4227971003,56,Back,4227971007,141,95.2,4227971011,213,2.1,4227971009,212,6.6,,,,,,,,,,bb0zj4rt5l4vjtdzghhj3n7it,Ki Sung-Yueng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539765367,14,49,1,0,29,4dhojk80ifrs6ax05725bala2,1,37.1,93.5,2023-04-27T09:44:46.238Z,2023-04-27T09:44:46Z,,,,,,,,,,,,,,,,,,,,,,,,,cspyqj6qtdeymxcnw70b40j55,Park Soo-Il,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
