id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/8/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/9/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/10/value,assist,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/17/value,qualifier/14/value
2542130121,1,34,16,0,0,92h5si20tnxjtg4hj8cs97bpw,1,0,0,2023-05-01T06:37:54.047Z,2023-05-01T06:37:54Z,4242448909,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4242448907,197,6990,4242448897,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4242448901,130,13,4242448899,59,"1, 2, 32, 13, 16, 20, 8, 7, 38, 29, 10, 9, 11, 14, 17, 19, 30, 41",4242448905,194,53q7tgwwdclmp8mqr6uhpryl1,4242448903,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4242448895,30,"668f2py1qzypzm56csh8s04wl, b4kziyf6t4x8psrb1nvd0dl9l, bwzjmefo4k42iieisyas48vdh, 99yrscdrulo9rty85p06mclat, acf6ssf3sj4z2fbt6krbbczbp, 74i6zd9vz9kcipubavbib9uc5, 68axkq2o9fe65ew80jtj0xxp1, 53q7tgwwdclmp8mqr6uhpryl1, 528xlo30dg6035gc4njjt90yc, 29bsxzz5d3tzi1we2uznh6jo4, 7x5i526fkxae3bqymfw06vf85, 3r0e8d9wswt7ygyc46es0u12h, bbg7ciq51x8y5sdlrrzclqbmy, 99z4lbnvzi2e6maoa7j3yy6ay, 7ts0uh7r3qczq6qfwzjy8phhx, ei2p6tlhj81q4nstpv4s8oq5m, 7tb226aujwnbsbsrzbncnk9w4, 2w0xyf9cv6flsujkyh3xwo5at",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542130263,1,34,16,0,0,4oixf5ykhg01zfxpt7gbpn3dq,1,0,0,2023-05-01T06:39:28.032Z,2023-05-01T07:26:35Z,4242449989,194,4ewc486q7lv7jho1t7qviprdh,4242449987,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4242449979,30,"4d3es8ekeal960uto4qtswf6d, 9u3l89365yah3jn79pix0s67e, 4pwrho63fnlcee1xvh5myrw0l, b94ir5n74j160z90pshd9q6ll, 9mehciic0e1w99g55xavfg0oa, bcdm1l4nif0y2p25kxhyehyw9, un6pufmg35lihl29pqplevop, 4ewc486q7lv7jho1t7qviprdh, cyt00eh5qk5dkzfshamy992j8, bkkp2lwwkw18o6y333dx2ut3p, 6i3hjmgdhx9jv5tsk0ugc0b85, a51uwp4qcrr4rodslzst4iok5, 9tiu7146tyw2qyckn8rsgxjsa, exzcpmt24cwhugpj3b1oi5pii, 8hqc7b9bv1u8j6jozhxyokno5, 594aaw8h28nlm7uz6ib9vczc9, cdrs0tqwywl6soqu6p8qhkm50, 2xf5af3fbjhe7g2cyq48ezf11",4242449981,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4242449993,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4242449983,59,"1, 17, 22, 98, 20, 3, 97, 8, 33, 70, 28, 2, 4, 5, 9, 10, 13, 23",4242449985,130,18,4242449991,197,14983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542146555,2,32,1,0,0,92h5si20tnxjtg4hj8cs97bpw,1,0,0,2023-05-01T07:28:21.532Z,2023-05-01T07:28:21Z,4242538439,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542146557,2,32,1,0,0,4oixf5ykhg01zfxpt7gbpn3dq,1,0,0,2023-05-01T07:28:21.532Z,2023-05-05T17:03:38Z,4242538445,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542146571,3,1,1,0,0,4oixf5ykhg01zfxpt7gbpn3dq,1,49.9,50.3,2023-05-01T07:28:21.632Z,2023-05-01T07:33:45Z,4242538511,212,24.7,4242538507,140,26.5,4242538509,141,47.2,4242538513,213,3.2,4242538515,279,S,4242538505,56,Back,,,,,,,6i3hjmgdhx9jv5tsk0ugc0b85,Tiago Orobó,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542146589,4,1,1,0,2,4oixf5ykhg01zfxpt7gbpn3dq,1,36.5,41.8,2023-05-01T07:28:24.370Z,2023-05-01T07:33:57Z,4242538651,141,7.6,4242538657,212,23.6,4242538661,213,4.5,4242538649,140,32.5,4242538647,56,Back,,,,,,,,,,4ewc486q7lv7jho1t7qviprdh,Ju Se-Jong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542146609,5,1,1,0,6,4oixf5ykhg01zfxpt7gbpn3dq,1,32.9,7.4,2023-05-01T07:28:27.792Z,2023-05-01T07:28:29Z,4242538751,140,29.4,4242538757,213,1.8,4242538749,56,Back,4242538753,141,27.4,4242538755,212,14.1,,,,,,,,,,bcdm1l4nif0y2p25kxhyehyw9,Kim Min-Duk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542146635,6,1,1,0,8,4oixf5ykhg01zfxpt7gbpn3dq,1,29.4,27.4,2023-05-01T07:28:29.577Z,2023-05-01T07:28:33Z,4242538917,212,23.4,4242538919,213,1.7,4242538913,140,26.2,4242538915,141,61.4,4242538909,56,Back,,,,,,,,,,4ewc486q7lv7jho1t7qviprdh,Ju Se-Jong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542146651,7,1,1,0,11,4oixf5ykhg01zfxpt7gbpn3dq,1,27.2,59.9,2023-05-01T07:28:33.225Z,2023-05-01T07:28:36Z,4242539027,141,32.5,4242539029,212,18.9,4242539031,213,4.9,4242539025,140,30.0,4242539023,56,Back,,,,,,,,,,9mehciic0e1w99g55xavfg0oa,Cho Yu-Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542146665,8,1,1,0,14,4oixf5ykhg01zfxpt7gbpn3dq,0,33.4,29.2,2023-05-01T07:28:35.994Z,2023-05-01T07:34:23Z,4242539103,56,Right,4242539105,140,63.5,4242539101,155,,4242539113,1,,4242539111,213,5.8,4242539109,212,35.9,4242539107,141,4.3,,,,4ewc486q7lv7jho1t7qviprdh,Ju Se-Jong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
