id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/8/value,qualifier/10/value,qualifier/12/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,keyPass,qualifier/16/id,qualifier/16/qualifierId,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2542235625,1,34,16,0,0,4dkougngrd8mpvfb1cr9mdb1p,1,0,0,2023-05-01T11:27:03.605Z,2023-05-01T12:14:43Z,4242998501,194,6c57ayh4zo9txp6oo987w96fp,4242998503,197,14962,4242998499,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",4242998505,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4242998497,130,13,4242998495,59,"23, 17, 28, 4, 55, 47, 6, 8, 99, 10, 11, 14, 16, 19, 21, 27, 37",4242998491,30,"7rht8pf969t2zsy1lcp13aicq, 9ypo5z607qgr7586utge5hln9, 4iatm3hkiepuk84pn8rcfjm6s, 6c57ayh4zo9txp6oo987w96fp, 3uj6mcpdgzwkj73gjg2kikk45, f5dwmfqf84vn26jqgru6q6uax, ep1eax2gaziw4xoshealvq5ex, 23yszo5vk185thxlbtejvpfbp, 5723ov5phdi50orxufuflv33e, cni5awk83s8cen20ed4v1swve, ar5egjfxvgref6nzy4onfmsid, bvb790jufzko9iif477l7gd0p, a54k20jw9qbbz7f9dgmiufc2x, 10ixr0cqjjep81fttjma8zap5, 5q14ubfa0onthocee8udipsyd, eu0p99sk5yxmjyjln9cz0woo9, aa9dp2dqyn7j7er2sogxd5z6y",4242998493,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542236197,1,34,16,0,0,dw7c1rdfrjt0ldijrpj6rzsqa,1,0,0,2023-05-01T11:28:18.041Z,2023-05-01T12:10:37Z,4243001369,197,7789,4243001371,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4243001357,30,"7wca6eqs9p0yfnopg1vuf9mg9, 676laaeepb82dca4z697l1ln9, 66yiyba5pr0e94lgjt1l3edw5, 1a17k8bd71gd0ma9s82tu8lih, 9ir50j29o8lz3mopyvwqhf55, 5yrl9rtx98ww9b5fi60clbxsl, 9hvm2holhffxslajxxhozpk2d, ajg3l6aivz51lhfsc7cick3x1, ax9f6iiirrjdhdj3cue6ok73d, bnuywmddfhmgf37fm8m53e73e, hn056q5dmwdhmp8vcb06hgph, dptyomb8hqciz4ae6o4735pt5, acwul6zjezm8jopk2smtc1yhh, bngdqkl7quj4slkpv7iv4ty7e, 2f0xad1wghxbjm4rgashsqw2d, d3gfht1nvvyogqkw6pujvchyh, 6zk7quf12qk6pvyiv68zt1kb8, 8cowao0urqwdop1p42dt722vo",4243001367,194,9ir50j29o8lz3mopyvwqhf55,4243001365,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4243001363,130,8,4243001359,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4243001361,59,"21, 3, 2, 16, 45, 5, 7, 8, 9, 11, 10, 1, 12, 14, 17, 20, 26, 33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542255127,2,32,1,0,0,dw7c1rdfrjt0ldijrpj6rzsqa,1,0,0,2023-05-01T12:25:08.477Z,2023-05-06T11:50:09Z,4243102197,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542255119,2,32,1,0,0,4dkougngrd8mpvfb1cr9mdb1p,1,0,0,2023-05-01T12:25:08.477Z,2023-05-01T12:25:08Z,4243102171,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542255149,3,1,1,0,0,4dkougngrd8mpvfb1cr9mdb1p,1,50,50,2023-05-01T12:25:08.577Z,2023-05-01T12:30:31Z,4243102299,213,3.1,4243102293,140,35.3,4243102291,56,Back,4243102301,279,S,4243102295,141,49.9,4243102297,212,15.4,,,,,,,23yszo5vk185thxlbtejvpfbp,Sin Jin-Ho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542255159,4,1,1,0,3,4dkougngrd8mpvfb1cr9mdb1p,0,35.1,50.7,2023-05-01T12:25:11.505Z,2023-05-01T12:30:38Z,4243102343,155,,4243102345,56,Center,4243102347,140,69.9,4243102355,1,,4243102349,141,52.1,4243102353,213,0.0,4243102351,212,36.6,,,,ep1eax2gaziw4xoshealvq5ex,Mun Ji-Hwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542255167,3,1,1,0,5,dw7c1rdfrjt0ldijrpj6rzsqa,0,27.8,41.2,2023-05-01T12:25:13.935Z,2023-05-01T12:30:59Z,4243102397,140,38.6,4243102399,141,52.8,4243102395,56,Back,4243102401,212,13.8,4243102393,3,,4243102403,213,0.6,,,,,,,9ir50j29o8lz3mopyvwqhf55,Ha Chang-Rae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542255181,5,1,1,0,6,4dkougngrd8mpvfb1cr9mdb1p,1,55.7,46.3,2023-05-01T12:25:14.488Z,2023-05-06T11:37:45Z,4243102493,213,0.6,4243102485,56,Center,4243102489,141,61.7,4243102487,140,69.5,4243102491,212,17.9,4243102483,155,,,,,,,,23yszo5vk185thxlbtejvpfbp,Sin Jin-Ho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542255225,6,1,1,0,7,4dkougngrd8mpvfb1cr9mdb1p,1,69.5,61.7,2023-05-01T12:25:16.041Z,2023-05-06T11:37:47Z,4243102719,140,76.4,4243102717,56,Center,4243102723,212,8.1,4243102721,141,56.3,4243102725,213,5.8,,,,,,,,,,5723ov5phdi50orxufuflv33e,Cheon Seong-Hoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542255231,7,50,1,0,12,4dkougngrd8mpvfb1cr9mdb1p,1,77.4,83,2023-05-01T12:25:20.488Z,2023-05-06T11:38:08Z,4243102757,56,Left,4243102759,286,,4243102925,233,4,,,,,,,,,,,,,,,,ar5egjfxvgref6nzy4onfmsid,Gerso Fernandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
