id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/10/value,keyPass,qualifier/15/value
2539479119,1,34,16,0,0,25yplfulilqz11lp1qbii7sf3,1,0,0,2023-04-26T14:08:16.069Z,2023-04-26T14:31:54Z,4221418175,130,11,4221418173,59,"21, 10, 29, 4, 5, 3, 37, 88, 13, 97, 14, 12, 16, 18, 23, 31, 33, 44",4221418169,30,"d2umkyp9klwwekql2dx7micbt, alx06y7csoazdp3tk47kb3jl5, c75jawwqkzeeuok8x8jp590yc, 4z3rcjk4s1tco4fkowyge47p, dvcjosm7a58m077753naw9skp, amk38ynyldb8oqjvf7gqt02cp, 8iu9qm62stsr58k53qm7poums, az865nb20rq7o9np5ybcujpjo, 5mj7o6o20uaotwt25hcs3fjrp, 634xb3u0uv1nk1t7x5f9ktq09, 72uvhqf52slu7tjs4r8djibmy, 67va6sybfq7482lu7qbtw8fkl, d2xhf1invyzqlm3wpwvrpp711, 995zoc64qoswow18edrxm6zth, i60jnxmaywexvys2g0aktdcl, cbfinej378y6fzu14gf06e4us, 6guyyg9xolz10ghf7draajqw9, 7rwv2m8660qffrhluftyhgno5",4221418183,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4221418177,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4221418171,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4221418179,194,4z3rcjk4s1tco4fkowyge47p,4221418181,197,6853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539480487,1,34,16,0,0,dw7c1rdfrjt0ldijrpj6rzsqa,1,0,0,2023-04-26T14:11:56.192Z,2023-04-26T14:18:21Z,4221425915,59,"21, 14, 2, 16, 45, 5, 12, 8, 33, 26, 10, 1, 7, 9, 11, 17, 20, 77",4221425921,194,acwul6zjezm8jopk2smtc1yhh,4221425917,130,8,4221425913,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4221425925,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4221425911,30,"7wca6eqs9p0yfnopg1vuf9mg9, bngdqkl7quj4slkpv7iv4ty7e, 66yiyba5pr0e94lgjt1l3edw5, 1a17k8bd71gd0ma9s82tu8lih, 9ir50j29o8lz3mopyvwqhf55, 5yrl9rtx98ww9b5fi60clbxsl, acwul6zjezm8jopk2smtc1yhh, ajg3l6aivz51lhfsc7cick3x1, 8cowao0urqwdop1p42dt722vo, 6zk7quf12qk6pvyiv68zt1kb8, hn056q5dmwdhmp8vcb06hgph, dptyomb8hqciz4ae6o4735pt5, 9hvm2holhffxslajxxhozpk2d, ax9f6iiirrjdhdj3cue6ok73d, bnuywmddfhmgf37fm8m53e73e, 2f0xad1wghxbjm4rgashsqw2d, d3gfht1nvvyogqkw6pujvchyh, 62wip1a134jzsh6ysmrokoxqt",4221425919,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4221425923,197,7789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539484599,2,32,1,0,0,25yplfulilqz11lp1qbii7sf3,1,0,0,2023-04-26T14:24:37.538Z,2023-04-26T14:24:37Z,4221448709,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539484603,2,32,1,0,0,dw7c1rdfrjt0ldijrpj6rzsqa,1,0,0,2023-04-26T14:24:37.538Z,2023-04-26T14:24:39Z,4221448729,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539484617,3,1,1,0,0,25yplfulilqz11lp1qbii7sf3,1,49.8,50.7,2023-04-26T14:24:37.638Z,2023-04-26T14:37:01Z,4221448833,141,44.6,4221448837,213,3.6,4221448835,212,8.9,4221448839,279,S,4221448831,140,42.3,4221448829,56,Back,,,,,,,5mj7o6o20uaotwt25hcs3fjrp,Kim Bo-Kyung,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539484633,4,1,1,0,2,25yplfulilqz11lp1qbii7sf3,1,46.5,39.1,2023-04-26T14:24:40.189Z,2023-04-26T14:24:42Z,4221448941,56,Back,4221448949,213,2.8,4221448945,141,50.4,4221448947,212,20.5,4221448943,140,28.4,,,,,,,,,,az865nb20rq7o9np5ybcujpjo,Yu Je-Ho,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539484665,5,1,1,0,5,25yplfulilqz11lp1qbii7sf3,1,27.5,48.5,2023-04-26T14:24:42.670Z,2023-04-26T14:24:47Z,4221449079,212,13.3,4221449081,213,4.6,4221449073,56,Back,4221449077,141,29.2,4221449075,140,25.5,,,,,,,,,,4z3rcjk4s1tco4fkowyge47p,D. Bulthuis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539484685,6,1,1,0,9,25yplfulilqz11lp1qbii7sf3,1,30.5,29.1,2023-04-26T14:24:46.877Z,2023-04-26T14:24:50Z,4221449193,212,19.5,4221449191,141,57.3,4221449195,213,1.8,4221449187,56,Back,4221449189,140,26.9,,,,,,,,,,dvcjosm7a58m077753naw9skp,Han Ho-Gang,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539484695,7,1,1,0,12,25yplfulilqz11lp1qbii7sf3,1,24.9,67.9,2023-04-26T14:24:50.270Z,2023-04-26T14:24:52Z,4221449243,212,16.0,4221449247,213,1.5,4221449235,56,Back,4221449241,141,91.4,4221449237,140,25.4,,,,,,,,,,4z3rcjk4s1tco4fkowyge47p,D. Bulthuis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539484705,8,1,1,0,15,25yplfulilqz11lp1qbii7sf3,1,26.4,94.8,2023-04-26T14:24:52.613Z,2023-04-26T14:24:54Z,4221449287,140,17.8,4221449293,213,3.7,4221449285,56,Back,4221449289,141,86.0,4221449291,212,10.8,,,,,,,,,,c75jawwqkzeeuok8x8jp590yc,Lee Sang-Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,
