id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/10/value,qualifier/15/value,qualifier/8/value,assist,qualifier/13/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2515720673,1,34,16,0,0,19auwjswq9camwpb4u14a6tp5,1,0,0,2023-03-05T07:25:22.106Z,2023-03-05T07:32:04Z,4074493355,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4074493347,30,"812p4cjsthngn5glo3d7yzro5, 6k2wxx0v0e60g1gtrio4xekmh, 6lfh7umo99gfk2f23jbg6k3ro, 2urtsl9xa0plg4w80nr8z9tuy, 50pxsuw6rozz51fqz6phq4r8p, apa928m4vsbgdb20pvxjwdgix, 62cm6wselsnn3az1utbmdual0, bw0h202lprp7jzdtp6hv78ixh, 74vr5grc65e8ogu008l764o2d, 2zgac47mjf4fife5es00y4h9m, 5blgib9feku7hwyfe4qyla85x, any4esejk79yct375aswisyqx, c9eu4wnftgpmoo64onib4aaz8, 2g53akyz7il91gywan5ebunmc, d585rl5n1lyby0pzclz7ywokq, 2ig9utw0lc4bo8r0ar5htd6cq, deo8agvy9lyt8xppcisqepxx, 8ig76mb9fsq6r456o42fnactm",4074493359,197,7783,4074493353,130,13,4074493349,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4074493351,59,"21, 5, 2, 66, 6, 7, 14, 8, 11, 17, 9, 1, 15, 19, 26, 39, 74, 99",4074493357,194,74vr5grc65e8ogu008l764o2d,4074493361,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515721399,1,34,16,0,0,92h5si20tnxjtg4hj8cs97bpw,1,0,0,2023-03-05T07:33:30.794Z,2023-03-05T07:36:15Z,4074497793,130,13,4074497799,197,6990,4074497795,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4074497789,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4074497801,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4074497797,194,7ts0uh7r3qczq6qfwzjy8phhx,4074497791,59,"1, 17, 32, 13, 26, 20, 8, 25, 9, 33, 10, 4, 7, 11, 14, 19, 21, 30",4074497787,30,"668f2py1qzypzm56csh8s04wl, 7ts0uh7r3qczq6qfwzjy8phhx, bwzjmefo4k42iieisyas48vdh, 99yrscdrulo9rty85p06mclat, 5wb9s5dpfmmijb96ck56o3pp1, 74i6zd9vz9kcipubavbib9uc5, 68axkq2o9fe65ew80jtj0xxp1, acrtfa8a1l1tfbvcp7jzdttzo, 3r0e8d9wswt7ygyc46es0u12h, bqhazt8seel1clbtwmgacty50, 7x5i526fkxae3bqymfw06vf85, 69kkav5u6owt1boe58a2ma1n9, 53q7tgwwdclmp8mqr6uhpryl1, bbg7ciq51x8y5sdlrrzclqbmy, 99z4lbnvzi2e6maoa7j3yy6ay, ei2p6tlhj81q4nstpv4s8oq5m, 9fmxn6ib6rm6xf4642mjiesb9, 7tb226aujwnbsbsrzbncnk9w4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515724849,2,32,1,0,0,19auwjswq9camwpb4u14a6tp5,1,0,0,2023-03-05T07:55:59.243Z,2023-03-05T07:56:01Z,4074513383,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515724843,2,32,1,0,0,92h5si20tnxjtg4hj8cs97bpw,1,0,0,2023-03-05T07:55:59.243Z,2023-03-05T07:55:59Z,4074513361,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515724857,3,1,1,0,0,92h5si20tnxjtg4hj8cs97bpw,1,50.1,49.9,2023-03-05T07:55:59.343Z,2023-03-05T07:56:02Z,4074513435,140,37.8,4074513439,212,13.1,4074513443,279,S,4074513433,56,Back,4074513441,213,3.3,4074513437,141,46.7,,,,,,,3r0e8d9wswt7ygyc46es0u12h,Yuri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515724867,4,1,1,0,2,92h5si20tnxjtg4hj8cs97bpw,1,35.4,49.3,2023-03-05T07:56:02.040Z,2023-03-05T07:56:04Z,4074513511,213,1.1,4074513507,141,62.3,4074513505,140,39.5,4074513509,212,9.8,4074513503,56,Back,,,,,,,,,,68axkq2o9fe65ew80jtj0xxp1,Lee Chang-Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515724889,5,1,1,0,5,92h5si20tnxjtg4hj8cs97bpw,1,40.6,68.1,2023-03-05T07:56:04.617Z,2023-03-05T07:56:10Z,4074513645,141,81.2,4074513643,140,41.5,4074513649,213,1.5,4074513641,56,Back,4074513647,212,9.0,,,,,,,,,,acrtfa8a1l1tfbvcp7jzdttzo,Han Jong-Mu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515724895,6,1,1,0,10,92h5si20tnxjtg4hj8cs97bpw,1,36.5,73.3,2023-03-05T07:56:09.879Z,2023-03-05T07:56:11Z,4074513687,213,1.0,4074513681,140,45.3,4074513685,212,16.4,4074513679,56,Back,4074513683,141,93.3,,,,,,,,,,99yrscdrulo9rty85p06mclat,Chung Woon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515724911,7,1,1,0,11,92h5si20tnxjtg4hj8cs97bpw,1,45.1,93.5,2023-03-05T07:56:11.094Z,2023-03-05T07:56:15Z,4074513809,213,3.9,4074513803,140,37.8,4074513805,141,82.0,4074513801,56,Back,4074513807,212,11.0,,,,,,,,,,bwzjmefo4k42iieisyas48vdh,Lee Ju-Yong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515724927,8,1,1,0,16,92h5si20tnxjtg4hj8cs97bpw,1,41.7,70.5,2023-03-05T07:56:15.736Z,2023-03-05T07:56:18Z,4074513879,56,Back,4074513883,141,52.5,4074513885,212,20.9,4074513887,213,3.8,4074513881,140,25.6,,,,,,,,,,99yrscdrulo9rty85p06mclat,Chung Woon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
