id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/10/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/13/value,assist,qualifier/15/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId
2548478083,1,34,16,0,0,dw7c1rdfrjt0ldijrpj6rzsqa,1,0,0,2023-05-14T05:47:06.430Z,2023-05-14T06:44:36Z,4276379691,194,ax9f6iiirrjdhdj3cue6ok73d,4276379693,197,7789,4276379687,130,8,4276379689,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4276379685,59,"21, 3, 2, 8, 20, 5, 7, 16, 9, 11, 10, 1, 12, 17, 26, 33, 45, 66",4276379695,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4276379683,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4276379681,30,"7wca6eqs9p0yfnopg1vuf9mg9, 676laaeepb82dca4z697l1ln9, 66yiyba5pr0e94lgjt1l3edw5, ajg3l6aivz51lhfsc7cick3x1, d3gfht1nvvyogqkw6pujvchyh, 5yrl9rtx98ww9b5fi60clbxsl, 9hvm2holhffxslajxxhozpk2d, 1a17k8bd71gd0ma9s82tu8lih, ax9f6iiirrjdhdj3cue6ok73d, bnuywmddfhmgf37fm8m53e73e, hn056q5dmwdhmp8vcb06hgph, dptyomb8hqciz4ae6o4735pt5, acwul6zjezm8jopk2smtc1yhh, 2f0xad1wghxbjm4rgashsqw2d, 6zk7quf12qk6pvyiv68zt1kb8, 8cowao0urqwdop1p42dt722vo, 9ir50j29o8lz3mopyvwqhf55, 7fdum5qr7w63uv8btpe4rqu50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548489367,1,34,16,0,0,4oixf5ykhg01zfxpt7gbpn3dq,1,0,0,2023-05-14T06:26:42.760Z,2023-05-14T06:26:42Z,4276432589,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4276432587,30,"4d3es8ekeal960uto4qtswf6d, cssg26zrr6dgqho4tu3s7c02y, b94ir5n74j160z90pshd9q6ll, 9tiu7146tyw2qyckn8rsgxjsa, 7rr89ju56rla39nujjabmpq3u, 9mehciic0e1w99g55xavfg0oa, un6pufmg35lihl29pqplevop, xxtw55nr7l92n8dpl6xcnahh, bkkp2lwwkw18o6y333dx2ut3p, 594aaw8h28nlm7uz6ib9vczc9, 4ewc486q7lv7jho1t7qviprdh, a51uwp4qcrr4rodslzst4iok5, exzcpmt24cwhugpj3b1oi5pii, cdrs0tqwywl6soqu6p8qhkm50, 1x0nab8a4vcrn6t4pwzlz7d1x, 3mof05i0b0pw2a5otudpl1qms, 2xf5af3fbjhe7g2cyq48ezf11, 6i3hjmgdhx9jv5tsk0ugc0b85",4276432593,130,12,4276432591,59,"1, 26, 98, 4, 6, 20, 97, 7, 70, 10, 8, 2, 5, 13, 14, 19, 23, 28",4276432601,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4276432597,194,4ewc486q7lv7jho1t7qviprdh,4276432599,197,4574,4276432595,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548491245,2,32,1,0,0,4oixf5ykhg01zfxpt7gbpn3dq,1,0,0,2023-05-14T06:33:48.111Z,2023-05-14T06:33:48Z,4276439293,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548491249,2,32,1,0,0,dw7c1rdfrjt0ldijrpj6rzsqa,1,0,0,2023-05-14T06:33:48.111Z,2023-05-14T06:33:49Z,4276439301,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548491257,3,1,1,0,0,dw7c1rdfrjt0ldijrpj6rzsqa,1,50,49.3,2023-05-14T06:33:48.211Z,2023-05-14T06:38:32Z,4276439325,212,21.7,4276439329,279,S,4276439319,56,Back,4276439327,213,3.4,4276439321,140,29.8,4276439323,141,42.7,,,,,,,bnuywmddfhmgf37fm8m53e73e,Goh Young-Jun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548491291,4,1,1,0,4,dw7c1rdfrjt0ldijrpj6rzsqa,0,31.9,40.7,2023-05-14T06:33:52.590Z,2023-05-14T06:33:56Z,4276439447,56,Center,4276439449,140,70.3,4276439457,213,0.6,4276439445,157,,4276439461,1,,4276439451,141,77.8,4276439453,212,47.6,,,,d3gfht1nvvyogqkw6pujvchyh,Park Chan-Yong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548491301,3,1,1,0,10,4oixf5ykhg01zfxpt7gbpn3dq,0,29.7,25,2023-05-14T06:33:58.292Z,2023-05-14T06:39:09Z,4276439481,140,39.1,4276439483,141,30.4,4276439477,3,,4276439485,212,10.5,4276439479,56,Back,4276439487,213,0.4,,,,,,,9mehciic0e1w99g55xavfg0oa,Cho Yu-Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548491311,5,1,1,0,10,dw7c1rdfrjt0ldijrpj6rzsqa,1,62.2,75.9,2023-05-14T06:33:58.671Z,2023-05-14T06:34:01Z,4276439531,141,96.6,4276439533,212,14.1,4276439529,140,61.5,4276439535,213,1.6,4276439527,56,Left,,,,,,,,,,ajg3l6aivz51lhfsc7cick3x1,Oberdan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548491317,6,3,1,0,12,dw7c1rdfrjt0ldijrpj6rzsqa,0,62.2,95.2,2023-05-14T06:34:01.072Z,2023-05-14T06:34:03Z,4276439549,286,,4276439547,56,Left,4276439579,233,4,,,,,,,,,,,,,,,,66yiyba5pr0e94lgjt1l3edw5,Sim Sang-Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548491321,4,7,1,0,12,4oixf5ykhg01zfxpt7gbpn3dq,1,37.8,4.8,2023-05-14T06:34:01.073Z,2023-05-14T06:34:03Z,4276439557,56,Back,4276439569,233,6,4276439559,285,,4276439555,167,,,,,,,,,,,,,,un6pufmg35lihl29pqplevop,Lee Jin-Hyun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
