id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,assist,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/10/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2538694135,30,34,16,0,0,86pmsqvfhj3t45uo4osr9hks9,1,0,0,2023-04-24T11:09:43.012Z,2023-04-24T11:14:24Z,4217181489,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4217181499,197,6999,4217181495,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4217181501,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4217181491,59,"21, 66, 13, 24, 15, 19, 17, 6, 18, 29, 10, 1, 5, 7, 11, 22, 26, 27",4217181487,30,"4cih000f65u36i7fm1sn0fob9, eifui3hrv21plt57hxo8dhl62, 68ipkee8liqja0vaxm5hp3gt1, 8683grc2e0vttdmqococp9iw9, e3n0w0p4dvfax1b6bfk2qlex, 53ii8a2tn0kbcxyp0hfqhu02d, f476eflmv1tojfcufu59inf56, 5osl9hgarpoek3ici17bq3nqh, 8sc2xigysl1ueogyivxyj0hqt, aka1ddwszmv6g7etcelkjgup6, 5wa2awnwsayrocgxs9d00p1p1, dfgaeb2ty9rt168zsbru4t3v9, e58ntnbbuaa79qxxskbclzjyt, in3k7rmzh6imqs00bhvl71lh, 9fg0am5mvsr9u9wu2m4nf9ii1, biv5sbz8pcwic5vb8k0zc3tnt, 16ibszyes8xs923koupcul08a, df7n0r366r77ujzxdedwcomol",4217181493,130,8,4217181497,194,e3n0w0p4dvfax1b6bfk2qlex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538697081,1,34,16,0,0,dw7c1rdfrjt0ldijrpj6rzsqa,1,0,0,2023-04-24T11:15:43.958Z,2023-04-24T11:18:37Z,4217196755,30,"7wca6eqs9p0yfnopg1vuf9mg9, bngdqkl7quj4slkpv7iv4ty7e, 66yiyba5pr0e94lgjt1l3edw5, ajg3l6aivz51lhfsc7cick3x1, 9ir50j29o8lz3mopyvwqhf55, 5yrl9rtx98ww9b5fi60clbxsl, 9hvm2holhffxslajxxhozpk2d, 2f0xad1wghxbjm4rgashsqw2d, ax9f6iiirrjdhdj3cue6ok73d, bnuywmddfhmgf37fm8m53e73e, acwul6zjezm8jopk2smtc1yhh, dptyomb8hqciz4ae6o4735pt5, 676laaeepb82dca4z697l1ln9, 9nd45rqvcb13poit54el416uh, hn056q5dmwdhmp8vcb06hgph, d3gfht1nvvyogqkw6pujvchyh, 6r7ac3ukjxdej3s5q9mhbzlec, 8cowao0urqwdop1p42dt722vo",4217196763,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4217196759,59,"21, 14, 2, 8, 45, 5, 7, 17, 9, 11, 12, 1, 3, 6, 10, 20, 30, 33",4217196757,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4217196761,130,8,4217196765,194,acwul6zjezm8jopk2smtc1yhh,4217196767,197,7193,4217196769,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538732367,2,32,1,0,0,dw7c1rdfrjt0ldijrpj6rzsqa,1,0,0,2023-04-24T13:05:23.234Z,2023-04-24T13:05:23Z,4217412647,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538732373,31,32,1,0,0,86pmsqvfhj3t45uo4osr9hks9,1,0,0,2023-04-24T13:05:23.234Z,2023-04-28T12:20:03Z,4217412669,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538732391,3,1,1,0,0,dw7c1rdfrjt0ldijrpj6rzsqa,1,50,50,2023-04-24T13:05:23.334Z,2023-04-24T13:05:26Z,4217412785,141,43.4,4217412781,56,Back,4217412789,213,3.4,4217412791,279,S,4217412787,212,17.6,4217412783,140,33.8,,,,,,,bnuywmddfhmgf37fm8m53e73e,Goh Young-Jun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538732417,4,1,1,0,2,dw7c1rdfrjt0ldijrpj6rzsqa,1,33.8,43.4,2023-04-24T13:05:25.500Z,2023-04-24T13:05:59Z,4217412905,56,Back,4217412909,141,61.4,4217412911,212,16.7,4217412913,213,2.3,4217412907,140,23.0,,,,,,,,,,2f0xad1wghxbjm4rgashsqw2d,Shin Kwang-Hoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538732433,5,1,1,0,5,dw7c1rdfrjt0ldijrpj6rzsqa,1,24.5,55.7,2023-04-24T13:05:28.413Z,2023-04-24T13:05:31Z,4217413013,212,29.0,4217413007,56,Back,4217413011,141,13.1,4217413015,213,4.7,4217413009,140,22.8,,,,,,,,,,5yrl9rtx98ww9b5fi60clbxsl,A. Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538732461,6,1,1,0,7,dw7c1rdfrjt0ldijrpj6rzsqa,1,23.1,9.5,2023-04-24T13:05:31.205Z,2023-04-24T13:06:30Z,4217413167,56,Back,4217413173,212,17.4,4217413169,140,14.7,4217413175,213,2.1,4217413171,141,31.5,,,,,,,,,,bngdqkl7quj4slkpv7iv4ty7e,Park Seung-Wook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538732469,7,1,1,0,13,dw7c1rdfrjt0ldijrpj6rzsqa,1,19.2,30.1,2023-04-24T13:05:36.949Z,2023-04-24T13:05:39Z,4217413251,213,1.4,4217413249,212,46.0,4217413245,140,26.4,4217413241,196,,4217413247,141,96.9,4217413253,1,,4217413239,155,,4217413243,56,Back,9ir50j29o8lz3mopyvwqhf55,Ha Chang-Rae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538732495,8,1,1,0,16,dw7c1rdfrjt0ldijrpj6rzsqa,1,26.4,96.3,2023-04-24T13:05:39.396Z,2023-04-24T13:05:43Z,4217413437,56,Back,4217413439,140,35.9,4217413443,212,10.0,4217413441,141,94.5,4217413445,213,6.2,,,,,,,,,,66yiyba5pr0e94lgjt1l3edw5,Sim Sang-Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538732503,9,1,1,0,18,dw7c1rdfrjt0ldijrpj6rzsqa,1,34.5,97.3,2023-04-24T13:05:41.693Z,2023-04-28T11:57:23Z,4217413493,56,Back,4217413497,141,97.9,4217413499,212,11.1,4217413495,140,23.9,4217413501,213,3.1,,,,,,,,,,acwul6zjezm8jopk2smtc1yhh,Kim Seung-Dae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538732525,10,1,1,0,19,dw7c1rdfrjt0ldijrpj6rzsqa,1,30.6,96.2,2023-04-24T13:05:42.478Z,2023-04-28T11:57:28Z,4217413601,140,41.7,4217413605,212,12.0,4217413607,213,6.0,4217413603,141,92.1,4217413599,56,Back,4217413597,155,,,,,,,,66yiyba5pr0e94lgjt1l3edw5,Sim Sang-Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538732529,11,50,1,0,22,dw7c1rdfrjt0ldijrpj6rzsqa,1,43.1,94.2,2023-04-24T13:05:46.181Z,2023-04-24T13:08:01Z,4217413703,233,32,4217413629,286,,4217413627,56,Back,,,,,,,,,,,,,,,,ax9f6iiirrjdhdj3cue6ok73d,Zeca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538732539,32,7,1,0,22,86pmsqvfhj3t45uo4osr9hks9,1,56.9,5.8,2023-04-24T13:05:46.182Z,2023-04-28T11:58:18Z,4231594621,384,,4217413671,56,Right,4217413683,233,11,4217413673,285,,,,,,,,,,,,,,e3n0w0p4dvfax1b6bfk2qlex,Jung Seung-Hyun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
