id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,assist,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,keyPass,qualifier/14/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId
2535054587,1,34,16,0,0,98uh21utg52famg6x9k7t3s20,1,0,0,2023-04-17T05:34:52.634Z,2023-04-17T06:23:39Z,4197831861,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4197831847,30,"6h3wqtfn2mmenany8bwqeges5, 9gazebtfildz2l6z7vwwabg89, 39if24afmrxwterxd4uv665sl, e1dd7mmkckdxq9zv1zlp18out, 54wwllrm62wwim96tte369xp1, efi5ryymu8cvxdp3rnrk0gct1, epwuhrr3ub0acxh16j6m0ynrp, 2a304ugyodhumio0ytku7hhm2, ec0e15kwv2vre5gnldajcwq8l, 1ljv0c7ibkdetodpptwowgru1, mvn1u3p4yeecbjobvsuontp0, 2sds2sehq07afh2cfoctbj651, bf02taewqoelgq18ul1nlkkb9, lfe406p9mh0c4z6sbehkq4fd, arjghrkpdudekgjn9ygz1qvvt, byv2xgoetylx6ow3yrshm4q2, 1446yq80h9yahbdxxmkje7384, 8sobgcp6sk25isz412rykigo9",4197831859,197,6944,4197831851,59,"1, 24, 22, 20, 2, 23, 6, 4, 9, 10, 7, 5, 8, 11, 17, 31, 35, 88",4197831855,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4197831853,130,13,4197831857,194,efi5ryymu8cvxdp3rnrk0gct1,4197831849,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535054721,1,34,16,0,0,4dkougngrd8mpvfb1cr9mdb1p,1,0,0,2023-04-17T05:36:20.215Z,2023-04-17T06:01:59Z,4197832541,130,13,4197832539,59,"23, 17, 28, 20, 47, 3, 6, 8, 99, 10, 11, 4, 7, 14, 16, 21, 25, 77",4197832549,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4197832535,30,"7rht8pf969t2zsy1lcp13aicq, 9ypo5z607qgr7586utge5hln9, 4iatm3hkiepuk84pn8rcfjm6s, bppyf0fnmm86izw3n2kifahh, f5dwmfqf84vn26jqgru6q6uax, at9ebendkmv06dnp6b140fw89, ep1eax2gaziw4xoshealvq5ex, 23yszo5vk185thxlbtejvpfbp, 5723ov5phdi50orxufuflv33e, cni5awk83s8cen20ed4v1swve, ar5egjfxvgref6nzy4onfmsid, 6c57ayh4zo9txp6oo987w96fp, 5o8e7mjrqi8wpco5b7f6oef9x, bvb790jufzko9iif477l7gd0p, a54k20jw9qbbz7f9dgmiufc2x, 5q14ubfa0onthocee8udipsyd, d07j5jwrtr7r9z04a5te24w7o, bzvu0o7w64pw53vtkl4687l04",4197832545,194,23yszo5vk185thxlbtejvpfbp,4197832543,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4197832547,197,19016,4197832537,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535058305,2,32,1,0,0,98uh21utg52famg6x9k7t3s20,1,0,0,2023-04-17T06:03:38.507Z,2023-04-21T12:22:56Z,4197847335,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535058303,2,32,1,0,0,4dkougngrd8mpvfb1cr9mdb1p,1,0,0,2023-04-17T06:03:38.507Z,2023-04-17T06:03:38Z,4197847329,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535058315,3,1,1,0,0,4dkougngrd8mpvfb1cr9mdb1p,1,49.9,50.1,2023-04-17T06:03:38.798Z,2023-04-17T06:03:42Z,4197847361,141,43.9,4197847359,140,39.5,4197847357,56,Back,4197847367,279,S,4197847365,213,3.5,4197847363,212,11.7,,,,,,,23yszo5vk185thxlbtejvpfbp,Sin Jin-Ho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535058323,4,1,1,0,3,4dkougngrd8mpvfb1cr9mdb1p,0,40.1,39.7,2023-04-17T06:03:42.328Z,2023-04-17T06:03:45Z,4197847383,155,,4197847385,56,Left,4197847391,212,52.1,4197847387,140,81.2,4197847389,141,82.7,4197847395,1,,4197847393,213,0.6,,,,ep1eax2gaziw4xoshealvq5ex,Mun Ji-Hwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535058325,3,44,1,0,6,98uh21utg52famg6x9k7t3s20,1,18.2,16.9,2023-04-17T06:03:44.698Z,2023-04-17T06:03:46Z,4197847399,56,Back,4197847401,285,,4197847413,233,5,,,,,,,,,,,,,,,,efi5ryymu8cvxdp3rnrk0gct1,Rim Chang-Woo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535058329,5,44,1,0,6,4dkougngrd8mpvfb1cr9mdb1p,0,81.8,83.1,2023-04-17T06:03:44.699Z,2023-04-17T06:03:47Z,4197847407,56,Left,4197847417,233,3,4197847409,286,,,,,,,,,,,,,,,,,5723ov5phdi50orxufuflv33e,Cheon Seong-Hoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535058331,4,1,1,0,6,98uh21utg52famg6x9k7t3s20,0,17.6,16.5,2023-04-17T06:03:45.274Z,2023-04-17T06:03:47Z,4197847427,141,10.9,4197847425,140,27.2,4197847429,212,10.8,4197847423,56,Back,4197847421,3,,4197847431,213,5.9,,,,,,,efi5ryymu8cvxdp3rnrk0gct1,Rim Chang-Woo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535058335,6,61,1,0,9,4dkougngrd8mpvfb1cr9mdb1p,0,71.7,98.4,2023-04-17T06:03:48.360Z,2023-04-17T06:03:53Z,4197847441,56,Left,,,,,,,,,,,,,,,,,,,,,,ar5egjfxvgref6nzy4onfmsid,Gerso Fernandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
