id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,assist,qualifier/11/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/14/value,qualifier/15/value
2513647283,1,34,16,0,0,98uh21utg52famg6x9k7t3s20,1,0,0,2023-02-28T14:22:30.576Z,2023-02-28T14:34:38Z,4063523807,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4063523795,30,"6h3wqtfn2mmenany8bwqeges5, 9gazebtfildz2l6z7vwwabg89, 39if24afmrxwterxd4uv665sl, e1dd7mmkckdxq9zv1zlp18out, 54wwllrm62wwim96tte369xp1, efi5ryymu8cvxdp3rnrk0gct1, 2a304ugyodhumio0ytku7hhm2, bf02taewqoelgq18ul1nlkkb9, ec0e15kwv2vre5gnldajcwq8l, mvn1u3p4yeecbjobvsuontp0, 1ljv0c7ibkdetodpptwowgru1, 34e59kt77fthmmbc8sp9mya96, lfe406p9mh0c4z6sbehkq4fd, arjghrkpdudekgjn9ygz1qvvt, 47o1zv4da1rowumneekzegqmt, 8mzlaxcpow2u6eoi19slmzoix, byv2xgoetylx6ow3yrshm4q2, 8sobgcp6sk25isz412rykigo9",4063523797,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4063523803,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4063523801,130,13,4063523799,59,"1, 24, 22, 20, 2, 23, 4, 8, 9, 7, 10, 3, 11, 17, 18, 21, 31, 88",4063545529,194,efi5ryymu8cvxdp3rnrk0gct1,4063523805,197,14918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513648257,1,34,16,0,0,4oixf5ykhg01zfxpt7gbpn3dq,1,0,0,2023-02-28T14:25:59.528Z,2023-02-28T15:34:08Z,4063529575,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4063529573,130,20,4063529569,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4063529567,30,"4d3es8ekeal960uto4qtswf6d, 4pwrho63fnlcee1xvh5myrw0l, a51uwp4qcrr4rodslzst4iok5, b94ir5n74j160z90pshd9q6ll, 9mehciic0e1w99g55xavfg0oa, bcdm1l4nif0y2p25kxhyehyw9, un6pufmg35lihl29pqplevop, 4ewc486q7lv7jho1t7qviprdh, 6i3hjmgdhx9jv5tsk0ugc0b85, bkkp2lwwkw18o6y333dx2ut3p, 9u3l89365yah3jn79pix0s67e, exzcpmt24cwhugpj3b1oi5pii, 8hqc7b9bv1u8j6jozhxyokno5, 594aaw8h28nlm7uz6ib9vczc9, 9dmzphjbkj0ih059z61ht5g8a, 1x0nab8a4vcrn6t4pwzlz7d1x, 3mof05i0b0pw2a5otudpl1qms, 2xf5af3fbjhe7g2cyq48ezf11",4063529581,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4063529571,59,"1, 22, 2, 98, 20, 3, 97, 8, 28, 70, 17, 5, 9, 10, 11, 14, 19, 23",4063529579,197,14983,4063529577,194,4ewc486q7lv7jho1t7qviprdh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513652457,2,32,1,0,0,4oixf5ykhg01zfxpt7gbpn3dq,1,0,0,2023-02-28T14:38:11.599Z,2023-03-03T01:15:07Z,4063552671,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513652455,2,32,1,0,0,98uh21utg52famg6x9k7t3s20,1,0,0,2023-02-28T14:38:11.599Z,2023-02-28T14:38:11Z,4063552663,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513652485,3,1,1,0,1,4oixf5ykhg01zfxpt7gbpn3dq,1,50,50,2023-02-28T14:38:12.699Z,2023-03-03T01:10:04Z,4063552835,212,14.7,4063552833,141,41.3,4063552837,213,3.6,4063552839,279,S,4063552829,56,Back,4063552831,140,37.2,,,,,,,6i3hjmgdhx9jv5tsk0ugc0b85,Tiago Orobó,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513652493,4,1,1,0,4,4oixf5ykhg01zfxpt7gbpn3dq,1,34.7,33.4,2023-02-28T14:38:15.690Z,2023-02-28T14:38:17Z,4063552911,141,22.8,4063552907,56,Back,4063552909,140,31.4,4063552915,213,4.3,4063552913,212,8.0,,,,,,,,,,4ewc486q7lv7jho1t7qviprdh,Ju Se-Jong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513652519,5,1,1,0,5,4oixf5ykhg01zfxpt7gbpn3dq,1,30.5,20.9,2023-02-28T14:38:17.545Z,2023-02-28T14:38:21Z,4063553079,140,32.3,4063553083,212,6.3,4063553081,141,29.7,4063553085,213,1.3,4063553075,56,Back,,,,,,,,,,bcdm1l4nif0y2p25kxhyehyw9,Kim Min-Duk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513652529,6,1,1,0,9,4oixf5ykhg01zfxpt7gbpn3dq,1,35.7,40.9,2023-02-28T14:38:21.049Z,2023-02-28T14:38:22Z,4063553157,212,6.5,4063553159,213,1.0,4063553153,140,38.8,4063553151,56,Back,4063553155,141,49.1,,,,,,,,,,4ewc486q7lv7jho1t7qviprdh,Ju Se-Jong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513652553,7,1,1,0,11,4oixf5ykhg01zfxpt7gbpn3dq,1,36.4,50.9,2023-02-28T14:38:22.697Z,2023-02-28T14:38:26Z,4063553301,56,Back,4063553309,213,2.2,4063553307,212,7.7,4063553305,141,60.0,4063553303,140,32.0,,,,,,,,,,un6pufmg35lihl29pqplevop,Lee Jin-Hyun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513652571,8,1,1,0,14,4oixf5ykhg01zfxpt7gbpn3dq,1,30.9,59.9,2023-02-28T14:38:26.153Z,2023-02-28T14:38:28Z,4063553389,56,Back,4063553397,213,0.1,4063553395,212,4.5,4063553393,141,60.6,4063553391,140,35.2,,,,,,,,,,9mehciic0e1w99g55xavfg0oa,Cho Yu-Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
