id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,keyPass,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/11/value,assist,qualifier/10/value,qualifier/13/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2530826043,1,34,16,0,0,86pmsqvfhj3t45uo4osr9hks9,1,0,0,2023-04-09T06:09:57.989Z,2023-04-09T14:15:06Z,4175364465,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4175364459,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4175364457,30,"4cih000f65u36i7fm1sn0fob9, eifui3hrv21plt57hxo8dhl62, 68ipkee8liqja0vaxm5hp3gt1, 8683grc2e0vttdmqococp9iw9, e3n0w0p4dvfax1b6bfk2qlex, 53ii8a2tn0kbcxyp0hfqhu02d, 9fg0am5mvsr9u9wu2m4nf9ii1, 5osl9hgarpoek3ici17bq3nqh, 3nicdpsg0eal2r2f4m3oyycb9, 4cn12y72opvi21fz6fmd5sc9g, f476eflmv1tojfcufu59inf56, dfgaeb2ty9rt168zsbru4t3v9, e58ntnbbuaa79qxxskbclzjyt, 7vr4sgrcs701tllzqir9ubc9h, 5wa2awnwsayrocgxs9d00p1p1, 8sc2xigysl1ueogyivxyj0hqt, 16ibszyes8xs923koupcul08a, df7n0r366r77ujzxdedwcomol",4175364463,130,8,4175364467,194,e3n0w0p4dvfax1b6bfk2qlex,4175364461,59,"21, 66, 13, 24, 15, 19, 11, 6, 9, 30, 17, 1, 5, 8, 10, 18, 26, 27",4175364471,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4175364469,197,15311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530830377,1,34,16,0,0,25yplfulilqz11lp1qbii7sf3,1,0,0,2023-04-09T06:18:07.421Z,2023-04-09T06:33:16Z,4175387761,194,da3lfnoyueymccynz7c9rn3l5,4175387755,59,"21, 10, 33, 7, 15, 4, 37, 16, 9, 97, 13, 3, 5, 17, 29, 34, 44, 88",4175387753,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4175387763,197,6853,4175387757,130,8,4175387759,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4175387765,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4175387751,30,"d2umkyp9klwwekql2dx7micbt, alx06y7csoazdp3tk47kb3jl5, 6guyyg9xolz10ghf7draajqw9, da3lfnoyueymccynz7c9rn3l5, 9jp7o16vx4iaojb3i91uc8639, 4z3rcjk4s1tco4fkowyge47p, 8iu9qm62stsr58k53qm7poums, d2xhf1invyzqlm3wpwvrpp711, 8ukgcvbovadaix0o0nwv1c5p1, 634xb3u0uv1nk1t7x5f9ktq09, 5mj7o6o20uaotwt25hcs3fjrp, amk38ynyldb8oqjvf7gqt02cp, dvcjosm7a58m077753naw9skp, e9n01rtm2n7xxhso2m52y3e8l, c75jawwqkzeeuok8x8jp590yc, 84tjz2hwcfkxefw7u49n1q6wa, 7rwv2m8660qffrhluftyhgno5, az865nb20rq7o9np5ybcujpjo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530846103,2,32,1,0,0,86pmsqvfhj3t45uo4osr9hks9,1,0,0,2023-04-09T06:52:34.322Z,2023-04-09T06:52:36Z,4175474905,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530846095,2,32,1,0,0,25yplfulilqz11lp1qbii7sf3,1,0,0,2023-04-09T06:52:34.322Z,2023-04-09T06:52:34Z,4175474887,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530846127,3,1,1,0,0,25yplfulilqz11lp1qbii7sf3,1,49.8,49.9,2023-04-09T06:52:34.422Z,2023-04-09T06:52:36Z,4175475041,141,42.8,4175475047,279,S,4175475043,212,13.6,4175475037,56,Back,4175475045,213,3.5,4175475039,140,37.7,,,,,,,8ukgcvbovadaix0o0nwv1c5p1,An Byong-Jun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530846143,4,1,1,0,1,25yplfulilqz11lp1qbii7sf3,1,37.7,42.7,2023-04-09T06:52:36.196Z,2023-04-09T06:52:38Z,4175475129,212,15.7,4175475123,56,Back,4175475131,213,3.4,4175475127,141,37.6,4175475125,140,23.1,,,,,,,,,,da3lfnoyueymccynz7c9rn3l5,Ko Seung-Beom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530846177,5,1,1,0,4,25yplfulilqz11lp1qbii7sf3,1,23.9,37.6,2023-04-09T06:52:38.612Z,2023-04-09T06:52:41Z,4175475315,140,24.2,4175475317,141,62.6,4175475321,213,1.6,4175475313,56,Back,4175475319,212,17.0,,,,,,,,,,9jp7o16vx4iaojb3i91uc8639,Go Myeong-Seok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530846195,6,1,1,0,7,25yplfulilqz11lp1qbii7sf3,0,23.8,69,2023-04-09T06:52:41.860Z,2023-04-09T06:52:44Z,4175475445,141,95.1,4175475439,155,,4175475443,140,68.1,4175475451,1,,4175475447,212,49.8,4175475441,56,Left,4175475449,213,0.4,,,,4z3rcjk4s1tco4fkowyge47p,D. Bulthuis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530846217,3,1,1,0,10,86pmsqvfhj3t45uo4osr9hks9,0,35.1,15.9,2023-04-09T06:52:44.960Z,2023-04-09T06:52:46Z,4175475533,3,,4175475541,212,28.1,4175475535,56,Right,4175475539,141,18.9,4175475537,140,61.8,4175475543,213,0.1,,,,,,,eifui3hrv21plt57hxo8dhl62,Seol Young-Woo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530846939,18,44,1,0,12,25yplfulilqz11lp1qbii7sf3,1,42.2,93.4,2023-04-09T06:52:46.573Z,2023-04-09T06:55:28Z,4175481057,285,,4175481111,233,21,4175481055,56,Back,,,,,,,,,,,,,,,,5mj7o6o20uaotwt25hcs3fjrp,Kim Bo-Kyung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
