id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/10/value,keyPass,qualifier/15/id,qualifier/15/qualifierId,qualifier/13/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/14/value
2544240233,1,34,16,0,0,25yplfulilqz11lp1qbii7sf3,1,0,0,2023-05-06T11:13:24.430Z,2023-05-06T12:05:34Z,4253737479,59,"21, 11, 23, 6, 5, 33, 13, 88, 20, 29, 14, 3, 9, 12, 15, 26, 31, 97",4253737487,197,6853,4253737485,194,i60jnxmaywexvys2g0aktdcl,4253737483,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4253737473,30,"d2umkyp9klwwekql2dx7micbt, a265eqmvpp3usopchr3mkp8bu, i60jnxmaywexvys2g0aktdcl, 7rzhjcnumhcumeiki6vzidn85, dvcjosm7a58m077753naw9skp, 6guyyg9xolz10ghf7draajqw9, 5mj7o6o20uaotwt25hcs3fjrp, az865nb20rq7o9np5ybcujpjo, 84lrfce692otj6g5r5qtbu2ac, c75jawwqkzeeuok8x8jp590yc, 72uvhqf52slu7tjs4r8djibmy, amk38ynyldb8oqjvf7gqt02cp, 8ukgcvbovadaix0o0nwv1c5p1, 67va6sybfq7482lu7qbtw8fkl, 9jp7o16vx4iaojb3i91uc8639, au5mffchdslsu2azzw8v9891x, cbfinej378y6fzu14gf06e4us, 634xb3u0uv1nk1t7x5f9ktq09",4253737481,130,4,4253737477,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4253737489,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544259373,1,34,16,0,0,4dkougngrd8mpvfb1cr9mdb1p,1,0,0,2023-05-06T11:38:15.792Z,2023-05-11T18:57:43Z,4253839009,194,6c57ayh4zo9txp6oo987w96fp,4253839013,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4253838999,59,"23, 14, 28, 4, 55, 47, 6, 8, 10, 27, 11, 7, 16, 19, 20, 21, 37",4253838991,30,"7rht8pf969t2zsy1lcp13aicq, bvb790jufzko9iif477l7gd0p, 4iatm3hkiepuk84pn8rcfjm6s, 6c57ayh4zo9txp6oo987w96fp, 3uj6mcpdgzwkj73gjg2kikk45, f5dwmfqf84vn26jqgru6q6uax, ep1eax2gaziw4xoshealvq5ex, 23yszo5vk185thxlbtejvpfbp, cni5awk83s8cen20ed4v1swve, eu0p99sk5yxmjyjln9cz0woo9, ar5egjfxvgref6nzy4onfmsid, 5o8e7mjrqi8wpco5b7f6oef9x, a54k20jw9qbbz7f9dgmiufc2x, 10ixr0cqjjep81fttjma8zap5, bppyf0fnmm86izw3n2kifahh, 5q14ubfa0onthocee8udipsyd, aa9dp2dqyn7j7er2sogxd5z6y",4253839005,130,13,4253838993,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5",4253839007,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",4253839011,197,7785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544272173,2,32,1,0,0,4dkougngrd8mpvfb1cr9mdb1p,1,0,0,2023-05-06T11:52:46.640Z,2023-05-11T17:05:29Z,4253905193,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544272179,2,32,1,0,0,25yplfulilqz11lp1qbii7sf3,1,0,0,2023-05-06T11:52:46.640Z,2023-05-06T11:52:49Z,4253905215,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544272183,3,1,1,0,0,25yplfulilqz11lp1qbii7sf3,1,50,50,2023-05-06T11:52:46.740Z,2023-05-11T17:11:44Z,4253905249,141,64.5,4253905251,212,21.3,4253905255,279,S,4253905253,213,2.7,4253905247,140,32.0,4253905245,56,Back,,,,,,,72uvhqf52slu7tjs4r8djibmy,Jeon Jin-Woo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544272247,4,1,1,0,3,25yplfulilqz11lp1qbii7sf3,0,32.8,64.2,2023-05-06T11:52:50.106Z,2023-05-06T11:53:16Z,4253905569,155,,4253905577,141,20.9,4253905575,140,74.6,4253905581,212,52.9,4253905571,56,Right,4253905583,213,5.7,4253905585,1,,,,,i60jnxmaywexvys2g0aktdcl,Lee Ki-Je,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544272255,3,49,1,0,7,4dkougngrd8mpvfb1cr9mdb1p,1,30.1,86.9,2023-05-06T11:52:53.909Z,2023-05-06T11:52:54Z,,,,,,,,,,,,,,,,,,,,,,,,,4iatm3hkiepuk84pn8rcfjm6s,Min Kyung-Hyun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544272281,4,1,1,0,7,4dkougngrd8mpvfb1cr9mdb1p,0,30.1,86.9,2023-05-06T11:52:54.156Z,2023-05-06T11:52:55Z,4253905787,212,11.6,4253905781,56,Back,4253905779,155,,4253905783,140,40.2,4253905785,141,80.0,4253905789,213,5.9,,,,,,,4iatm3hkiepuk84pn8rcfjm6s,Min Kyung-Hyun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544272321,5,1,1,0,11,25yplfulilqz11lp1qbii7sf3,1,57.7,20.6,2023-05-06T11:52:58.409Z,2023-05-06T11:55:58Z,4253905997,140,63.6,4253906001,212,8.2,4253905993,155,,4253905995,56,Right,4253906003,213,5.6,4253905999,141,12.8,,,,,,,dvcjosm7a58m077753naw9skp,Han Ho-Gang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544272327,6,49,1,0,12,25yplfulilqz11lp1qbii7sf3,1,63.7,13.1,2023-05-06T11:52:59.601Z,2023-05-06T11:53:00Z,,,,,,,,,,,,,,,,,,,,,,,,,a265eqmvpp3usopchr3mkp8bu,Kim Tae-Hwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
