id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/11/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value
2519002849,1,34,16,0,0,4oixf5ykhg01zfxpt7gbpn3dq,1,0,0,2023-03-12T08:37:06.689Z,2023-03-12T08:59:19Z,4091870451,197,14983,4091870439,30,"4d3es8ekeal960uto4qtswf6d, 4pwrho63fnlcee1xvh5myrw0l, b94ir5n74j160z90pshd9q6ll, exzcpmt24cwhugpj3b1oi5pii, bcdm1l4nif0y2p25kxhyehyw9, 9mehciic0e1w99g55xavfg0oa, 9u3l89365yah3jn79pix0s67e, a51uwp4qcrr4rodslzst4iok5, 6i3hjmgdhx9jv5tsk0ugc0b85, 3mof05i0b0pw2a5otudpl1qms, un6pufmg35lihl29pqplevop, 8hqc7b9bv1u8j6jozhxyokno5, 594aaw8h28nlm7uz6ib9vczc9, 9dmzphjbkj0ih059z61ht5g8a, cdrs0tqwywl6soqu6p8qhkm50, ax33xg27souv2j23fy3gks67e, 2xf5af3fbjhe7g2cyq48ezf11, 8h3mo1ofs87fuy6812hc5smj8",4091870445,130,4,4091870443,59,"1, 22, 98, 5, 3, 20, 17, 2, 28, 19, 97, 9, 10, 11, 13, 15, 23, 31",4091870453,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4091870449,194,4d3es8ekeal960uto4qtswf6d,4091870447,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4091870441,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519002937,1,34,16,0,0,dw7c1rdfrjt0ldijrpj6rzsqa,1,0,0,2023-03-12T08:37:46.801Z,2023-03-12T08:37:46Z,4091870841,194,9ir50j29o8lz3mopyvwqhf55,4091870833,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4091870835,59,"21, 14, 2, 8, 45, 20, 27, 6, 9, 11, 77, 1, 7, 10, 12, 17, 33, 66",4091870839,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4091870845,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4091870843,197,7193,4091870837,130,5,4091870831,30,"7wca6eqs9p0yfnopg1vuf9mg9, bngdqkl7quj4slkpv7iv4ty7e, 66yiyba5pr0e94lgjt1l3edw5, ajg3l6aivz51lhfsc7cick3x1, 9ir50j29o8lz3mopyvwqhf55, d3gfht1nvvyogqkw6pujvchyh, 8glv4do5pgyuzsq9np0ftubxl, 9nd45rqvcb13poit54el416uh, ax9f6iiirrjdhdj3cue6ok73d, bnuywmddfhmgf37fm8m53e73e, 62wip1a134jzsh6ysmrokoxqt, dptyomb8hqciz4ae6o4735pt5, 9hvm2holhffxslajxxhozpk2d, hn056q5dmwdhmp8vcb06hgph, acwul6zjezm8jopk2smtc1yhh, 2f0xad1wghxbjm4rgashsqw2d, 8cowao0urqwdop1p42dt722vo, 7fdum5qr7w63uv8btpe4rqu50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519005883,2,32,1,0,0,4oixf5ykhg01zfxpt7gbpn3dq,1,0,0,2023-03-12T08:54:16.591Z,2023-03-16T14:25:54Z,4091881855,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519005879,2,32,1,0,0,dw7c1rdfrjt0ldijrpj6rzsqa,1,0,0,2023-03-12T08:54:16.591Z,2023-03-12T08:54:16Z,4091881849,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519005889,3,1,1,0,0,4oixf5ykhg01zfxpt7gbpn3dq,1,49.9,49.5,2023-03-12T08:54:16.953Z,2023-03-12T09:02:43Z,4091881865,56,Back,4091881871,212,12.3,4091881867,140,38.6,4091881873,213,3.4,4091881875,279,S,4091881869,141,44.7,,,,,,,6i3hjmgdhx9jv5tsk0ugc0b85,Tiago Orobó,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519005903,4,1,1,0,2,4oixf5ykhg01zfxpt7gbpn3dq,1,38.8,52.8,2023-03-12T08:54:19.229Z,2023-03-12T09:02:45Z,4091881919,213,4.2,4091881917,212,7.0,4091881915,141,43.9,4091881911,56,Back,4091881913,140,35.4,,,,,,,,,,un6pufmg35lihl29pqplevop,Lee Jin-Hyun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519005915,5,1,1,0,4,4oixf5ykhg01zfxpt7gbpn3dq,1,36.2,46.1,2023-03-12T08:54:20.746Z,2023-03-12T08:57:31Z,4091881961,212,5.9,4091881959,141,52.7,4091881957,140,32.6,4091881963,213,2.3,4091881955,56,Back,,,,,,,,,,9u3l89365yah3jn79pix0s67e,Lee Hyeon-Sik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519005931,6,1,1,0,5,4oixf5ykhg01zfxpt7gbpn3dq,1,33.8,45.1,2023-03-12T08:54:22.571Z,2023-03-12T08:54:26Z,4091882009,140,29.2,4091882007,56,Back,4091882011,141,22.2,4091882013,212,16.3,4091882015,213,4.4,,,,,,,,,,exzcpmt24cwhugpj3b1oi5pii,Lim Deok-Geun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519005943,7,1,1,0,9,4oixf5ykhg01zfxpt7gbpn3dq,0,30.3,22.8,2023-03-12T08:54:26.218Z,2023-03-12T08:57:51Z,4091882057,140,71.7,4091882061,212,44.7,4091882059,141,7.3,4091882055,56,Right,4091882053,155,,4091882063,213,6.0,4091882065,1,,,,,bcdm1l4nif0y2p25kxhyehyw9,Kim Min-Duk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519005953,3,12,1,0,14,dw7c1rdfrjt0ldijrpj6rzsqa,1,21.9,90.5,2023-03-12T08:54:30.914Z,2023-03-16T14:26:40Z,4091882091,56,Back,4100757599,167,,4100757603,141,100.0,4100757605,212,8.7,4100757601,140,26.5,4100757607,213,1.0,,,,,,,66yiyba5pr0e94lgjt1l3edw5,Sim Sang-Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
