id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,keyPass,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/10/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist
2542132617,5,1,1,0,13,19auwjswq9camwpb4u14a6tp5,0,29.1,95,2023-05-01T06:54:09.928Z,2023-05-01T06:54:11Z,4242463911,141,92.9,4242463937,233,7,4242463935,236,,4242463907,56,Back,4242463915,213,3.9,4242463941,286,,4242463909,140,27.7,4242463913,212,2.0,k5yu3cqzlq5jybo9eozy89nt,K. Suzuki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542132619,7,74,1,0,13,25yplfulilqz11lp1qbii7sf3,1,70.5,3.7,2023-05-01T06:54:09.929Z,2023-05-01T08:35:00Z,4242463947,233,5,4242463917,56,Right,4242463919,285,,,,,,,,,,,,,,,,,amk38ynyldb8oqjvf7gqt02cp,Jang Ho-Ik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542132629,6,5,1,0,15,19auwjswq9camwpb4u14a6tp5,1,28.8,101.4,2023-05-01T06:54:11.577Z,2023-05-01T06:54:41Z,4242463963,233,8,4242463961,347,,4242463959,56,Back,,,,,,,,,,,,,,,,k5yu3cqzlq5jybo9eozy89nt,K. Suzuki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542132623,8,5,1,0,15,25yplfulilqz11lp1qbii7sf3,0,71.2,-1.4,2023-05-01T06:54:11.577Z,2023-05-01T06:54:13Z,4242463945,347,,4242463943,56,Right,4242463987,233,6,,,,,,,,,,,,,,,,amk38ynyldb8oqjvf7gqt02cp,Jang Ho-Ik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542132663,7,1,1,0,21,19auwjswq9camwpb4u14a6tp5,0,31.2,100,2023-05-01T06:54:17.832Z,2023-05-01T06:54:19Z,4242464137,213,6.0,4242464131,140,45.8,4242464133,141,94.7,4242464127,107,,4242464135,212,15.9,4242464129,56,Back,,,,,,,k5yu3cqzlq5jybo9eozy89nt,K. Suzuki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542132665,9,8,1,0,23,25yplfulilqz11lp1qbii7sf3,1,58.5,4.4,2023-05-01T06:54:19.640Z,2023-05-05T13:44:32Z,4251673499,384,,4242464141,56,Right,,,,,,,,,,,,,,,,,,,d2xhf1invyzqlm3wpwvrpp711,Lee Jong-Sung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542132671,10,43,1,0,25,25yplfulilqz11lp1qbii7sf3,1,0,0,2023-05-01T06:54:21.767Z,2023-05-01T06:55:46Z,4242466517,144,61,4242464171,56,Right,,,,,,,,,,,,,,,,,,,995zoc64qoswow18edrxm6zth,M. Acosty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542132689,8,1,1,0,28,19auwjswq9camwpb4u14a6tp5,1,23.3,88.6,2023-05-01T06:54:24.032Z,2023-05-01T06:54:26Z,4242464285,140,2.8,4242464283,56,Back,4242464287,141,52.1,4242464291,213,4.0,4242464293,1,,4242464289,212,32.9,,,,,,,2urtsl9xa0plg4w80nr8z9tuy,Jo Jin-Woo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542132701,9,1,1,0,30,19auwjswq9camwpb4u14a6tp5,0,3.6,51.2,2023-05-01T06:54:25.960Z,2023-05-01T06:54:29Z,4242464395,157,,4242464405,213,0.0,4242464403,212,48.1,4242464399,140,49.4,4242464401,141,51.5,4242464397,56,Back,4242464407,1,,,,,any4esejk79yct375aswisyqx,Choi Young-Eun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542133393,32,44,1,0,32,25yplfulilqz11lp1qbii7sf3,1,53.6,50.8,2023-05-01T06:54:28.095Z,2023-05-01T06:57:50Z,4242470469,233,34,4242470443,286,,4242470441,56,Center,,,,,,,,,,,,,,,,i60jnxmaywexvys2g0aktdcl,Lee Ki-Je,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
