id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,assist
2534322123,1,34,16,0,0,25yplfulilqz11lp1qbii7sf3,1,0,0,2023-04-16T05:57:41.164Z,2023-04-20T13:31:16Z,4194021927,194,i60jnxmaywexvys2g0aktdcl,4194021917,30,"d2umkyp9klwwekql2dx7micbt, alx06y7csoazdp3tk47kb3jl5, i60jnxmaywexvys2g0aktdcl, d2xhf1invyzqlm3wpwvrpp711, 9jp7o16vx4iaojb3i91uc8639, 4z3rcjk4s1tco4fkowyge47p, 5nhh9rvjynw8xs1sxw8p2qot0, 634xb3u0uv1nk1t7x5f9ktq09, 7rwv2m8660qffrhluftyhgno5, 5mj7o6o20uaotwt25hcs3fjrp, e9n01rtm2n7xxhso2m52y3e8l, 8ukgcvbovadaix0o0nwv1c5p1, 67va6sybfq7482lu7qbtw8fkl, au5mffchdslsu2azzw8v9891x, c75jawwqkzeeuok8x8jp590yc, cbfinej378y6fzu14gf06e4us, 6guyyg9xolz10ghf7draajqw9, az865nb20rq7o9np5ybcujpjo",4194021931,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4194021921,59,"21, 10, 23, 16, 15, 4, 32, 97, 44, 13, 17, 9, 12, 26, 29, 31, 33, 88",4194021925,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4194021923,130,2,4194021929,197,6833,4194021919,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534323143,1,34,16,0,0,92h5si20tnxjtg4hj8cs97bpw,1,0,0,2023-04-16T06:02:43.697Z,2023-04-16T06:02:43Z,4194027191,59,"1, 17, 32, 30, 16, 20, 8, 7, 9, 29, 33, 2, 10, 11, 14, 18, 19, 41",4194027195,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4194027187,30,"668f2py1qzypzm56csh8s04wl, 7ts0uh7r3qczq6qfwzjy8phhx, bwzjmefo4k42iieisyas48vdh, 7tb226aujwnbsbsrzbncnk9w4, acf6ssf3sj4z2fbt6krbbczbp, 74i6zd9vz9kcipubavbib9uc5, 68axkq2o9fe65ew80jtj0xxp1, 53q7tgwwdclmp8mqr6uhpryl1, 3r0e8d9wswt7ygyc46es0u12h, 29bsxzz5d3tzi1we2uznh6jo4, bqhazt8seel1clbtwmgacty50, b4kziyf6t4x8psrb1nvd0dl9l, 7x5i526fkxae3bqymfw06vf85, bbg7ciq51x8y5sdlrrzclqbmy, 99z4lbnvzi2e6maoa7j3yy6ay, 223ln96k7nd83gd47ao1bbf8p, ei2p6tlhj81q4nstpv4s8oq5m, 2w0xyf9cv6flsujkyh3xwo5at",4194027193,130,13,4194027201,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4194027199,197,6990,4194027189,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4194027197,194,53q7tgwwdclmp8mqr6uhpryl1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534328651,2,32,1,0,0,25yplfulilqz11lp1qbii7sf3,1,0,0,2023-04-16T06:30:50.139Z,2023-04-20T13:18:22Z,4194059135,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534328649,2,32,1,0,0,92h5si20tnxjtg4hj8cs97bpw,1,0,0,2023-04-16T06:30:50.139Z,2023-04-16T06:30:50Z,4194059131,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534328659,3,1,1,0,0,92h5si20tnxjtg4hj8cs97bpw,1,49.8,49.7,2023-04-16T06:30:50.239Z,2023-04-16T06:30:52Z,4194059179,213,3.7,4194059177,212,13.1,4194059173,140,39.0,4194059181,279,S,4194059175,141,40.1,4194059171,56,Back,,,,,,,3r0e8d9wswt7ygyc46es0u12h,Yuri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534328665,4,1,1,0,2,92h5si20tnxjtg4hj8cs97bpw,1,39.7,40.1,2023-04-16T06:30:52.360Z,2023-04-16T06:30:54Z,4194059225,213,2.0,4194059221,141,67.0,4194059217,56,Back,4194059219,140,31.6,4194059223,212,20.2,,,,,,,,,,68axkq2o9fe65ew80jtj0xxp1,Lee Chang-Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534328677,5,1,1,0,4,92h5si20tnxjtg4hj8cs97bpw,1,33.2,68.2,2023-04-16T06:30:54.456Z,2023-04-16T06:30:57Z,4194059279,141,50.9,4194059275,56,Back,4194059281,212,14.3,4194059277,140,25.4,4194059283,213,4.1,,,,,,,,,,7tb226aujwnbsbsrzbncnk9w4,Kim Bong-Su,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534328681,6,1,1,0,7,92h5si20tnxjtg4hj8cs97bpw,1,24.3,57,2023-04-16T06:30:57.528Z,2023-04-16T06:31:00Z,4194059331,56,Back,4194059335,141,76.9,4194059337,212,14.2,4194059339,213,1.3,4194059333,140,28.5,,,,,,,,,,acf6ssf3sj4z2fbt6krbbczbp,Kim Joo-Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534328695,7,1,1,0,10,92h5si20tnxjtg4hj8cs97bpw,1,29.3,59.3,2023-04-16T06:31:00.360Z,2023-04-16T06:31:04Z,4194059407,213,4.5,4194059399,56,Back,4194059401,140,23.9,4194059405,212,25.1,4194059403,141,23.3,,,,,,,,,,7tb226aujwnbsbsrzbncnk9w4,Kim Bong-Su,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534328705,8,1,1,0,13,92h5si20tnxjtg4hj8cs97bpw,1,30.6,18.8,2023-04-16T06:31:04.072Z,2023-04-20T13:24:11Z,4194059465,140,58.4,4194059467,141,1.1,4194059469,212,31.6,4194059463,56,Right,4194059473,213,5.9,,,,,,,,,,74i6zd9vz9kcipubavbib9uc5,Kim Oh-Kyu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
