id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/13/value,qualifier/15/value,assist,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/12/value
2527340591,1,34,16,0,0,dw7c1rdfrjt0ldijrpj6rzsqa,1,0,0,2023-04-02T11:07:52.763Z,2023-04-02T11:16:14Z,4156865889,30,"7wca6eqs9p0yfnopg1vuf9mg9, 2f0xad1wghxbjm4rgashsqw2d, 66yiyba5pr0e94lgjt1l3edw5, 9nd45rqvcb13poit54el416uh, bngdqkl7quj4slkpv7iv4ty7e, 5yrl9rtx98ww9b5fi60clbxsl, 8glv4do5pgyuzsq9np0ftubxl, ajg3l6aivz51lhfsc7cick3x1, 1a17k8bd71gd0ma9s82tu8lih, bnuywmddfhmgf37fm8m53e73e, 6zk7quf12qk6pvyiv68zt1kb8, dptyomb8hqciz4ae6o4735pt5, 676laaeepb82dca4z697l1ln9, ax9f6iiirrjdhdj3cue6ok73d, hn056q5dmwdhmp8vcb06hgph, acwul6zjezm8jopk2smtc1yhh, d3gfht1nvvyogqkw6pujvchyh, c3cydnnylnhjsuf1lope6g3ys",4156865891,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4156865903,197,7193,4156865905,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4156865901,194,2f0xad1wghxbjm4rgashsqw2d,4156865893,59,"21, 17, 2, 6, 14, 5, 27, 8, 16, 11, 26, 1, 3, 9, 10, 12, 20, 23",4156865897,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4156865895,130,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527341007,1,34,16,0,0,cc7oug4s891gcp1r4mh00rw7x,1,0,0,2023-04-02T11:08:15.885Z,2023-04-02T11:21:09Z,4156868299,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4156868297,30,"8mb4id7chmmjp2fc2q3dd3cdm, 4d629fx1hhv4b5u3ajgz86ay1, dcypvcl318jto0a2gab18pbyt, aqvvrwb9ka52si810lbecybx1, 37gb3dt84aa4vb77olca9vs2x, b5wk02yjsdg5u1bu6quczvrop, box34ask8r1uyj1hefhbox6cq, 8hiod211s6lxuzs0tz0mtewh5, 2t6k9fzod7v7mpbq3z9phqifp, cpp2ta11whu3qer21wlyq68yd, dbez8vagahwb60g6agdhdm1ka, 4h9sgnk9ccfzukbxauz8q4ycp, 8u7fz4ho9lsfaemd9mxjvdknp, 487v5lof1h2czoedlj0oyiind, dimndy1x0fz22a9chh4wymqne, 6fh3fcd5h6e9txpa4j1rfhck5, 1duiwq9o5e8sds5j08kgs3wt1, 655pmx3wi94ktbt6niw6110bt",4156868301,59,"1, 33, 32, 29, 3, 4, 28, 18, 19, 21, 17, 6, 9, 11, 13, 25, 27, 97",4156868311,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4156868305,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4156868309,197,3222,4156868303,130,4,4156868307,194,b5wk02yjsdg5u1bu6quczvrop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527359945,2,32,1,0,0,dw7c1rdfrjt0ldijrpj6rzsqa,1,0,0,2023-04-02T11:25:28.570Z,2023-04-02T11:25:30Z,4156969269,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527359939,2,32,1,0,0,cc7oug4s891gcp1r4mh00rw7x,1,0,0,2023-04-02T11:25:28.570Z,2023-04-02T11:25:28Z,4156969247,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527359981,3,1,1,0,0,cc7oug4s891gcp1r4mh00rw7x,1,49.8,49.9,2023-04-02T11:25:28.670Z,2023-04-02T11:25:31Z,4156969421,141,49.4,4156969427,279,S,4156969423,212,19.6,4156969425,213,3.2,4156969419,140,31.1,4156969417,56,Back,,,,,,,2t6k9fzod7v7mpbq3z9phqifp,Rafael Silva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527360015,4,1,1,0,2,cc7oug4s891gcp1r4mh00rw7x,1,32.7,46.6,2023-04-02T11:25:31.254Z,2023-04-02T11:25:34Z,4156969605,140,27.3,4156969603,56,Back,4156969609,212,24.6,4156969607,141,11.4,4156969611,213,4.5,,,,,,,,,,aqvvrwb9ka52si810lbecybx1,Ryu Jae-Moon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527360055,5,1,1,0,5,cc7oug4s891gcp1r4mh00rw7x,1,27.7,12,2023-04-02T11:25:33.942Z,2023-04-02T11:25:37Z,4156969793,1,,4156969791,213,2.3,4156969785,140,7.6,4156969789,212,32.1,4156969787,141,47.5,4156969783,56,Back,,,,,,,4d629fx1hhv4b5u3ajgz86ay1,Kim Moon-Hwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527360117,6,1,1,0,9,cc7oug4s891gcp1r4mh00rw7x,0,9.8,47,2023-04-02T11:25:37.718Z,2023-04-02T11:25:42Z,4156970115,212,70.2,4156970117,213,0.2,4156970119,1,,4156970113,141,69.9,4156970107,157,,4156970109,56,Center,4156970111,140,75.0,,,,8mb4id7chmmjp2fc2q3dd3cdm,Kim Jeong-Hoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527360159,3,1,1,0,14,dw7c1rdfrjt0ldijrpj6rzsqa,1,27.5,25.8,2023-04-02T11:25:42.940Z,2023-04-02T11:25:45Z,4156970287,3,,4156970289,56,Back,4156970295,212,18.1,4156970297,213,2.8,4156970293,141,33.7,4156970291,140,11.0,,,,,,,2f0xad1wghxbjm4rgashsqw2d,Shin Kwang-Hoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527360163,4,52,1,0,16,dw7c1rdfrjt0ldijrpj6rzsqa,1,11,33.7,2023-04-02T11:25:45.339Z,2023-04-02T11:25:45Z,,,,,,,,,,,,,,,,,,,,,,,,,7wca6eqs9p0yfnopg1vuf9mg9,Hwang In-Jae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
