id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,assist,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/12/value,keyPass,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/16/value
2546882265,1,34,16,0,0,cc7oug4s891gcp1r4mh00rw7x,1,0,0,2023-05-11T06:52:21.099Z,2023-05-11T06:52:21Z,4267803565,130,7,4267803559,30,"8mb4id7chmmjp2fc2q3dd3cdm, 7ew2lr04wzx4872xhvq7tjdn9, box34ask8r1uyj1hefhbox6cq, b5wk02yjsdg5u1bu6quczvrop, 37gb3dt84aa4vb77olca9vs2x, 4h9sgnk9ccfzukbxauz8q4ycp, 655pmx3wi94ktbt6niw6110bt, cc5c5mmpywxpgrb33oztcdgid, 2t6k9fzod7v7mpbq3z9phqifp, 4nw02ifkjx1zg3bzz1bsno7e2, 1duiwq9o5e8sds5j08kgs3wt1, 20sp6xexhks16k9fd2xjf6mz9, 6hfw11blpd6hhd06sfoogzemt, 487v5lof1h2czoedlj0oyiind, 6fh3fcd5h6e9txpa4j1rfhck5, aqvvrwb9ka52si810lbecybx1, dl35z561folv2vjjmohq1tt9m, b9p0u6q6e0tsc9gzimt6dybys",4267803571,194,b5wk02yjsdg5u1bu6quczvrop,4267803577,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4267803563,59,"1, 15, 28, 4, 3, 6, 97, 8, 19, 16, 27, 5, 7, 11, 25, 29, 30, 71",4267803561,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4267803569,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4267803575,197,3226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546882297,1,34,16,0,0,25yplfulilqz11lp1qbii7sf3,1,0,0,2023-05-11T06:52:30.303Z,2023-05-11T06:56:15Z,4267803697,30,"d2umkyp9klwwekql2dx7micbt, amk38ynyldb8oqjvf7gqt02cp, i60jnxmaywexvys2g0aktdcl, d2xhf1invyzqlm3wpwvrpp711, 6guyyg9xolz10ghf7draajqw9, 4z3rcjk4s1tco4fkowyge47p, az865nb20rq7o9np5ybcujpjo, 5mj7o6o20uaotwt25hcs3fjrp, 7rwv2m8660qffrhluftyhgno5, a265eqmvpp3usopchr3mkp8bu, c75jawwqkzeeuok8x8jp590yc, 7rzhjcnumhcumeiki6vzidn85, 8ukgcvbovadaix0o0nwv1c5p1, 67va6sybfq7482lu7qbtw8fkl, 9jp7o16vx4iaojb3i91uc8639, cbfinej378y6fzu14gf06e4us, 1wy58l9secuomi321boyntlre, 634xb3u0uv1nk1t7x5f9ktq09",4267803705,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4267803707,194,i60jnxmaywexvys2g0aktdcl,4267803711,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4267803699,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4267803701,59,"21, 3, 23, 16, 33, 4, 88, 13, 44, 11, 29, 6, 9, 12, 15, 31, 77, 97",4267803703,130,4,4267803709,197,6833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546884629,2,32,1,0,0,25yplfulilqz11lp1qbii7sf3,1,0,0,2023-05-11T07:07:00.340Z,2023-05-11T07:07:02Z,4267813665,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546884625,2,32,1,0,0,cc7oug4s891gcp1r4mh00rw7x,1,0,0,2023-05-11T07:07:00.340Z,2023-05-11T07:07:03Z,4267813651,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546884637,3,1,1,0,1,cc7oug4s891gcp1r4mh00rw7x,1,50,50,2023-05-11T07:07:01.699Z,2023-05-11T07:08:50Z,4267813695,141,53.1,4267813697,212,10.9,4267813693,140,39.8,4267813691,56,Back,4267813701,279,S,4267813699,213,2.9,,,,,,,2t6k9fzod7v7mpbq3z9phqifp,Rafael Silva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546884653,4,1,1,0,3,cc7oug4s891gcp1r4mh00rw7x,1,40.4,54.5,2023-05-11T07:07:04.219Z,2023-05-11T07:07:17Z,4267813757,212,14.7,4267813759,213,6.0,4267813755,141,49.1,4267813753,140,54.0,4267813751,56,Center,,,,,,,,,,b5wk02yjsdg5u1bu6quczvrop,Park Jin-Seop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546884663,5,1,1,0,5,cc7oug4s891gcp1r4mh00rw7x,1,53.1,49.4,2023-05-11T07:07:05.491Z,2023-05-11T07:07:19Z,4267813793,56,Center,4267813799,212,3.5,4267813795,140,50.9,4267813801,213,2.3,4267813797,141,53.3,,,,,,,,,,2t6k9fzod7v7mpbq3z9phqifp,Rafael Silva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546884675,6,1,1,0,5,cc7oug4s891gcp1r4mh00rw7x,0,51,53.4,2023-05-11T07:07:06.218Z,2023-05-11T07:11:46Z,4267813845,157,,4267813857,1,,4267813853,212,4.1,4267813851,141,49.0,4267813855,213,5.5,4267813849,140,53.6,4267813847,56,Center,,,,cc5c5mmpywxpgrb33oztcdgid,Paik Seung-Ho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546884677,3,61,1,0,6,25yplfulilqz11lp1qbii7sf3,0,50.3,54.6,2023-05-11T07:07:07.153Z,2023-05-11T07:08:05Z,4267813859,56,Center,,,,,,,,,,,,,,,,,,,,,,7rwv2m8660qffrhluftyhgno5,F. Mulić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546884695,7,1,1,0,10,cc7oug4s891gcp1r4mh00rw7x,1,54.2,52.1,2023-05-11T07:07:11.082Z,2023-05-11T07:07:13Z,4267813949,140,36.0,4267813947,56,Back,4267813955,213,3.7,4267813953,212,22.1,4267813951,141,35.8,,,,,,,,,,4nw02ifkjx1zg3bzz1bsno7e2,Lee Soo-Bin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546884709,8,1,1,0,13,cc7oug4s891gcp1r4mh00rw7x,1,34.2,34.9,2023-05-11T07:07:13.626Z,2023-05-11T07:07:15Z,4267813993,213,1.8,4267813987,140,29.9,4267813991,212,18.4,4267813989,141,61.1,4267813985,56,Back,,,,,,,,,,7ew2lr04wzx4872xhvq7tjdn9,Ku Ja-Ryong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
