id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/9/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/10/value,keyPass,qualifier/12/value,qualifier/14/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist
2548553597,1,34,16,0,0,dxrq5ce9fljcf0vrbrz89rp0k,1,0,0,2023-05-14T09:43:43.457Z,2023-05-14T11:08:40Z,4276740761,130,13,4276740755,30,"mz5s4zs3lw1sg7vv68f49iad, i257idor9l103iarq57i4bft, 21tuis2g923xw10ga0po2vlk9, 7uykeqo2uz07vju7flufnss89, agy03jhjlcs2x09k316qvfm51, 5pafczrcdtbxy8rrgxb277emt, ebsjcibmg7i93yxf4bhmac5w, bplgavkxvjdsqd8j812pgwh2i, 7v3gbz56454fadpqntuay5l91, 1grsruf1j0h1cbgnz82fwc8kq, 20ravs7guc7xweayjndidbnu2, 8hrpj0ialzd2mqug3bxpgnvth, 15ato5bntfatzlnc2pdu1yn3e, cn2i9dyn71c4atdtk98umnzd, bfb2cvnizvh884eh2i2grqqqd, e9a5dm1gjizkuot7nnen5cwkp, 6mvgvuh0cz5z71uqb23l3q1re, apy7g10omrmrjeyybf5v6jxzp",4276740757,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4276740767,197,4567,4276740759,59,"1, 13, 3, 44, 5, 28, 14, 16, 91, 18, 7, 6, 9, 10, 11, 21, 24, 30",4276740763,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4276740765,194,7uykeqo2uz07vju7flufnss89,4276740771,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548554243,1,34,16,0,0,19auwjswq9camwpb4u14a6tp5,1,0,0,2023-05-14T09:46:13.686Z,2023-05-14T09:46:13Z,4276744195,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4276744193,197,7783,4276744189,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4276744181,30,"any4esejk79yct375aswisyqx, 6lfh7umo99gfk2f23jbg6k3ro, 22a2q71mkijfu6koscvcmybit, 524eip47zifw3ed8h7ojnugkq, 2urtsl9xa0plg4w80nr8z9tuy, apa928m4vsbgdb20pvxjwdgix, d585rl5n1lyby0pzclz7ywokq, 62cm6wselsnn3az1utbmdual0, 2g53akyz7il91gywan5ebunmc, 2zgac47mjf4fife5es00y4h9m, au0u20e5h1p6yn4gsgcimjcnp, 6k2wxx0v0e60g1gtrio4xekmh, bw0h202lprp7jzdtp6hv78ixh, c9eu4wnftgpmoo64onib4aaz8, 812p4cjsthngn5glo3d7yzro5, 2r0aixema38nvww8r384fbz84, deo8agvy9lyt8xppcisqepxx, 8ig76mb9fsq6r456o42fnactm",4276744185,59,"1, 2, 33, 20, 66, 7, 26, 14, 19, 17, 22, 5, 8, 15, 21, 25, 74, 99",4276744183,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4276744191,194,au0u20e5h1p6yn4gsgcimjcnp,4276744187,130,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548586197,2,32,1,0,0,dxrq5ce9fljcf0vrbrz89rp0k,1,0,0,2023-05-14T11:04:02.265Z,2023-05-17T11:50:04Z,4276905871,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548586189,2,32,1,0,0,19auwjswq9camwpb4u14a6tp5,1,0,0,2023-05-14T11:04:02.265Z,2023-05-14T11:04:02Z,4276905839,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548586299,3,1,1,0,0,19auwjswq9camwpb4u14a6tp5,1,50.1,50.3,2023-05-14T11:04:02.365Z,2023-05-14T11:04:15Z,4276906441,56,Back,4276906451,1,,4276906449,213,3.2,4276906447,212,39.1,4276906453,279,S,4276906443,140,13.0,4276906445,141,45.5,,,,2zgac47mjf4fife5es00y4h9m,Go Jae-Hyeon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548586341,4,1,1,0,12,19auwjswq9camwpb4u14a6tp5,1,32.4,42.1,2023-05-14T11:04:14.925Z,2023-05-17T11:55:07Z,4276906649,141,83.5,4276906651,212,51.6,4276906655,1,,4276906653,213,0.6,4276906647,140,73.6,4276906643,155,,4276906645,56,Left,,,,any4esejk79yct375aswisyqx,Choi Young-Eun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548586345,5,44,1,0,14,19auwjswq9camwpb4u14a6tp5,1,73.6,85,2023-05-14T11:04:16.716Z,2023-05-17T14:32:04Z,4276906659,56,Left,4276906661,286,,4276906739,233,3,,,,,,,,,,,,,,,,2g53akyz7il91gywan5ebunmc,Kim Young-Jun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548586339,3,44,1,0,14,dxrq5ce9fljcf0vrbrz89rp0k,0,26.4,15,2023-05-14T11:04:16.717Z,2023-05-17T11:55:14Z,4276906637,56,Back,4276906725,233,5,4276906639,285,,,,,,,,,,,,,,,,,i257idor9l103iarq57i4bft,Doo Hyeon-Seok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2550165731,689,1,1,0,15,19auwjswq9camwpb4u14a6tp5,1,75.7,89.9,2023-05-14T11:04:18.226Z,2023-05-17T11:55:37Z,4285246351,212,21.9,4285246341,3,,4285246345,140,78.1,4285246343,56,Center,4285246355,213,4.8,4285246347,141,57.9,,,,,,,2g53akyz7il91gywan5ebunmc,Kim Young-Jun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548586355,4,43,1,0,17,dxrq5ce9fljcf0vrbrz89rp0k,1,0,0,2023-05-14T11:04:19.277Z,2023-05-17T11:55:12Z,4276906719,141,44.9,4276906711,3,0,4276906721,212,21.5,4285245393,144,1,4276906715,56,Back,4276906723,213,1.5,4276906717,140,27.5,,,,i257idor9l103iarq57i4bft,Doo Hyeon-Seok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
