id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/8/value,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/12/value,qualifier/14/value,assist,qualifier/16/id,qualifier/16/qualifierId
2528070341,1,34,16,0,0,98uh21utg52famg6x9k7t3s20,1,0,0,2023-04-03T10:31:12.588Z,2023-04-03T10:55:59Z,4160698495,30,"6h3wqtfn2mmenany8bwqeges5, arjghrkpdudekgjn9ygz1qvvt, 39if24afmrxwterxd4uv665sl, e1dd7mmkckdxq9zv1zlp18out, 54wwllrm62wwim96tte369xp1, 8mzlaxcpow2u6eoi19slmzoix, 2a304ugyodhumio0ytku7hhm2, bf02taewqoelgq18ul1nlkkb9, lfe406p9mh0c4z6sbehkq4fd, 1446yq80h9yahbdxxmkje7384, epwuhrr3ub0acxh16j6m0ynrp, mvn1u3p4yeecbjobvsuontp0, ec0e15kwv2vre5gnldajcwq8l, 1ljv0c7ibkdetodpptwowgru1, efi5ryymu8cvxdp3rnrk0gct1, 9gazebtfildz2l6z7vwwabg89, byv2xgoetylx6ow3yrshm4q2, 8sobgcp6sk25isz412rykigo9",4160698505,194,2a304ugyodhumio0ytku7hhm2,4160698499,59,"1, 17, 22, 20, 2, 21, 4, 8, 11, 35, 6, 7, 9, 10, 23, 24, 31, 88",4160698501,130,12,4160698497,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4160698509,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4160698507,197,6944,4160698503,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2528072883,1,34,16,0,0,25yplfulilqz11lp1qbii7sf3,1,0,0,2023-04-03T10:36:27.263Z,2023-04-03T10:36:27Z,4160711805,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4160711803,197,6833,4160711801,194,da3lfnoyueymccynz7c9rn3l5,4160711795,59,"21, 3, 33, 97, 15, 4, 8, 7, 9, 37, 17, 5, 13, 16, 23, 29, 34, 44",4160711797,130,4,4160711793,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4160711799,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4160711791,30,"d2umkyp9klwwekql2dx7micbt, amk38ynyldb8oqjvf7gqt02cp, 6guyyg9xolz10ghf7draajqw9, 634xb3u0uv1nk1t7x5f9ktq09, 9jp7o16vx4iaojb3i91uc8639, 4z3rcjk4s1tco4fkowyge47p, 548fr10d72avlevoux470fbo5, da3lfnoyueymccynz7c9rn3l5, 8ukgcvbovadaix0o0nwv1c5p1, 8iu9qm62stsr58k53qm7poums, e9n01rtm2n7xxhso2m52y3e8l, dvcjosm7a58m077753naw9skp, 5mj7o6o20uaotwt25hcs3fjrp, d2xhf1invyzqlm3wpwvrpp711, i60jnxmaywexvys2g0aktdcl, c75jawwqkzeeuok8x8jp590yc, 84tjz2hwcfkxefw7u49n1q6wa, 7rwv2m8660qffrhluftyhgno5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2528078855,2,32,1,0,0,25yplfulilqz11lp1qbii7sf3,1,0,0,2023-04-03T10:51:40.725Z,2023-04-03T10:51:42Z,4160744737,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2528078851,2,32,1,0,0,98uh21utg52famg6x9k7t3s20,1,0,0,2023-04-03T10:51:40.725Z,2023-04-03T10:51:40Z,4160744723,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2528078883,3,1,1,0,0,98uh21utg52famg6x9k7t3s20,1,50,50,2023-04-03T10:51:40.825Z,2023-04-03T10:51:46Z,4160744871,56,Back,4160744879,213,3.9,4160744877,212,28.2,4160744873,140,31.3,4160744881,279,S,4160744875,141,20.3,,,,,,,lfe406p9mh0c4z6sbehkq4fd,Jefferson Galego,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2528078909,4,1,1,0,5,98uh21utg52famg6x9k7t3s20,1,37.1,19.7,2023-04-03T10:51:46.065Z,2023-04-03T10:51:52Z,4160745037,213,1.8,4160745033,141,42.1,4160745031,140,33.7,4160745029,56,Back,4160745035,212,15.6,,,,,,,,,,8mzlaxcpow2u6eoi19slmzoix,Kim Woo-Seok,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2528078929,5,1,1,0,11,98uh21utg52famg6x9k7t3s20,1,36.2,33.9,2023-04-03T10:51:51.969Z,2023-04-03T10:51:54Z,4160745161,213,4.8,4160745155,212,18.1,4160745149,56,Back,4160745151,140,37.6,4160745153,141,7.4,,,,,,,,,,54wwllrm62wwim96tte369xp1,Kim Young-Bin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2528078957,6,1,1,0,13,98uh21utg52famg6x9k7t3s20,1,37.7,5.9,2023-04-03T10:51:54.657Z,2023-04-03T10:51:58Z,4160745299,155,,4160745305,141,14.1,4160745311,1,,4160745307,212,33.0,4160745303,140,68.7,4160745309,213,0.2,4160745301,56,Right,,,,8mzlaxcpow2u6eoi19slmzoix,Kim Woo-Seok,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2528078961,7,50,1,0,17,98uh21utg52famg6x9k7t3s20,1,68.1,17.8,2023-04-03T10:51:58.401Z,2023-04-03T10:52:02Z,4160745343,56,Right,4160745345,286,,4160745473,233,3,,,,,,,,,,,,,,,,lfe406p9mh0c4z6sbehkq4fd,Jefferson Galego,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2528078979,3,7,1,0,17,25yplfulilqz11lp1qbii7sf3,1,31.9,82.2,2023-04-03T10:51:58.402Z,2023-04-03T10:52:01Z,4160745427,285,,4160745425,56,Back,4160745463,233,7,,,,,,,,,,,,,,,,548fr10d72avlevoux470fbo5,Choi Sung-Geun,,,,,,,,,,,,,,,,,,,,,,,,,,,,
