id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/9/value,qualifier/12/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/13/value,assist,qualifier/18/value
2516353139,1,34,16,0,0,98uh21utg52famg6x9k7t3s20,1,0,0,2023-03-06T06:46:16.148Z,2023-03-06T06:53:19Z,4077822159,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4077822171,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4077822157,30,"6h3wqtfn2mmenany8bwqeges5, arjghrkpdudekgjn9ygz1qvvt, 39if24afmrxwterxd4uv665sl, e1dd7mmkckdxq9zv1zlp18out, 54wwllrm62wwim96tte369xp1, efi5ryymu8cvxdp3rnrk0gct1, 2a304ugyodhumio0ytku7hhm2, bf02taewqoelgq18ul1nlkkb9, ec0e15kwv2vre5gnldajcwq8l, mvn1u3p4yeecbjobvsuontp0, 1ljv0c7ibkdetodpptwowgru1, 34e59kt77fthmmbc8sp9mya96, epwuhrr3ub0acxh16j6m0ynrp, lfe406p9mh0c4z6sbehkq4fd, 8mzlaxcpow2u6eoi19slmzoix, 9gazebtfildz2l6z7vwwabg89, byv2xgoetylx6ow3yrshm4q2, 8sobgcp6sk25isz412rykigo9",4077822163,130,13,4077822161,59,"1, 17, 22, 20, 2, 23, 4, 8, 9, 7, 10, 3, 6, 11, 21, 24, 31, 88",4077822165,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4077822167,194,efi5ryymu8cvxdp3rnrk0gct1,4077822169,197,6944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516353819,1,34,16,0,0,86pmsqvfhj3t45uo4osr9hks9,1,0,0,2023-03-06T06:51:19.900Z,2023-03-06T06:51:20Z,4077826683,197,16779,4077826681,194,e3n0w0p4dvfax1b6bfk2qlex,4077826685,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4077826675,59,"21, 23, 66, 6, 15, 19, 3, 24, 9, 31, 10, 1, 11, 17, 18, 22, 26, 44",4077826671,30,"4cih000f65u36i7fm1sn0fob9, 2t5jagwu3ghwwkz2r63tkfis5, eifui3hrv21plt57hxo8dhl62, 5osl9hgarpoek3ici17bq3nqh, e3n0w0p4dvfax1b6bfk2qlex, 53ii8a2tn0kbcxyp0hfqhu02d, dvhbezlruic9kvdr40wgzst90, 8683grc2e0vttdmqococp9iw9, 3nicdpsg0eal2r2f4m3oyycb9, e0bvhpq8csn9eeh5r1ka59bs9, 5wa2awnwsayrocgxs9d00p1p1, dfgaeb2ty9rt168zsbru4t3v9, 9fg0am5mvsr9u9wu2m4nf9ii1, f476eflmv1tojfcufu59inf56, 8sc2xigysl1ueogyivxyj0hqt, biv5sbz8pcwic5vb8k0zc3tnt, 16ibszyes8xs923koupcul08a, 7g27aztcta6kcxevz44b8lv4l",4077826673,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4077826679,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4077826677,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516354451,2,32,1,0,0,86pmsqvfhj3t45uo4osr9hks9,1,0,0,2023-03-06T06:55:44.460Z,2023-03-06T06:55:46Z,4077830421,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516354449,2,32,1,0,0,98uh21utg52famg6x9k7t3s20,1,0,0,2023-03-06T06:55:44.460Z,2023-03-10T09:34:20Z,4077830419,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516354453,3,1,1,0,0,98uh21utg52famg6x9k7t3s20,1,50,50,2023-03-06T06:55:44.560Z,2023-03-06T06:55:47Z,4077830449,279,S,4077830439,56,Back,4077830447,213,2.8,4077830445,212,13.6,4077830443,141,56.0,4077830441,140,37.6,,,,,,,ec0e15kwv2vre5gnldajcwq8l,D. Islamović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516354461,4,1,1,0,2,98uh21utg52famg6x9k7t3s20,1,37.6,56,2023-03-06T06:55:46.807Z,2023-03-06T06:55:48Z,4077830491,141,55.8,4077830493,212,14.0,4077830495,213,3.2,4077830487,56,Back,4077830489,140,24.3,,,,,,,,,,2a304ugyodhumio0ytku7hhm2,Seo Min-Woo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516354477,5,1,1,0,3,98uh21utg52famg6x9k7t3s20,1,24.7,55.8,2023-03-06T06:55:47.901Z,2023-03-06T06:55:50Z,4077830569,56,Back,4077830577,213,1.4,4077830571,140,26.7,4077830573,141,76.6,4077830575,212,14.3,,,,,,,,,,54wwllrm62wwim96tte369xp1,Kim Young-Bin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516354483,6,1,1,0,6,98uh21utg52famg6x9k7t3s20,1,26.5,76.7,2023-03-06T06:55:50.767Z,2023-03-06T06:55:53Z,4077830599,141,61.7,4077830597,140,23.7,4077830603,213,4.4,4077830601,212,10.6,4077830595,56,Back,,,,,,,,,,e1dd7mmkckdxq9zv1zlp18out,Yun Suk-Young,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516354495,7,1,1,0,8,98uh21utg52famg6x9k7t3s20,1,23.9,59.3,2023-03-06T06:55:53.061Z,2023-03-06T06:55:56Z,4077830675,213,4.6,4077830673,212,22.9,4077830671,141,25.8,4077830667,56,Back,4077830669,140,21.9,,,,,,,,,,2a304ugyodhumio0ytku7hhm2,Seo Min-Woo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516354509,8,1,1,0,11,98uh21utg52famg6x9k7t3s20,1,21.9,24.3,2023-03-06T06:55:56.216Z,2023-03-06T06:56:00Z,4077830771,213,1.6,4077830759,56,Back,4077830761,140,22.2,4077830763,141,56.6,4077830767,212,22.0,,,,,,,,,,efi5ryymu8cvxdp3rnrk0gct1,Rim Chang-Woo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
