id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/8/value,keyPass,qualifier/13/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2537785803,1,34,16,0,0,19auwjswq9camwpb4u14a6tp5,1,0,0,2023-04-23T07:42:59.574Z,2023-04-23T07:46:32Z,4212391763,197,7783,4212391753,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4212391755,59,"1, 2, 18, 66, 6, 7, 26, 74, 11, 17, 9, 8, 14, 20, 22, 31, 33, 99",4212391759,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4212391757,130,13,4212391765,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4212391761,194,74vr5grc65e8ogu008l764o2d,4212391751,30,"any4esejk79yct375aswisyqx, 6lfh7umo99gfk2f23jbg6k3ro, k5yu3cqzlq5jybo9eozy89nt, 2urtsl9xa0plg4w80nr8z9tuy, 50pxsuw6rozz51fqz6phq4r8p, apa928m4vsbgdb20pvxjwdgix, d585rl5n1lyby0pzclz7ywokq, deo8agvy9lyt8xppcisqepxx, 74vr5grc65e8ogu008l764o2d, 2zgac47mjf4fife5es00y4h9m, 5blgib9feku7hwyfe4qyla85x, bw0h202lprp7jzdtp6hv78ixh, 62cm6wselsnn3az1utbmdual0, 524eip47zifw3ed8h7ojnugkq, au0u20e5h1p6yn4gsgcimjcnp, 8hyszjf0ml8xdawytffmdjeok, 22a2q71mkijfu6koscvcmybit, 8ig76mb9fsq6r456o42fnactm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537786751,1,34,16,0,0,4oixf5ykhg01zfxpt7gbpn3dq,1,0,0,2023-04-23T07:45:15.007Z,2023-04-23T08:13:02Z,4212396141,194,4ewc486q7lv7jho1t7qviprdh,4212396133,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4212396145,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4212396131,30,"4d3es8ekeal960uto4qtswf6d, 9u3l89365yah3jn79pix0s67e, 4pwrho63fnlcee1xvh5myrw0l, bcdm1l4nif0y2p25kxhyehyw9, 9mehciic0e1w99g55xavfg0oa, ax33xg27souv2j23fy3gks67e, 4ewc486q7lv7jho1t7qviprdh, un6pufmg35lihl29pqplevop, cyt00eh5qk5dkzfshamy992j8, bkkp2lwwkw18o6y333dx2ut3p, 6i3hjmgdhx9jv5tsk0ugc0b85, a51uwp4qcrr4rodslzst4iok5, 9tiu7146tyw2qyckn8rsgxjsa, exzcpmt24cwhugpj3b1oi5pii, xxtw55nr7l92n8dpl6xcnahh, 8hqc7b9bv1u8j6jozhxyokno5, cdrs0tqwywl6soqu6p8qhkm50, 2xf5af3fbjhe7g2cyq48ezf11",4212396143,197,18491,4212396137,130,18,4212396139,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4212396135,59,"1, 17, 22, 3, 20, 15, 8, 97, 33, 70, 28, 2, 4, 5, 7, 9, 13, 23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537796959,2,32,1,0,0,4oixf5ykhg01zfxpt7gbpn3dq,1,0,0,2023-04-23T08:13:54.734Z,2023-04-23T08:13:54Z,4212443075,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537796963,2,32,1,0,0,19auwjswq9camwpb4u14a6tp5,1,0,0,2023-04-23T08:13:54.734Z,2023-04-28T13:03:38Z,4212443089,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537796977,3,1,1,0,0,4oixf5ykhg01zfxpt7gbpn3dq,1,49.8,50,2023-04-23T08:13:54.834Z,2023-04-23T08:13:57Z,4212443157,212,18.3,4212443159,213,2.9,4212443155,141,55.4,4212443153,140,32.7,4212443161,279,S,4212443151,56,Back,,,,,,,6i3hjmgdhx9jv5tsk0ugc0b85,Tiago Orobó,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537796987,4,1,1,0,2,4oixf5ykhg01zfxpt7gbpn3dq,1,32.4,52.2,2023-04-23T08:13:57.105Z,2023-04-23T08:13:59Z,4212443203,56,Back,4212443211,212,10.1,4212443205,140,37.8,4212443207,141,64.5,4212443215,213,1.0,,,,,,,,,,4ewc486q7lv7jho1t7qviprdh,Ju Se-Jong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537797009,5,1,1,0,4,4oixf5ykhg01zfxpt7gbpn3dq,1,38.6,63.9,2023-04-23T08:13:59.185Z,2023-04-23T08:14:02Z,4212443303,212,6.1,4212443299,140,33.0,4212443297,56,Back,4212443305,213,3.4,4212443301,141,61.5,,,,,,,,,,un6pufmg35lihl29pqplevop,Lee Jin-Hyun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537797029,6,1,1,0,7,4oixf5ykhg01zfxpt7gbpn3dq,1,37.3,66.6,2023-04-23T08:14:02.289Z,2023-04-23T08:14:05Z,4212443405,140,30.4,4212443409,212,14.9,4212443407,141,47.5,4212443411,213,4.2,4212443403,56,Back,,,,,,,,,,4ewc486q7lv7jho1t7qviprdh,Ju Se-Jong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537797045,7,1,1,0,10,4oixf5ykhg01zfxpt7gbpn3dq,1,32,41.3,2023-04-23T08:14:05.297Z,2023-04-23T08:14:08Z,4212443489,56,Back,4212443491,140,44.5,4212443493,141,49.1,4212443497,213,0.4,4212443495,212,14.2,,,,,,,,,,9mehciic0e1w99g55xavfg0oa,Cho Yu-Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537797051,8,1,1,0,13,4oixf5ykhg01zfxpt7gbpn3dq,1,43.8,48.5,2023-04-23T08:14:08.641Z,2023-04-23T08:14:09Z,4212443533,56,Back,4212443541,213,3.7,4212443535,140,31.8,4212443537,141,36.1,4212443539,212,15.2,,,,,,,,,,un6pufmg35lihl29pqplevop,Lee Jin-Hyun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
