id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/9/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist
2522239633,1,34,16,0,0,4dhojk80ifrs6ax05725bala2,1,0,0,2023-03-19T09:23:36.493Z,2023-03-19T09:28:03Z,4109023593,30,"lfar3t1safoyi3yfz5yph149, 9gmsma17q21lca5ogboz6a6eh, av2iblvadx7u9cj27qgbm09ka, dn6crxzg2siahc43nrb8de9jp, 8ivl7nyl0sp6j834os6ybnmj9, 15lc9nb9h2r2e9qvh4es27q7e, 7djxob0tt6bmyi7hlvc7r81k9, bb0zj4rt5l4vjtdzghhj3n7it, 44zj38pfx1daxdibpl0cpttqt, 5wnt4q34ojngvtxturq18rvmd, e6jkkb7xnu0u2m1e7gbfsmggl, a1tqnoo75nm3u94wfjiphnv56, 71cb0lxow2w6zx4uf91y8kgkp, 116zxf1768eml7icqsiapke8k, cbm1zbcl89cfw2q10kg467cru, 6xxhpvf1ac36ox0k06flx9wbt, dj7t9bww1po1nfnro4788qtpl, cspyqj6qtdeymxcnw70b40j55",4109023599,130,2,4109023605,197,7794,4109023601,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4109023603,194,44zj38pfx1daxdibpl0cpttqt,4109023597,59,"21, 17, 88, 26, 5, 30, 7, 6, 90, 16, 14, 1, 2, 9, 22, 25, 50, 96",4109023609,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4109023595,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522241113,1,34,16,0,0,92h5si20tnxjtg4hj8cs97bpw,1,0,0,2023-03-19T09:27:52.857Z,2023-03-19T09:27:53Z,4109031267,30,"668f2py1qzypzm56csh8s04wl, 7ts0uh7r3qczq6qfwzjy8phhx, bwzjmefo4k42iieisyas48vdh, 99yrscdrulo9rty85p06mclat, acf6ssf3sj4z2fbt6krbbczbp, 74i6zd9vz9kcipubavbib9uc5, 7tb226aujwnbsbsrzbncnk9w4, 53q7tgwwdclmp8mqr6uhpryl1, 7x5i526fkxae3bqymfw06vf85, 29bsxzz5d3tzi1we2uznh6jo4, bqhazt8seel1clbtwmgacty50, b4kziyf6t4x8psrb1nvd0dl9l, 69kkav5u6owt1boe58a2ma1n9, 3r0e8d9wswt7ygyc46es0u12h, bbg7ciq51x8y5sdlrrzclqbmy, 99z4lbnvzi2e6maoa7j3yy6ay, ei2p6tlhj81q4nstpv4s8oq5m, 2w0xyf9cv6flsujkyh3xwo5at",4109031279,197,7736,4109031271,59,"1, 17, 32, 13, 16, 20, 30, 7, 10, 29, 33, 2, 4, 9, 11, 14, 19, 41",4109031273,130,13,4109031269,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4109031275,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4109031277,194,7ts0uh7r3qczq6qfwzjy8phhx,4109031281,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522250651,2,32,1,0,0,4dhojk80ifrs6ax05725bala2,1,0,0,2023-03-19T09:58:56.635Z,2023-03-19T09:58:56Z,4109081339,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522250655,2,32,1,0,0,92h5si20tnxjtg4hj8cs97bpw,1,0,0,2023-03-19T09:58:56.635Z,2023-03-19T09:58:58Z,4109081349,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522250675,3,1,1,0,0,92h5si20tnxjtg4hj8cs97bpw,1,50,50.1,2023-03-19T09:58:56.735Z,2023-03-19T09:59:48Z,4109081435,141,42.9,4109081437,212,11.9,4109081441,213,3.6,4109081443,279,S,4109081433,140,39.7,4109081431,56,Back,,,,,,,7x5i526fkxae3bqymfw06vf85,Reis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522250689,4,1,1,0,2,92h5si20tnxjtg4hj8cs97bpw,1,39.3,35.4,2023-03-19T09:58:59.042Z,2023-03-19T10:00:02Z,4109081513,212,11.4,4109081517,213,4.5,4109081505,56,Back,4109081509,141,19.2,4109081507,140,36.5,,,,,,,,,,7tb226aujwnbsbsrzbncnk9w4,Kim Bong-Su,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522250713,5,1,1,0,3,92h5si20tnxjtg4hj8cs97bpw,1,35,19.8,2023-03-19T09:59:00.146Z,2023-03-19T10:00:04Z,4109081633,213,2.5,4109081631,212,15.9,4109081629,141,33.1,4109081625,56,Back,4109081627,140,22.6,,,,,,,,,,7ts0uh7r3qczq6qfwzjy8phhx,Ahn Hyun-Beom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522250721,6,1,1,0,7,92h5si20tnxjtg4hj8cs97bpw,0,21.9,27.7,2023-03-19T09:59:03.713Z,2023-03-19T10:00:49Z,4109081703,213,6.0,4109081701,212,51.9,4109081693,155,,4109081695,56,Right,4109081697,140,69.1,4109081699,141,5.2,4109081705,1,,,,,74i6zd9vz9kcipubavbib9uc5,Kim Oh-Kyu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522250747,3,1,1,0,11,4dhojk80ifrs6ax05725bala2,0,24.8,93.6,2023-03-19T09:59:08.279Z,2023-03-19T10:01:20Z,4109081783,213,3.3,4109081781,212,5.2,4109081777,140,19.9,4109081775,56,Back,4109085295,1,,4109085293,157,,4109081779,141,92.3,,,,av2iblvadx7u9cj27qgbm09ka,Lee Tae-Seok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522251921,37,61,1,0,12,92h5si20tnxjtg4hj8cs97bpw,0,76.9,9.1,2023-03-19T09:59:08.666Z,2023-03-19T10:02:31Z,4109087729,56,Right,,,,,,,,,,,,,,,,,,,,,,29bsxzz5d3tzi1we2uznh6jo4,Kim Dae-Hwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
