id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/9/value,qualifier/13/value,assist,qualifier/11/value,qualifier/16/value
2539384719,1,34,16,0,0,86pmsqvfhj3t45uo4osr9hks9,1,0,0,2023-04-26T10:36:43.058Z,2023-04-26T11:28:09Z,4220914001,194,68ipkee8liqja0vaxm5hp3gt1,4220914005,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4220913991,30,"4cih000f65u36i7fm1sn0fob9, eifui3hrv21plt57hxo8dhl62, 68ipkee8liqja0vaxm5hp3gt1, 8683grc2e0vttdmqococp9iw9, 7g27aztcta6kcxevz44b8lv4l, 53ii8a2tn0kbcxyp0hfqhu02d, 4cn12y72opvi21fz6fmd5sc9g, 7vr4sgrcs701tllzqir9ubc9h, 3nicdpsg0eal2r2f4m3oyycb9, e0bvhpq8csn9eeh5r1ka59bs9, 5wa2awnwsayrocgxs9d00p1p1, dfgaeb2ty9rt168zsbru4t3v9, 5osl9hgarpoek3ici17bq3nqh, 9fg0am5mvsr9u9wu2m4nf9ii1, 8sc2xigysl1ueogyivxyj0hqt, biv5sbz8pcwic5vb8k0zc3tnt, 16ibszyes8xs923koupcul08a, df7n0r366r77ujzxdedwcomol",4220913999,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4220913995,59,"21, 66, 13, 24, 44, 19, 30, 8, 9, 31, 10, 1, 6, 11, 18, 22, 26, 27",4220913993,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4220914003,197,18529,4220913997,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539390287,1,34,16,0,0,4dkougngrd8mpvfb1cr9mdb1p,1,0,0,2023-04-26T10:52:12.059Z,2023-04-26T10:52:12Z,4220944929,59,"23, 17, 28, 4, 55, 3, 18, 16, 99, 27, 7, 6, 10, 11, 14, 21, 25, 47",4220944939,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4220944925,30,"7rht8pf969t2zsy1lcp13aicq, 9ypo5z607qgr7586utge5hln9, 4iatm3hkiepuk84pn8rcfjm6s, 6c57ayh4zo9txp6oo987w96fp, 3uj6mcpdgzwkj73gjg2kikk45, at9ebendkmv06dnp6b140fw89, 565qw4vn3ylthwz0a9xqel8lx, a54k20jw9qbbz7f9dgmiufc2x, 5723ov5phdi50orxufuflv33e, eu0p99sk5yxmjyjln9cz0woo9, 5o8e7mjrqi8wpco5b7f6oef9x, ep1eax2gaziw4xoshealvq5ex, cni5awk83s8cen20ed4v1swve, ar5egjfxvgref6nzy4onfmsid, bvb790jufzko9iif477l7gd0p, 5q14ubfa0onthocee8udipsyd, d07j5jwrtr7r9z04a5te24w7o, f5dwmfqf84vn26jqgru6q6uax",4220944935,194,6c57ayh4zo9txp6oo987w96fp,4220944931,130,13,4220944937,197,19016,4220944927,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4220944933,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539401963,2,32,1,0,0,4dkougngrd8mpvfb1cr9mdb1p,1,0,0,2023-04-26T11:22:56.086Z,2023-04-26T11:22:58Z,4221007773,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539401959,2,32,1,0,0,86pmsqvfhj3t45uo4osr9hks9,1,0,0,2023-04-26T11:22:56.086Z,2023-04-26T11:22:56Z,4221007759,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539401975,3,1,1,0,0,86pmsqvfhj3t45uo4osr9hks9,1,49.9,50,2023-04-26T11:22:56.186Z,2023-04-26T11:22:58Z,4221007847,279,S,4221007839,140,35.1,4221007843,212,16.2,4221007837,56,Back,4221007845,213,3.4,4221007841,141,43.3,,,,,,,3nicdpsg0eal2r2f4m3oyycb9,M. Ádám,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539401983,4,1,1,0,2,86pmsqvfhj3t45uo4osr9hks9,1,36.3,43.3,2023-04-26T11:22:58.131Z,2023-04-26T11:22:59Z,4221007881,140,44.4,4221007885,212,12.1,4221007883,141,56.0,4221007887,213,0.8,4221007879,56,Back,,,,,,,,,,8683grc2e0vttdmqococp9iw9,Lee Gyu-Sung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539401993,5,1,1,0,3,86pmsqvfhj3t45uo4osr9hks9,1,44.4,56,2023-04-26T11:22:59.755Z,2023-04-26T11:23:01Z,4221007951,141,43.3,4221007955,213,3.8,4221007949,140,32.9,4221007953,212,14.8,4221007947,56,Back,,,,,,,,,,7vr4sgrcs701tllzqir9ubc9h,D. Bojanić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539402027,6,1,1,0,5,86pmsqvfhj3t45uo4osr9hks9,1,33,42.5,2023-04-26T11:23:01.795Z,2023-04-26T11:23:06Z,4221008133,141,67.3,4221008137,213,1.7,4221008131,140,31.6,4221008135,212,16.9,4221008129,56,Back,,,,,,,,,,7g27aztcta6kcxevz44b8lv4l,Kim Kee-Hee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539402031,7,1,1,0,10,86pmsqvfhj3t45uo4osr9hks9,1,31.4,66.4,2023-04-26T11:23:06.427Z,2023-04-26T11:23:08Z,4221008157,212,20.6,4221008155,141,36.1,4221008159,213,4.8,4221008151,56,Back,4221008153,140,32.6,,,,,,,,,,53ii8a2tn0kbcxyp0hfqhu02d,Kim Young-Gwon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539402049,8,1,1,0,12,86pmsqvfhj3t45uo4osr9hks9,1,36.7,36.1,2023-04-26T11:23:08.580Z,2023-04-26T11:23:10Z,4221008243,141,61.2,4221008247,213,2.0,4221008239,56,Back,4221008241,140,29.1,4221008245,212,18.8,,,,,,,,,,7g27aztcta6kcxevz44b8lv4l,Kim Kee-Hee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
