id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,keyPass,qualifier/10/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/15/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2539825535,1,34,16,0,0,dxrq5ce9fljcf0vrbrz89rp0k,1,0,0,2023-04-27T12:49:16.900Z,2023-04-27T13:10:05Z,4228465513,30,"mz5s4zs3lw1sg7vv68f49iad, i257idor9l103iarq57i4bft, 21tuis2g923xw10ga0po2vlk9, ebsjcibmg7i93yxf4bhmac5w, agy03jhjlcs2x09k316qvfm51, 8hrpj0ialzd2mqug3bxpgnvth, bfb2cvnizvh884eh2i2grqqqd, 7uykeqo2uz07vju7flufnss89, bplgavkxvjdsqd8j812pgwh2i, 7v3gbz56454fadpqntuay5l91, 20ravs7guc7xweayjndidbnu2, 15ato5bntfatzlnc2pdu1yn3e, cn2i9dyn71c4atdtk98umnzd, 1grsruf1j0h1cbgnz82fwc8kq, b0miq9jw3eil023jw8uf60lwp, e9a5dm1gjizkuot7nnen5cwkp, 6mvgvuh0cz5z71uqb23l3q1re, 5pafczrcdtbxy8rrgxb277emt",4228465519,130,2,4228465525,197,4567,4228465521,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4228465527,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4228465523,194,8hrpj0ialzd2mqug3bxpgnvth,4228465515,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4228465517,59,"1, 13, 3, 14, 5, 6, 11, 44, 16, 91, 7, 9, 10, 18, 19, 21, 24, 28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539828095,1,34,16,0,0,92h5si20tnxjtg4hj8cs97bpw,1,0,0,2023-04-27T12:56:15.711Z,2023-04-27T12:56:15Z,4228613489,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4228613501,194,53q7tgwwdclmp8mqr6uhpryl1,4228613507,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4228613499,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4228613491,59,"1, 17, 2, 30, 16, 20, 8, 7, 33, 29, 10, 9, 11, 13, 14, 18, 19, 41",4228613485,30,"668f2py1qzypzm56csh8s04wl, 7ts0uh7r3qczq6qfwzjy8phhx, b4kziyf6t4x8psrb1nvd0dl9l, 7tb226aujwnbsbsrzbncnk9w4, acf6ssf3sj4z2fbt6krbbczbp, 74i6zd9vz9kcipubavbib9uc5, 68axkq2o9fe65ew80jtj0xxp1, 53q7tgwwdclmp8mqr6uhpryl1, bqhazt8seel1clbtwmgacty50, 29bsxzz5d3tzi1we2uznh6jo4, 7x5i526fkxae3bqymfw06vf85, 3r0e8d9wswt7ygyc46es0u12h, bbg7ciq51x8y5sdlrrzclqbmy, 99yrscdrulo9rty85p06mclat, 99z4lbnvzi2e6maoa7j3yy6ay, 223ln96k7nd83gd47ao1bbf8p, ei2p6tlhj81q4nstpv4s8oq5m, 2w0xyf9cv6flsujkyh3xwo5at",4228613503,197,6990,4228613495,130,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539832661,2,32,1,0,0,dxrq5ce9fljcf0vrbrz89rp0k,1,0,0,2023-04-27T13:11:35.608Z,2023-04-27T13:11:36Z,4229021089,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539832653,2,32,1,0,0,92h5si20tnxjtg4hj8cs97bpw,1,0,0,2023-04-27T13:11:35.608Z,2023-04-27T13:11:35Z,4229020721,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539832673,3,1,1,0,0,dxrq5ce9fljcf0vrbrz89rp0k,1,49.8,50,2023-04-27T13:11:35.708Z,2023-04-27T13:11:39Z,4229021707,141,43.6,4229021711,213,3.3,4229021705,140,25.2,4229021713,279,S,4229021709,212,26.2,4229021703,56,Back,,,,,,,7v3gbz56454fadpqntuay5l91,Sandro Lima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539832695,4,1,1,0,3,dxrq5ce9fljcf0vrbrz89rp0k,1,25.2,43.6,2023-04-27T13:11:39.369Z,2023-04-27T13:11:42Z,4229022863,141,59.4,4229022869,213,1.5,4229022865,212,10.8,4229022861,140,26.2,4229022855,56,Back,,,,,,,,,,agy03jhjlcs2x09k316qvfm51,T. Letschert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539832707,5,1,1,0,7,dxrq5ce9fljcf0vrbrz89rp0k,1,26.2,59.4,2023-04-27T13:11:42.761Z,2023-04-27T13:11:44Z,4229023333,140,23.9,4229023339,212,12.1,4229023327,56,Back,4229023343,213,4.5,4229023337,141,41.9,,,,,,,,,,8hrpj0ialzd2mqug3bxpgnvth,Ahn Young-Kyu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539832717,6,1,1,0,8,dxrq5ce9fljcf0vrbrz89rp0k,1,23.9,41.9,2023-04-27T13:11:44.377Z,2023-04-27T13:11:49Z,4229024857,140,26.4,4229024863,141,29.5,4229024867,213,5.0,4229024865,212,8.8,4229024853,56,Back,,,,,,,,,,agy03jhjlcs2x09k316qvfm51,T. Letschert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539832733,7,1,1,0,13,dxrq5ce9fljcf0vrbrz89rp0k,1,23.5,40,2023-04-27T13:11:48.906Z,2023-04-27T13:14:39Z,4229027055,213,2.0,4229027041,141,61.8,4229027047,212,16.1,4229027037,140,17.6,4229027031,56,Back,,,,,,,,,,i257idor9l103iarq57i4bft,Doo Hyeon-Seok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539832739,8,1,1,0,16,dxrq5ce9fljcf0vrbrz89rp0k,1,18.2,59.9,2023-04-27T13:11:52.169Z,2023-04-27T13:14:46Z,4229027777,140,24.0,4229027781,141,80.0,4229027787,213,1.2,4229027785,212,15.0,4229027773,56,Back,,,,,,,,,,8hrpj0ialzd2mqug3bxpgnvth,Ahn Young-Kyu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
