id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/8/value,qualifier/10/value,qualifier/12/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,keyPass,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/16/value,qualifier/14/value,assist,qualifier/18/value
2531501269,1,34,16,0,0,229s1iq39lf40k945q50hauqw,1,0,0,2023-04-10T06:23:41.919Z,2023-04-10T06:23:42Z,4178949441,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4178949447,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4178949443,59,"17, 88, 2, 14, 15, 30, 16, 6, 9, 10, 29, 21, 1, 4, 11, 13, 22, 55",4178949439,30,"h9p5qowecwbrg261wzwirxlh, 25o7ph16olajaprg59apoyzmd, 545e6lk964ofxm3272seeyxn9, 1e31ylh0578q3kvzoe74zu191, 1gqmmndo78ztp25pl1bzejaad, 6abdrc4g8p73pql7iqs9alwb9, eaxcvmyhm1hfqen00nsjw8e8k, 796qwo2lkuwqca8pm5fmo24t1, e1anmcir6zfogte861l5tyymt, g5uo98dpqlrxtpz4colzns2d, 92mdamjcla34urd6j0urfqxas, 6g3g8a07vy77tgmp7m9mzkonp, 35ujdq8lwjdi46yovbms5t239, 8vwwu0vav5rvxbiqtzpqqvphx, f4fwdqvrdwx1fq70hm6s7db6x, 4iz6r5c9ko0a4k9rfy7ewdega, aylgtw8vq52pnxoqx54oh8vyt, 919kmyixita9vpob8q6bd3xed",4178949449,194,h9p5qowecwbrg261wzwirxlh,4178949445,130,8,4178949451,197,5828,4178949453,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531502491,1,34,16,0,0,4oixf5ykhg01zfxpt7gbpn3dq,1,0,0,2023-04-10T06:29:22.926Z,2023-04-10T07:02:47Z,4178956375,130,4,4178956369,30,"4d3es8ekeal960uto4qtswf6d, bcdm1l4nif0y2p25kxhyehyw9, 4pwrho63fnlcee1xvh5myrw0l, exzcpmt24cwhugpj3b1oi5pii, 9mehciic0e1w99g55xavfg0oa, b94ir5n74j160z90pshd9q6ll, 9u3l89365yah3jn79pix0s67e, un6pufmg35lihl29pqplevop, 6i3hjmgdhx9jv5tsk0ugc0b85, cdrs0tqwywl6soqu6p8qhkm50, cyt00eh5qk5dkzfshamy992j8, 9tiu7146tyw2qyckn8rsgxjsa, xxtw55nr7l92n8dpl6xcnahh, 8hqc7b9bv1u8j6jozhxyokno5, 9dmzphjbkj0ih059z61ht5g8a, ax33xg27souv2j23fy3gks67e, 2xf5af3fbjhe7g2cyq48ezf11, bkkp2lwwkw18o6y333dx2ut3p",4178956379,194,4d3es8ekeal960uto4qtswf6d,4178956371,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4178956381,197,14983,4178956373,59,"1, 3, 22, 5, 20, 98, 17, 97, 28, 13, 33, 4, 7, 9, 11, 15, 23, 70",4178956377,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4178956383,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531518635,2,32,1,0,0,4oixf5ykhg01zfxpt7gbpn3dq,1,0,0,2023-04-10T07:21:16.675Z,2023-04-10T07:21:19Z,4179045047,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531518627,2,32,1,0,0,229s1iq39lf40k945q50hauqw,1,0,0,2023-04-10T07:21:16.675Z,2023-04-18T10:22:13Z,4179045005,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531518647,3,1,1,0,0,4oixf5ykhg01zfxpt7gbpn3dq,1,49.9,49.5,2023-04-10T07:21:16.775Z,2023-04-10T07:26:49Z,4179045109,279,S,4179045105,212,18.2,4179045103,141,50.3,4179045107,213,3.1,4179045099,56,Back,4179045101,140,32.6,,,,,,,6i3hjmgdhx9jv5tsk0ugc0b85,Tiago Orobó,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531518665,4,1,1,0,2,4oixf5ykhg01zfxpt7gbpn3dq,1,34.8,49.7,2023-04-10T07:21:19.245Z,2023-04-10T07:21:21Z,4179045197,213,3.2,4179045193,141,48.7,4179045189,56,Back,4179045195,212,11.9,4179045191,140,23.5,,,,,,,,,,exzcpmt24cwhugpj3b1oi5pii,Lim Deok-Geun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531518679,5,1,1,0,5,4oixf5ykhg01zfxpt7gbpn3dq,1,23.7,44.2,2023-04-10T07:21:21.837Z,2023-04-10T07:21:24Z,4179045259,141,71.5,4179045263,213,1.6,4179045255,56,Back,4179045257,140,23.2,4179045261,212,18.6,,,,,,,,,,9mehciic0e1w99g55xavfg0oa,Cho Yu-Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531518701,6,1,1,0,7,4oixf5ykhg01zfxpt7gbpn3dq,0,24.6,70.5,2023-04-10T07:21:24.125Z,2023-04-10T07:21:28Z,4179045361,140,63.8,4179045363,141,51.0,4179045367,213,6.0,4179045359,56,Center,4179045357,155,,4179045365,212,43.2,4179045369,1,,,,,b94ir5n74j160z90pshd9q6ll,A. Krivotsyuk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531518709,3,44,1,0,9,229s1iq39lf40k945q50hauqw,1,33.8,40.3,2023-04-10T07:21:26.668Z,2023-04-10T07:21:27Z,4179045405,56,Back,4179045407,285,,4179045415,233,7,,,,,,,,,,,,,,,,1gqmmndo78ztp25pl1bzejaad,Lee Jae-Sung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531518707,7,44,1,0,9,4oixf5ykhg01zfxpt7gbpn3dq,0,66.2,59.7,2023-04-10T07:21:26.669Z,2023-04-10T07:21:28Z,4179045461,233,3,4179045393,56,Center,4179045395,286,,,,,,,,,,,,,,,,,6i3hjmgdhx9jv5tsk0ugc0b85,Tiago Orobó,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
