id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/8/value,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/13/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId
2519999667,1,34,16,0,0,cc7oug4s891gcp1r4mh00rw7x,1,0,0,2023-03-14T05:04:40.836Z,2023-03-14T05:50:27Z,4097204183,130,2,4097204179,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4097204187,194,53lbku4kt3amsxjwa5g8reswl,4097204185,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4097204189,197,16102,4097204181,59,"13, 33, 23, 8, 3, 26, 17, 28, 10, 97, 27, 1, 5, 6, 7, 9, 19, 32",4097204191,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4097204177,30,"dimndy1x0fz22a9chh4wymqne, 4d629fx1hhv4b5u3ajgz86ay1, 138ed2bp6fkle4c1733d9p8lx, cc5c5mmpywxpgrb33oztcdgid, 37gb3dt84aa4vb77olca9vs2x, 53lbku4kt3amsxjwa5g8reswl, dbez8vagahwb60g6agdhdm1ka, box34ask8r1uyj1hefhbox6cq, ou0gnms7vf5ff66o508nowoa, 655pmx3wi94ktbt6niw6110bt, 1duiwq9o5e8sds5j08kgs3wt1, 8mb4id7chmmjp2fc2q3dd3cdm, 20sp6xexhks16k9fd2xjf6mz9, 4h9sgnk9ccfzukbxauz8q4ycp, 6hfw11blpd6hhd06sfoogzemt, 8u7fz4ho9lsfaemd9mxjvdknp, 2t6k9fzod7v7mpbq3z9phqifp, dcypvcl318jto0a2gab18pbyt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519999917,1,34,16,0,0,dxrq5ce9fljcf0vrbrz89rp0k,1,0,0,2023-03-14T05:06:17.124Z,2023-03-14T05:06:17Z,4097205823,197,4567,4097205819,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4097205825,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4097205811,30,"mz5s4zs3lw1sg7vv68f49iad, 9ieemqwmuxyvid5aueej85rzd, 21tuis2g923xw10ga0po2vlk9, ebsjcibmg7i93yxf4bhmac5w, agy03jhjlcs2x09k316qvfm51, 8hrpj0ialzd2mqug3bxpgnvth, bfb2cvnizvh884eh2i2grqqqd, eqw66ob9qm4awc6wedc89ryll, bplgavkxvjdsqd8j812pgwh2i, 15ato5bntfatzlnc2pdu1yn3e, 15gqu2lvr2wvktoic91e1ma6s, i257idor9l103iarq57i4bft, e9a5dm1gjizkuot7nnen5cwkp, 6mvgvuh0cz5z71uqb23l3q1re, 5pafczrcdtbxy8rrgxb277emt, apy7g10omrmrjeyybf5v6jxzp, 7uykeqo2uz07vju7flufnss89, 7v3gbz56454fadpqntuay5l91",4097205817,130,2,4097205821,194,8hrpj0ialzd2mqug3bxpgnvth,4097205815,59,"1, 22, 3, 14, 5, 6, 11, 33, 16, 9, 23, 13, 21, 24, 28, 30, 44, 91",4097205813,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520003819,2,32,1,0,0,cc7oug4s891gcp1r4mh00rw7x,1,0,0,2023-03-14T05:37:43.970Z,2023-03-17T14:41:14Z,4097233355,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520003817,2,32,1,0,0,dxrq5ce9fljcf0vrbrz89rp0k,1,0,0,2023-03-14T05:37:43.970Z,2023-03-14T05:37:44Z,4097233327,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520003823,3,1,1,0,0,dxrq5ce9fljcf0vrbrz89rp0k,1,49.9,50.3,2023-03-14T05:37:44.070Z,2023-03-14T05:38:22Z,4097233385,189,,4097233369,56,Back,4097233371,140,39.3,4097233379,279,S,4097233375,212,13.3,4097233377,213,3.7,4097233373,141,39.7,,,,15ato5bntfatzlnc2pdu1yn3e,Heo Yool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520003835,4,1,1,0,2,dxrq5ce9fljcf0vrbrz89rp0k,1,38.2,37.9,2023-03-14T05:37:46.967Z,2023-03-14T05:37:48Z,4097233435,141,30.1,4097233437,212,12.6,4097233431,56,Back,4097233439,213,3.6,4097233433,140,27.3,,,,,,,,,,ebsjcibmg7i93yxf4bhmac5w,Jeong Ho-Yeon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520003845,5,1,1,0,4,dxrq5ce9fljcf0vrbrz89rp0k,1,27.3,30.1,2023-03-14T05:37:48.679Z,2023-03-14T05:37:55Z,4097233521,141,52.4,4097233517,56,Back,4097233523,212,25.1,4097233525,213,2.5,4097233519,140,8.3,,,,,,,,,,agy03jhjlcs2x09k316qvfm51,T. Letschert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520003851,6,1,1,0,11,dxrq5ce9fljcf0vrbrz89rp0k,0,11.8,61.4,2023-03-14T05:37:55.752Z,2023-03-14T05:37:58Z,4097233563,140,45.8,4097233559,155,,4097233567,212,36.6,4097233565,141,73.0,4097233569,213,0.2,4097233571,1,,4097233561,56,Back,,,,mz5s4zs3lw1sg7vv68f49iad,Kim Kyeong-Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520003855,3,44,1,0,13,cc7oug4s891gcp1r4mh00rw7x,1,51.6,31,2023-03-14T05:37:57.703Z,2023-03-14T05:37:59Z,4097233607,286,,4097233595,56,Center,4097233603,233,7,,,,,,,,,,,,,,,,37gb3dt84aa4vb77olca9vs2x,Jeong Tae-Wook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520003853,7,44,1,0,13,dxrq5ce9fljcf0vrbrz89rp0k,0,48.4,69,2023-03-14T05:37:57.704Z,2023-03-14T05:37:59Z,4097233617,233,3,4097233583,56,Back,4097233585,285,,,,,,,,,,,,,,,,,15ato5bntfatzlnc2pdu1yn3e,Heo Yool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
