id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/9/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/16/value,qualifier/17/value,assist
2531500283,1,34,16,0,0,cc7oug4s891gcp1r4mh00rw7x,1,0,0,2023-04-10T06:19:16.952Z,2023-04-10T06:19:17Z,4178943837,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4178943843,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4178943831,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4178943839,194,4h9sgnk9ccfzukbxauz8q4ycp,4178943829,30,"8mb4id7chmmjp2fc2q3dd3cdm, 4d629fx1hhv4b5u3ajgz86ay1, dcypvcl318jto0a2gab18pbyt, b5wk02yjsdg5u1bu6quczvrop, 4h9sgnk9ccfzukbxauz8q4ycp, 7ew2lr04wzx4872xhvq7tjdn9, aqvvrwb9ka52si810lbecybx1, cpp2ta11whu3qer21wlyq68yd, 8u7fz4ho9lsfaemd9mxjvdknp, 6hfw11blpd6hhd06sfoogzemt, 8hiod211s6lxuzs0tz0mtewh5, 487v5lof1h2czoedlj0oyiind, 4nw02ifkjx1zg3bzz1bsno7e2, dbez8vagahwb60g6agdhdm1ka, 2t6k9fzod7v7mpbq3z9phqifp, 53lbku4kt3amsxjwa5g8reswl, box34ask8r1uyj1hefhbox6cq, b8fg8z46g2ouihw7ggrmirms4",4178943841,197,16102,4178943835,130,13,4178943833,59,"1, 33, 32, 4, 6, 15, 29, 21, 9, 7, 18, 11, 16, 17, 19, 26, 28, 41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531503205,1,34,16,0,0,4dkougngrd8mpvfb1cr9mdb1p,1,0,0,2023-04-10T06:32:42.150Z,2023-04-10T06:55:51Z,4178960907,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4178960893,30,"5q14ubfa0onthocee8udipsyd, 9ypo5z607qgr7586utge5hln9, 5o8e7mjrqi8wpco5b7f6oef9x, bppyf0fnmm86izw3n2kifahh, f5dwmfqf84vn26jqgru6q6uax, 6c57ayh4zo9txp6oo987w96fp, ep1eax2gaziw4xoshealvq5ex, 23yszo5vk185thxlbtejvpfbp, cni5awk83s8cen20ed4v1swve, aa9dp2dqyn7j7er2sogxd5z6y, d07j5jwrtr7r9z04a5te24w7o, 2hn4ovm6c5unekgaqok8a19wq, at9ebendkmv06dnp6b140fw89, ar5egjfxvgref6nzy4onfmsid, bvb790jufzko9iif477l7gd0p, a54k20jw9qbbz7f9dgmiufc2x, 10ixr0cqjjep81fttjma8zap5, 1vbautuicco584hp4qav9sfyt",4178960905,197,14962,4178960899,130,13,4178960897,59,"21, 17, 7, 20, 47, 4, 6, 8, 10, 37, 25, 1, 3, 11, 14, 16, 19, 40",4178960903,194,6c57ayh4zo9txp6oo987w96fp,4178960901,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4178960895,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531509441,2,32,1,0,0,4dkougngrd8mpvfb1cr9mdb1p,1,0,0,2023-04-10T06:57:55.072Z,2023-04-10T06:57:55Z,4178998791,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531509443,2,32,1,0,0,cc7oug4s891gcp1r4mh00rw7x,1,0,0,2023-04-10T06:57:55.072Z,2023-04-14T17:59:38Z,4178998793,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531509463,3,1,1,0,0,4dkougngrd8mpvfb1cr9mdb1p,1,50.2,50.3,2023-04-10T06:57:55.943Z,2023-04-10T08:51:32Z,4178998879,141,53.3,4178998877,140,37.1,4178998881,212,13.9,4178998875,56,Back,4178998883,213,3.0,4179198465,279,S,,,,,,,23yszo5vk185thxlbtejvpfbp,Sin Jin-Ho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531509475,4,1,1,0,4,4dkougngrd8mpvfb1cr9mdb1p,1,35.6,52.1,2023-04-10T06:57:59.699Z,2023-04-10T06:58:01Z,4178998939,212,14.0,4178998937,141,50.9,4178998933,56,Back,4178998935,140,48.9,4178998941,213,6.2,,,,,,,,,,ep1eax2gaziw4xoshealvq5ex,Mun Ji-Hwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531509479,5,1,1,0,6,4dkougngrd8mpvfb1cr9mdb1p,1,46.9,49.3,2023-04-10T06:58:01.188Z,2023-04-10T06:58:02Z,4178998965,212,21.6,4178998975,156,,4178998963,141,21.9,4178998967,213,4.2,4178998959,56,Back,4178998961,140,36.4,,,,,,,23yszo5vk185thxlbtejvpfbp,Sin Jin-Ho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531509491,6,1,1,0,8,4dkougngrd8mpvfb1cr9mdb1p,1,36,17.3,2023-04-10T06:58:03.556Z,2023-04-10T06:58:05Z,4178999031,56,Right,4178999039,213,0.1,4178999033,140,52.7,4178999035,141,19.4,4178999037,212,17.6,,,,,,,,,,6c57ayh4zo9txp6oo987w96fp,Oh Ban-Suk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531509501,7,1,1,0,9,4dkougngrd8mpvfb1cr9mdb1p,1,55.4,21,2023-04-10T06:58:04.980Z,2023-04-10T06:58:07Z,4178999089,141,14.4,4178999091,212,4.8,4178999087,140,53.9,4178999093,213,4.4,4178999085,56,Right,,,,,,,,,,aa9dp2dqyn7j7er2sogxd5z6y,Hong Si-Hoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531509505,8,50,1,0,12,4dkougngrd8mpvfb1cr9mdb1p,1,58,12.7,2023-04-10T06:58:07.411Z,2023-04-10T06:58:09Z,4178999111,56,Right,4178999113,286,,4178999181,233,3,,,,,,,,,,,,,,,,ep1eax2gaziw4xoshealvq5ex,Mun Ji-Hwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
