id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,keyPass,qualifier/11/value,assist,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/15/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/18/value
2515721023,1,34,16,0,0,4dkougngrd8mpvfb1cr9mdb1p,1,0,0,2023-03-05T07:30:09.842Z,2023-03-05T07:30:10Z,4074495735,197,7785,4074495727,59,"1, 14, 7, 20, 47, 4, 5, 8, 10, 27, 11, 17, 18, 19, 21, 37, 40, 55",4074495737,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4074495731,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4074495725,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4074495723,30,"2hn4ovm6c5unekgaqok8a19wq, bvb790jufzko9iif477l7gd0p, 5o8e7mjrqi8wpco5b7f6oef9x, bppyf0fnmm86izw3n2kifahh, f5dwmfqf84vn26jqgru6q6uax, 6c57ayh4zo9txp6oo987w96fp, bgvjm8xq9eb1ibklrt2hfv6c5, 23yszo5vk185thxlbtejvpfbp, cni5awk83s8cen20ed4v1swve, eu0p99sk5yxmjyjln9cz0woo9, ar5egjfxvgref6nzy4onfmsid, 9ypo5z607qgr7586utge5hln9, 565qw4vn3ylthwz0a9xqel8lx, 10ixr0cqjjep81fttjma8zap5, 5q14ubfa0onthocee8udipsyd, aa9dp2dqyn7j7er2sogxd5z6y, 1vbautuicco584hp4qav9sfyt, 3uj6mcpdgzwkj73gjg2kikk45",4074495733,194,6c57ayh4zo9txp6oo987w96fp,4074495729,130,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515721307,1,34,16,0,0,4oixf5ykhg01zfxpt7gbpn3dq,1,0,0,2023-03-05T07:32:41.982Z,2023-03-09T23:30:27Z,4074497327,194,4ewc486q7lv7jho1t7qviprdh,4074497321,59,"1, 22, 2, 98, 20, 3, 14, 8, 97, 10, 28, 5, 9, 11, 13, 15, 19, 23",4074497319,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4074497331,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4074497325,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4074497323,130,18,4074497317,30,"4d3es8ekeal960uto4qtswf6d, 4pwrho63fnlcee1xvh5myrw0l, a51uwp4qcrr4rodslzst4iok5, b94ir5n74j160z90pshd9q6ll, 9mehciic0e1w99g55xavfg0oa, bcdm1l4nif0y2p25kxhyehyw9, 1x0nab8a4vcrn6t4pwzlz7d1x, 4ewc486q7lv7jho1t7qviprdh, un6pufmg35lihl29pqplevop, 594aaw8h28nlm7uz6ib9vczc9, 6i3hjmgdhx9jv5tsk0ugc0b85, exzcpmt24cwhugpj3b1oi5pii, 8hqc7b9bv1u8j6jozhxyokno5, 9dmzphjbkj0ih059z61ht5g8a, cdrs0tqwywl6soqu6p8qhkm50, ax33xg27souv2j23fy3gks67e, 3mof05i0b0pw2a5otudpl1qms, 2xf5af3fbjhe7g2cyq48ezf11",4074497329,197,18491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515726713,2,32,1,0,0,4dkougngrd8mpvfb1cr9mdb1p,1,0,0,2023-03-05T08:03:09.701Z,2023-03-09T20:55:15Z,4074520253,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515726709,2,32,1,0,0,4oixf5ykhg01zfxpt7gbpn3dq,1,0,0,2023-03-05T08:03:09.701Z,2023-03-05T08:03:09Z,4074520247,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515726719,3,1,1,0,0,4dkougngrd8mpvfb1cr9mdb1p,1,50.4,49.9,2023-03-05T08:03:09.801Z,2023-03-05T08:28:46Z,4074520271,56,Back,4074520277,212,12.4,4074520275,141,45.6,4074520281,279,S,4074520273,140,38.9,4074520279,213,3.4,,,,,,,bgvjm8xq9eb1ibklrt2hfv6c5,Lee Myung-Joo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515726739,4,1,1,0,2,4dkougngrd8mpvfb1cr9mdb1p,1,33,45.8,2023-03-05T08:03:12.539Z,2023-03-05T08:03:14Z,4074520355,141,27.4,4074520351,56,Back,4074520357,212,12.6,4074520359,213,4.6,4074520353,140,31.4,,,,,,,,,,23yszo5vk185thxlbtejvpfbp,Sin Jin-Ho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515726751,5,1,1,0,5,4dkougngrd8mpvfb1cr9mdb1p,0,32.4,25.2,2023-03-05T08:03:14.780Z,2023-03-05T08:03:16Z,4074520403,140,55.7,4074520399,155,,4074520405,141,28.0,4074520409,213,0.1,4074520407,212,24.5,4074520401,56,Center,,,,,,,6c57ayh4zo9txp6oo987w96fp,Oh Ban-Suk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515726747,3,49,1,0,6,4oixf5ykhg01zfxpt7gbpn3dq,1,34.9,72,2023-03-05T08:03:15.734Z,2023-03-05T08:03:15Z,,,,,,,,,,,,,,,,,,,,,,,,,b94ir5n74j160z90pshd9q6ll,A. Krivotsyuk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515726765,4,1,1,0,6,4oixf5ykhg01zfxpt7gbpn3dq,1,34.9,72,2023-03-05T08:03:16.306Z,2023-03-05T08:03:18Z,4074520447,56,Back,4074520445,155,,4074520453,212,9.5,4074520451,141,67.5,4074520449,140,43.5,4074520455,213,6.0,,,,,,,b94ir5n74j160z90pshd9q6ll,A. Krivotsyuk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515726773,5,1,1,0,8,4oixf5ykhg01zfxpt7gbpn3dq,1,43.5,67.5,2023-03-05T08:03:18.341Z,2023-03-05T08:03:19Z,4074520483,213,2.1,4074520477,140,39.9,4074520475,56,Back,4074520481,212,7.4,4074520473,3,,4074520479,141,76.9,,,,,,,un6pufmg35lihl29pqplevop,Lee Jin-Hyun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
