id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/11/value,keyPass,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,assist,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId
2520000201,1,34,16,0,0,4dkougngrd8mpvfb1cr9mdb1p,1,0,0,2023-03-14T05:08:14.937Z,2023-03-14T05:08:15Z,4097207519,197,7785,4097207515,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4097207517,194,6c57ayh4zo9txp6oo987w96fp,4097207511,59,"1, 14, 7, 20, 55, 4, 5, 8, 10, 27, 11, 3, 6, 19, 21, 28, 37, 40",4097207507,30,"2hn4ovm6c5unekgaqok8a19wq, bvb790jufzko9iif477l7gd0p, 5o8e7mjrqi8wpco5b7f6oef9x, bppyf0fnmm86izw3n2kifahh, 3uj6mcpdgzwkj73gjg2kikk45, 6c57ayh4zo9txp6oo987w96fp, bgvjm8xq9eb1ibklrt2hfv6c5, 23yszo5vk185thxlbtejvpfbp, cni5awk83s8cen20ed4v1swve, eu0p99sk5yxmjyjln9cz0woo9, ar5egjfxvgref6nzy4onfmsid, at9ebendkmv06dnp6b140fw89, ep1eax2gaziw4xoshealvq5ex, 10ixr0cqjjep81fttjma8zap5, 5q14ubfa0onthocee8udipsyd, 4iatm3hkiepuk84pn8rcfjm6s, aa9dp2dqyn7j7er2sogxd5z6y, 1vbautuicco584hp4qav9sfyt",4097207521,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4097207513,130,13,4097207509,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520000557,1,34,16,0,0,92h5si20tnxjtg4hj8cs97bpw,1,0,0,2023-03-14T05:11:21.257Z,2023-03-14T07:16:24Z,4097210021,30,"668f2py1qzypzm56csh8s04wl, 7ts0uh7r3qczq6qfwzjy8phhx, bwzjmefo4k42iieisyas48vdh, 99yrscdrulo9rty85p06mclat, 69kkav5u6owt1boe58a2ma1n9, 74i6zd9vz9kcipubavbib9uc5, acrtfa8a1l1tfbvcp7jzdttzo, 7tb226aujwnbsbsrzbncnk9w4, 3r0e8d9wswt7ygyc46es0u12h, 7x5i526fkxae3bqymfw06vf85, bqhazt8seel1clbtwmgacty50, 53q7tgwwdclmp8mqr6uhpryl1, bbg7ciq51x8y5sdlrrzclqbmy, 99z4lbnvzi2e6maoa7j3yy6ay, acf6ssf3sj4z2fbt6krbbczbp, ei2p6tlhj81q4nstpv4s8oq5m, bif1lmpnom7zk7faxp922bzyt, 2w0xyf9cv6flsujkyh3xwo5at",4097210027,130,13,4097210035,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4097210029,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4097210031,194,7ts0uh7r3qczq6qfwzjy8phhx,4097210025,59,"1, 17, 32, 13, 4, 20, 25, 30, 9, 10, 33, 7, 11, 14, 16, 19, 40, 41",4097210033,197,7736,4097210023,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520003075,2,32,1,0,0,92h5si20tnxjtg4hj8cs97bpw,1,0,0,2023-03-14T05:33:37.863Z,2023-03-14T05:33:38Z,4097228951,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520003077,2,32,1,0,0,4dkougngrd8mpvfb1cr9mdb1p,1,0,0,2023-03-14T05:33:37.863Z,2023-03-17T13:37:30Z,4097228955,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520003085,3,1,1,0,0,92h5si20tnxjtg4hj8cs97bpw,1,49.9,50,2023-03-14T05:33:37.963Z,2023-03-14T05:33:40Z,4097229015,279,S,4097229011,212,15.4,4097229007,140,36.9,4097229013,213,2.7,4097229009,141,60.6,4097229005,56,Back,,,,,,,3r0e8d9wswt7ygyc46es0u12h,Yuri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520003089,4,1,1,0,2,92h5si20tnxjtg4hj8cs97bpw,1,35.6,60.9,2023-03-14T05:33:40.636Z,2023-03-17T13:38:38Z,4097229063,140,26.4,4097229061,56,Back,4097229067,212,24.9,4097229065,141,27.1,4097229069,213,4.3,,,,,,,,,,7tb226aujwnbsbsrzbncnk9w4,Kim Bong-Su,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520003095,5,1,1,0,5,92h5si20tnxjtg4hj8cs97bpw,1,26.6,30.1,2023-03-14T05:33:43.212Z,2023-03-14T05:33:46Z,4097229133,213,1.5,4097229129,141,76.7,4097229131,212,31.7,4097229125,56,Back,4097229127,140,27.8,,,,,,,,,,74i6zd9vz9kcipubavbib9uc5,Kim Oh-Kyu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520003101,6,1,1,0,8,92h5si20tnxjtg4hj8cs97bpw,1,31.8,71.5,2023-03-14T05:33:46.076Z,2023-03-17T13:43:00Z,4097229173,212,57.4,4097229169,140,84.5,4097229177,1,,4097229165,155,,4097229171,141,93.8,4097229175,213,0.3,4097229167,56,Left,,,,99yrscdrulo9rty85p06mclat,Chung Woon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520003105,7,50,1,0,11,92h5si20tnxjtg4hj8cs97bpw,1,76.6,92.6,2023-03-14T05:33:49.596Z,2023-03-14T05:56:04Z,4097255295,233,3,4097229189,56,Left,4097229191,286,,,,,,,,,,,,,,,,,bqhazt8seel1clbtwmgacty50,Ji Sang-Wook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520003111,3,7,1,0,11,4dkougngrd8mpvfb1cr9mdb1p,0,23.4,7.4,2023-03-14T05:33:49.597Z,2023-03-17T13:43:13Z,4097229249,56,Back,4097229251,285,,4097229261,233,7,4102226583,385,,,,,,,,,,,,,,bvb790jufzko9iif477l7gd0p,Jung Dong-Yoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520007275,202,61,1,0,13,92h5si20tnxjtg4hj8cs97bpw,1,85.3,91.5,2023-03-14T05:33:51.549Z,2023-03-14T05:56:38Z,4097255943,56,Left,,,,,,,,,,,,,,,,,,,,,,bqhazt8seel1clbtwmgacty50,Ji Sang-Wook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520003115,4,49,1,0,16,4dkougngrd8mpvfb1cr9mdb1p,1,33.3,32.5,2023-03-14T05:33:53.874Z,2023-03-14T05:33:54Z,,,,,,,,,,,,,,,,,,,,,,,,,23yszo5vk185thxlbtejvpfbp,Sin Jin-Ho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520003117,5,1,1,0,16,4dkougngrd8mpvfb1cr9mdb1p,1,33.5,33.1,2023-03-14T05:33:54.242Z,2023-03-14T05:33:55Z,4097229279,141,34.9,4097229275,56,Back,4097229277,140,17.0,4097229283,213,3.1,4097229281,212,17.4,,,,,,,,,,23yszo5vk185thxlbtejvpfbp,Sin Jin-Ho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520003121,6,1,1,0,17,4dkougngrd8mpvfb1cr9mdb1p,0,17,34.9,2023-03-14T05:33:55.009Z,2023-03-17T13:43:38Z,4102227369,157,,4097229305,212,20.0,4097229303,141,36.9,4102227371,1,,4097229307,213,0.1,4097229301,140,36.0,4097229299,56,Back,,,,6c57ayh4zo9txp6oo987w96fp,Oh Ban-Suk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
