id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/11/value,keyPass,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/9/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/13/value,qualifier/16/value,assist
2544156551,1,34,16,0,0,4dhojk80ifrs6ax05725bala2,1,0,0,2023-05-06T07:12:30.780Z,2023-05-06T07:18:55Z,4253296845,197,7794,4253296847,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4253296843,194,e6jkkb7xnu0u2m1e7gbfsmggl,4253296835,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4253296837,59,"1, 17, 88, 5, 4, 30, 7, 6, 16, 26, 14, 3, 21, 25, 50, 90, 94, 96",4253296833,30,"a1tqnoo75nm3u94wfjiphnv56, 9gmsma17q21lca5ogboz6a6eh, av2iblvadx7u9cj27qgbm09ka, 8ivl7nyl0sp6j834os6ybnmj9, c3sp1x0shf2b24rl5ike6v0iy, 15lc9nb9h2r2e9qvh4es27q7e, 7djxob0tt6bmyi7hlvc7r81k9, bb0zj4rt5l4vjtdzghhj3n7it, 5wnt4q34ojngvtxturq18rvmd, dn6crxzg2siahc43nrb8de9jp, e6jkkb7xnu0u2m1e7gbfsmggl, qbyyhh8m9r2wssat24ic745x, lfar3t1safoyi3yfz5yph149, 6xxhpvf1ac36ox0k06flx9wbt, dj7t9bww1po1nfnro4788qtpl, 44zj38pfx1daxdibpl0cpttqt, a53x9bb5dk9vgwa8tf0swtm1h, cspyqj6qtdeymxcnw70b40j55",4253296839,130,8,4253296841,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544156561,1,34,16,0,0,cc7oug4s891gcp1r4mh00rw7x,1,0,0,2023-05-06T07:12:33.791Z,2023-05-06T07:18:46Z,4253296889,197,3222,4253296887,194,b5wk02yjsdg5u1bu6quczvrop,4253296883,130,4,4253296879,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4253296891,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4253296877,30,"8mb4id7chmmjp2fc2q3dd3cdm, 6fh3fcd5h6e9txpa4j1rfhck5, eupnshqf7ujeksy1vx1tojdas, b5wk02yjsdg5u1bu6quczvrop, 37gb3dt84aa4vb77olca9vs2x, 7ew2lr04wzx4872xhvq7tjdn9, cc5c5mmpywxpgrb33oztcdgid, 4nw02ifkjx1zg3bzz1bsno7e2, 8u7fz4ho9lsfaemd9mxjvdknp, cpp2ta11whu3qer21wlyq68yd, 1duiwq9o5e8sds5j08kgs3wt1, 20sp6xexhks16k9fd2xjf6mz9, 4h9sgnk9ccfzukbxauz8q4ycp, 2t6k9fzod7v7mpbq3z9phqifp, 4bevvewc70dy73syxxral1fmy, dl35z561folv2vjjmohq1tt9m, 751puiix23fhr7qh5gjghc55g, 655pmx3wi94ktbt6niw6110bt",4253296885,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4253296881,59,"1, 25, 70, 4, 3, 15, 8, 16, 9, 21, 27, 5, 6, 19, 24, 30, 51, 97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544158241,2,32,1,0,0,4dhojk80ifrs6ax05725bala2,1,0,0,2023-05-06T07:23:15.457Z,2023-05-06T07:23:15Z,4253306305,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544158247,2,32,1,0,0,cc7oug4s891gcp1r4mh00rw7x,1,0,0,2023-05-06T07:23:15.457Z,2023-05-06T07:23:17Z,4253306329,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544158251,3,1,1,0,0,4dhojk80ifrs6ax05725bala2,1,50,50,2023-05-06T07:23:15.557Z,2023-05-06T08:22:23Z,4253306359,141,56.4,4253306357,140,46.7,4253306361,212,5.6,4253306365,279,S,4253306363,213,2.2,4253306355,56,Back,,,,,,,5wnt4q34ojngvtxturq18rvmd,Hwang Ui-Jo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544158255,4,1,1,0,1,4dhojk80ifrs6ax05725bala2,1,46.7,56.4,2023-05-06T07:23:17.388Z,2023-05-06T07:23:18Z,4253306375,56,Back,4253306381,212,5.8,4253306377,140,43.3,4253306383,213,4.1,4253306379,141,49.6,,,,,,,,,,bb0zj4rt5l4vjtdzghhj3n7it,Ki Sung-Yueng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544158259,5,1,1,0,3,4dhojk80ifrs6ax05725bala2,1,43.2,49.1,2023-05-06T07:23:18.636Z,2023-05-06T07:23:20Z,4253306411,56,Back,4253306417,212,23.4,4253306415,141,70.3,4253306419,213,2.5,4253306413,140,25.6,,,,,,,,,,dn6crxzg2siahc43nrb8de9jp,A. Paločević,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544158265,6,1,1,0,5,4dhojk80ifrs6ax05725bala2,1,26.2,70.3,2023-05-06T07:23:20.693Z,2023-05-06T07:23:22Z,4253306449,212,18.8,4253306451,213,1.0,4253306443,56,Back,4253306445,140,36.3,4253306447,141,93.2,,,,,,,,,,15lc9nb9h2r2e9qvh4es27q7e,Kim Ju-Sung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544158269,7,1,1,0,6,4dhojk80ifrs6ax05725bala2,0,36.3,93.2,2023-05-06T07:23:22.029Z,2023-05-06T07:23:23Z,4253306469,213,3.7,4253306463,140,24.6,4253306467,212,14.6,4253306465,141,81.5,4253306461,56,Back,,,,,,,,,,av2iblvadx7u9cj27qgbm09ka,Lee Tae-Seok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544158271,3,8,1,0,8,cc7oug4s891gcp1r4mh00rw7x,1,71.5,31.6,2023-05-06T07:23:23.590Z,2023-05-06T07:23:23Z,4253306475,56,Center,,,,,,,,,,,,,,,,,,,,,,8u7fz4ho9lsfaemd9mxjvdknp,Gustavo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
