id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/10/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/13/value,qualifier/14/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,assist,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId
2513349277,1,34,16,0,0,4dkougngrd8mpvfb1cr9mdb1p,1,0,0,2023-02-27T15:20:28.952Z,2023-02-27T15:20:29Z,4061923097,194,6c57ayh4zo9txp6oo987w96fp,4061923087,30,"2hn4ovm6c5unekgaqok8a19wq, bvb790jufzko9iif477l7gd0p, 5o8e7mjrqi8wpco5b7f6oef9x, bppyf0fnmm86izw3n2kifahh, f5dwmfqf84vn26jqgru6q6uax, 6c57ayh4zo9txp6oo987w96fp, bgvjm8xq9eb1ibklrt2hfv6c5, 23yszo5vk185thxlbtejvpfbp, eu0p99sk5yxmjyjln9cz0woo9, 1vbautuicco584hp4qav9sfyt, ar5egjfxvgref6nzy4onfmsid, at9ebendkmv06dnp6b140fw89, ep1eax2gaziw4xoshealvq5ex, cni5awk83s8cen20ed4v1swve, 565qw4vn3ylthwz0a9xqel8lx, 10ixr0cqjjep81fttjma8zap5, 5q14ubfa0onthocee8udipsyd, 4iatm3hkiepuk84pn8rcfjm6s",4061923095,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4061923101,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4061923091,59,"1, 14, 7, 20, 47, 4, 5, 8, 27, 40, 11, 3, 6, 10, 18, 19, 21, 28",4061923099,197,14962,4061923093,130,13,4061923089,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513349327,1,34,16,0,0,4dhojk80ifrs6ax05725bala2,1,0,0,2023-02-27T15:20:58.089Z,2023-02-27T16:10:52Z,4061923331,59,"21, 17, 88, 6, 5, 30, 7, 26, 50, 16, 14, 3, 9, 18, 22, 25, 90, 94",4061923329,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4061923335,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4061923339,197,7794,4061923333,130,2,4061923337,194,e6jkkb7xnu0u2m1e7gbfsmggl,4061923341,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4061923327,30,"lfar3t1safoyi3yfz5yph149, 9gmsma17q21lca5ogboz6a6eh, av2iblvadx7u9cj27qgbm09ka, bb0zj4rt5l4vjtdzghhj3n7it, 8ivl7nyl0sp6j834os6ybnmj9, 15lc9nb9h2r2e9qvh4es27q7e, 7djxob0tt6bmyi7hlvc7r81k9, dn6crxzg2siahc43nrb8de9jp, dj7t9bww1po1nfnro4788qtpl, 5wnt4q34ojngvtxturq18rvmd, e6jkkb7xnu0u2m1e7gbfsmggl, qbyyhh8m9r2wssat24ic745x, 116zxf1768eml7icqsiapke8k, c2kvec9kvl0os9ob5cq1xdvbp, cbm1zbcl89cfw2q10kg467cru, 6xxhpvf1ac36ox0k06flx9wbt, 44zj38pfx1daxdibpl0cpttqt, a53x9bb5dk9vgwa8tf0swtm1h",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513356521,2,32,1,0,0,4dkougngrd8mpvfb1cr9mdb1p,1,0,0,2023-02-27T16:11:18.798Z,2023-02-27T16:11:21Z,4061967469,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513356513,2,32,1,0,0,4dhojk80ifrs6ax05725bala2,1,0,0,2023-02-27T16:11:18.798Z,2023-03-01T11:26:20Z,4061967427,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513356529,3,1,1,0,0,4dkougngrd8mpvfb1cr9mdb1p,1,49.4,50.6,2023-02-27T16:11:18.898Z,2023-02-27T16:11:22Z,4061967519,140,36.8,4061967527,279,S,4061967523,212,14.1,4061967517,56,Back,4061967525,213,3.5,4061967521,141,43.6,,,,,,,bgvjm8xq9eb1ibklrt2hfv6c5,Lee Myung-Joo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513356533,4,1,1,0,3,4dkougngrd8mpvfb1cr9mdb1p,0,38,47.2,2023-02-27T16:11:22.184Z,2023-03-01T11:27:58Z,4061967541,141,47.2,4061967545,213,0,4061967597,236,,4061967543,212,1.3,4061967537,56,Back,4061967547,1,,4061967539,140,39.2,4061967599,233,3,23yszo5vk185thxlbtejvpfbp,Sin Jin-Ho,4061967603,286,4061967535,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513356541,3,74,1,0,3,4dhojk80ifrs6ax05725bala2,1,61.1,51.5,2023-02-27T16:11:22.185Z,2023-03-01T11:28:01Z,4061967581,285,,4061967609,233,4,4061967577,56,Center,,,,,,,,,,,,,,,,dj7t9bww1po1nfnro4788qtpl,Park Dong-Jin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513356553,5,1,1,0,7,4dkougngrd8mpvfb1cr9mdb1p,1,30.6,26.1,2023-02-27T16:11:26.648Z,2023-02-27T16:11:29Z,4061967665,56,Back,4061967667,140,30.6,4061967671,212,6.2,4061967673,213,4.7,4061967669,141,17.0,,,,,,,,,,f5dwmfqf84vn26jqgru6q6uax,Kim Dong-Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513356559,6,50,1,0,9,4dkougngrd8mpvfb1cr9mdb1p,1,34.7,17.6,2023-02-27T16:11:27.880Z,2023-03-01T11:28:19Z,4061967733,286,,4061967735,233,4,4061967703,56,Back,,,,,,,,,,,,,,,,6c57ayh4zo9txp6oo987w96fp,Oh Ban-Suk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513356563,4,7,1,0,9,4dhojk80ifrs6ax05725bala2,1,65.3,82.4,2023-02-27T16:11:27.881Z,2023-03-01T11:28:23Z,4061967717,56,Left,4064941481,384,,4061967725,233,6,4061967719,285,,,,,,,,,,,,,,dj7t9bww1po1nfnro4788qtpl,Park Dong-Jin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
