id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/10/value,qualifier/11/value,assist,qualifier/17/id,qualifier/17/qualifierId
2535095943,1,34,16,0,0,4oixf5ykhg01zfxpt7gbpn3dq,1,0,0,2023-04-17T09:01:51.764Z,2023-04-21T14:20:58Z,4198039609,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4198039603,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4198039605,59,"1, 17, 22, 3, 20, 4, 8, 97, 33, 70, 28, 5, 7, 9, 10, 13, 15, 23",4198039601,30,"4d3es8ekeal960uto4qtswf6d, 9u3l89365yah3jn79pix0s67e, 4pwrho63fnlcee1xvh5myrw0l, bcdm1l4nif0y2p25kxhyehyw9, 9mehciic0e1w99g55xavfg0oa, 9tiu7146tyw2qyckn8rsgxjsa, 4ewc486q7lv7jho1t7qviprdh, un6pufmg35lihl29pqplevop, cyt00eh5qk5dkzfshamy992j8, bkkp2lwwkw18o6y333dx2ut3p, 6i3hjmgdhx9jv5tsk0ugc0b85, exzcpmt24cwhugpj3b1oi5pii, xxtw55nr7l92n8dpl6xcnahh, 8hqc7b9bv1u8j6jozhxyokno5, 594aaw8h28nlm7uz6ib9vczc9, cdrs0tqwywl6soqu6p8qhkm50, ax33xg27souv2j23fy3gks67e, 2xf5af3fbjhe7g2cyq48ezf11",4198039613,197,14983,4198039607,130,18,4198039615,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4198039611,194,4ewc486q7lv7jho1t7qviprdh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535097207,1,34,16,0,0,86pmsqvfhj3t45uo4osr9hks9,1,0,0,2023-04-17T09:06:22.887Z,2023-04-21T14:23:23Z,4198045803,59,"21, 23, 66, 6, 44, 19, 30, 31, 18, 11, 17, 1, 5, 10, 22, 24, 26, 27",4198045809,194,5osl9hgarpoek3ici17bq3nqh,4198045801,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4198045805,130,4,4198045813,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4198045807,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4198045811,197,16779,4198045799,30,"4cih000f65u36i7fm1sn0fob9, 2t5jagwu3ghwwkz2r63tkfis5, eifui3hrv21plt57hxo8dhl62, 5osl9hgarpoek3ici17bq3nqh, 7g27aztcta6kcxevz44b8lv4l, 53ii8a2tn0kbcxyp0hfqhu02d, 4cn12y72opvi21fz6fmd5sc9g, e0bvhpq8csn9eeh5r1ka59bs9, 8sc2xigysl1ueogyivxyj0hqt, 9fg0am5mvsr9u9wu2m4nf9ii1, f476eflmv1tojfcufu59inf56, dfgaeb2ty9rt168zsbru4t3v9, e58ntnbbuaa79qxxskbclzjyt, 5wa2awnwsayrocgxs9d00p1p1, biv5sbz8pcwic5vb8k0zc3tnt, 8683grc2e0vttdmqococp9iw9, 16ibszyes8xs923koupcul08a, df7n0r366r77ujzxdedwcomol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535111015,2,32,1,0,0,4oixf5ykhg01zfxpt7gbpn3dq,1,0,0,2023-04-17T09:50:23.988Z,2023-04-21T09:12:27Z,4198113543,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535111005,2,32,1,0,0,86pmsqvfhj3t45uo4osr9hks9,1,0,0,2023-04-17T09:50:23.988Z,2023-04-17T09:50:24Z,4198113517,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535111023,3,1,1,0,0,86pmsqvfhj3t45uo4osr9hks9,1,49.7,49.9,2023-04-17T09:50:24.088Z,2023-04-17T11:03:50Z,4198113575,213,3.8,4198113571,141,44.8,4198113569,140,45.0,4198113567,56,Back,4198113573,212,6.0,4198113577,279,S,,,,,,,8sc2xigysl1ueogyivxyj0hqt,Joo Min-Kyu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535111031,4,1,1,0,1,86pmsqvfhj3t45uo4osr9hks9,1,45,44.8,2023-04-17T09:50:25.977Z,2023-04-17T09:50:28Z,4198113611,141,48.1,4198113615,213,2.9,4198113613,212,8.2,4198113607,56,Back,4198113609,140,37.5,,,,,,,,,,4cn12y72opvi21fz6fmd5sc9g,Kang Yun-Gu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535111041,5,1,1,0,3,86pmsqvfhj3t45uo4osr9hks9,1,37,48.2,2023-04-17T09:50:27.930Z,2023-04-17T09:55:27Z,4198113653,212,30.1,4198113649,140,42.3,4198113647,56,Back,4198113655,213,4.9,4198113651,141,4.7,,,,,,,,,,5osl9hgarpoek3ici17bq3nqh,Park Yong-Woo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535111053,6,1,1,0,7,86pmsqvfhj3t45uo4osr9hks9,1,40.9,4.9,2023-04-17T09:50:31.194Z,2023-04-17T09:55:32Z,4198113695,56,Back,4198113699,141,27.9,4198113703,213,2.5,4198113701,212,26.5,4198113697,140,20.5,,,,,,,,,,2t5jagwu3ghwwkz2r63tkfis5,Kim Tae-Hwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535111069,7,1,1,0,10,86pmsqvfhj3t45uo4osr9hks9,1,19.6,28.5,2023-04-17T09:50:34.121Z,2023-04-17T09:50:36Z,4198113775,140,11.8,4198113781,213,2.0,4198113773,56,Back,4198113779,212,22.1,4198113777,141,58.7,,,,,,,,,,7g27aztcta6kcxevz44b8lv4l,Kim Kee-Hee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535111079,8,1,1,0,12,86pmsqvfhj3t45uo4osr9hks9,1,12.1,58.5,2023-04-17T09:50:36.873Z,2023-04-17T09:55:50Z,4198113825,140,17.5,4198113823,56,Back,4198113829,212,14.0,4198113827,141,77.3,4198113831,213,1.2,,,,,,,,,,4cih000f65u36i7fm1sn0fob9,Jo Hyeon-Woo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
