id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/9/value,qualifier/8/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/16/value,qualifier/18/value
2538686051,1,34,16,0,0,cc7oug4s891gcp1r4mh00rw7x,1,0,0,2023-04-24T10:48:46.172Z,2023-04-24T10:48:46Z,4217139271,59,"1, 70, 32, 4, 6, 3, 8, 21, 19, 11, 17, 7, 9, 25, 26, 27, 28, 51",4217139279,197,3226,4217139269,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4217139275,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4217139281,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4217139277,194,b5wk02yjsdg5u1bu6quczvrop,4217139273,130,13,4217139267,30,"8mb4id7chmmjp2fc2q3dd3cdm, eupnshqf7ujeksy1vx1tojdas, dcypvcl318jto0a2gab18pbyt, b5wk02yjsdg5u1bu6quczvrop, 4h9sgnk9ccfzukbxauz8q4ycp, 37gb3dt84aa4vb77olca9vs2x, cc5c5mmpywxpgrb33oztcdgid, cpp2ta11whu3qer21wlyq68yd, 2t6k9fzod7v7mpbq3z9phqifp, 487v5lof1h2czoedlj0oyiind, dbez8vagahwb60g6agdhdm1ka, 6hfw11blpd6hhd06sfoogzemt, 8u7fz4ho9lsfaemd9mxjvdknp, 6fh3fcd5h6e9txpa4j1rfhck5, 53lbku4kt3amsxjwa5g8reswl, 1duiwq9o5e8sds5j08kgs3wt1, box34ask8r1uyj1hefhbox6cq, 751puiix23fhr7qh5gjghc55g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538687735,1,34,16,0,0,92h5si20tnxjtg4hj8cs97bpw,1,0,0,2023-04-24T10:53:17.556Z,2023-04-24T11:02:07Z,4217147999,194,53q7tgwwdclmp8mqr6uhpryl1,4217147991,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4217148003,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4217147989,30,"668f2py1qzypzm56csh8s04wl, 7ts0uh7r3qczq6qfwzjy8phhx, bwzjmefo4k42iieisyas48vdh, 7tb226aujwnbsbsrzbncnk9w4, acf6ssf3sj4z2fbt6krbbczbp, 74i6zd9vz9kcipubavbib9uc5, bqhazt8seel1clbtwmgacty50, 68axkq2o9fe65ew80jtj0xxp1, 3r0e8d9wswt7ygyc46es0u12h, 53q7tgwwdclmp8mqr6uhpryl1, 29bsxzz5d3tzi1we2uznh6jo4, b4kziyf6t4x8psrb1nvd0dl9l, 7x5i526fkxae3bqymfw06vf85, 99yrscdrulo9rty85p06mclat, 99z4lbnvzi2e6maoa7j3yy6ay, 223ln96k7nd83gd47ao1bbf8p, ei2p6tlhj81q4nstpv4s8oq5m, 2w0xyf9cv6flsujkyh3xwo5at",4217148001,197,7736,4217147993,59,"1, 17, 32, 30, 16, 20, 33, 8, 9, 7, 29, 2, 10, 13, 14, 18, 19, 41",4217147997,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4217147995,130,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538691839,2,32,1,0,0,cc7oug4s891gcp1r4mh00rw7x,1,0,0,2023-04-24T11:03:54.557Z,2023-04-24T11:03:56Z,4217168993,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538691831,2,32,1,0,0,92h5si20tnxjtg4hj8cs97bpw,1,0,0,2023-04-24T11:03:54.557Z,2023-04-27T23:36:50Z,4217168977,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538691853,3,1,1,0,0,92h5si20tnxjtg4hj8cs97bpw,1,50.1,50,2023-04-24T11:03:54.657Z,2023-04-24T11:03:57Z,4217169075,56,Back,4217169083,213,3.5,4217169081,212,13.4,4217169079,141,43.6,4217169077,140,38.0,4217169085,279,S,,,,,,,3r0e8d9wswt7ygyc46es0u12h,Yuri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538691871,4,1,1,0,1,92h5si20tnxjtg4hj8cs97bpw,1,38,43.6,2023-04-24T11:03:56.248Z,2023-04-24T11:03:58Z,4217169169,141,68.4,4217169173,212,21.2,4217169163,56,Back,4217169165,140,25.7,4217169175,213,2.2,,,,,,,,,,68axkq2o9fe65ew80jtj0xxp1,Lee Chang-Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538691911,5,1,1,0,4,92h5si20tnxjtg4hj8cs97bpw,1,28.5,68.7,2023-04-24T11:03:58.824Z,2023-04-24T11:04:04Z,4217169365,141,30.1,4217169367,212,26.9,4217169369,213,4.5,4217169361,56,Back,4217169363,140,23.0,,,,,,,,,,7tb226aujwnbsbsrzbncnk9w4,Kim Bong-Su,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538691917,6,50,1,0,9,92h5si20tnxjtg4hj8cs97bpw,1,24.6,15.4,2023-04-24T11:04:03.927Z,2023-04-24T11:04:08Z,4217169389,56,Back,4217169391,285,,4217169573,233,3,,,,,,,,,,,,,,,,74i6zd9vz9kcipubavbib9uc5,Kim Oh-Kyu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538691943,3,7,1,0,9,cc7oug4s891gcp1r4mh00rw7x,1,75.4,84.6,2023-04-24T11:04:03.928Z,2023-04-27T23:37:40Z,4217169505,56,Left,4217169503,167,,4217169537,233,6,4230625451,385,,4217169507,286,,,,,,,,,,,dbez8vagahwb60g6agdhdm1ka,Song Min-Kyu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538691949,4,5,1,0,10,cc7oug4s891gcp1r4mh00rw7x,0,79.3,101.8,2023-04-24T11:04:05.256Z,2023-04-24T13:14:43Z,4217169535,347,,4217169533,56,Left,4217169967,233,7,,,,,,,,,,,,,,,,dbez8vagahwb60g6agdhdm1ka,Song Min-Kyu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
