id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/11/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,assist,qualifier/15/value
2524483873,1,34,16,0,0,cz26xwowfjp8ei14n9z2ac135,1,0,0,2023-03-25T16:31:48.528Z,2023-03-25T18:01:09Z,4123097097,194,9ov9x5gap2t34kv8clhwjqvh1,4123097093,130,2,4123097087,30,"68a0jc6cin6hxx0bkdch9hc5x, 7mdnewy67dddv3ahqw1qhbx05, dfodeak21qhzgxr7qs85f3vf9, cnq88jph2nrn0o2tosrp4rmxh, 230r9tcwg89z5b9kxdqwi336d, stp0u46f1xc7a2mgvbkoy76x, 8rt7o6te5ltvzz2srt8kpu2g9, 9ov9x5gap2t34kv8clhwjqvh1, 29r8ofc6v5wms17o8vq6myw2d, 3fta0gg3ghja3x9ouubjjfzl5, e93vn46w6kk9xwdb8forgzil1, 19npqca9guxs7p2yl5sbjmbx1, 50ef8q2ctd099il4iq14i0cfd, cvuaoz9c41od4r0j3sajszsut, 3539ai0d63d8hiq0e1nrptb3e, f1xb9y38jfjmrhgv22svv9sa2, 54hjbtj3pm6a4qruhfsz6z3zd, 661dbl84kjewuzg0zkd62t0mi",4123237213,197,5225,4123097095,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4123097099,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4123097089,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4123097091,59,"1, 3, 2, 15, 22, 23, 8, 10, 14, 19, 26, 7, 11, 12, 17, 18, 21, 28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524484317,1,34,16,0,0,axwnneoekq2f2yq6r1l704y96,1,0,0,2023-03-25T16:32:29.888Z,2023-03-25T17:26:52Z,4123232757,197,8474,4123099377,59,"27, 2, 6, 10, 15, 21, 22, 12, 23, 7, 11, 5, 8, 9, 14, 17, 19, 28, 29, 32",4123099373,30,"eofeaerj2f8tm1xldw18e2o5x, 4ihrb3uj478vlzrbh94jj1i3t, 2s15k44faiinj3gz5tswtv4d1, 9ijnmgmapjcnctich86692tw5, 9t8eb24gwj56ucggp7x0n0ewa, bl6mkergo04815vpi73fgtwb9, c705ailfiov40xwoysz0ggct1, 1haq2mkmbebj3jbt0z2jom4lx, 5qxvej7pcqqr989sba7k0jv85, 2a45d0hq84uxfi5t9c65dw7vt, d29d4xtq3ib0nim6keirgdx3p, 3u2e56fhs12qok7truspt65zp, 5adluw93r1tx4n3ta3wyhj7bp, 9zdmc8v5sfrv9z7da49odn4a2, 13up673x1kzlwwi22awilagvd, 440p9vyf2bnhoivrea2biq9k9, 321yjdo3gio1l33hc1pdps4wl, 1234a1tb7y6trj9xsoqvx0x5h, 7eq281s0sa083qvx8tfwp7pat, el8c138wsa0bnop68caop5uxh",4123099375,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4123099381,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4123099379,130,8,4123099385,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4123099383,194,9ijnmgmapjcnctich86692tw5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524512959,2,32,1,0,0,cz26xwowfjp8ei14n9z2ac135,1,0,0,2023-03-25T17:31:57.212Z,2023-03-25T17:31:57Z,4123241943,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524512965,2,32,1,0,0,axwnneoekq2f2yq6r1l704y96,1,0,0,2023-03-25T17:31:57.212Z,2023-03-26T13:26:37Z,4123241957,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524512977,3,1,1,0,0,axwnneoekq2f2yq6r1l704y96,1,50.3,50.1,2023-03-25T17:31:57.312Z,2023-03-25T17:34:01Z,4123241969,56,Back,4123241971,140,38.6,4123241977,213,3.5,4123241973,141,43.1,4123241979,279,S,4123241975,212,13.2,,,,,,,5qxvej7pcqqr989sba7k0jv85,A. Russo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524513017,4,1,1,0,3,axwnneoekq2f2yq6r1l704y96,1,37.7,52.1,2023-03-25T17:32:00.644Z,2023-03-25T17:33:20Z,4123242105,141,83.9,4123242109,213,1.7,4123242107,212,21.8,4123242103,140,35.3,4123242101,56,Back,,,,,,,,,,9ijnmgmapjcnctich86692tw5,K. Zelem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524513033,5,1,1,0,5,axwnneoekq2f2yq6r1l704y96,1,37.2,87.6,2023-03-25T17:32:02.860Z,2023-03-26T13:29:53Z,4123242177,56,Back,4123242179,140,48.6,4123242181,141,89.6,4123242185,213,0.1,4123242183,212,12.0,,,,,,,,,,2s15k44faiinj3gz5tswtv4d1,H. Blundell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524513063,6,1,1,0,7,axwnneoekq2f2yq6r1l704y96,1,53.1,90.9,2023-03-25T17:32:04.804Z,2023-03-25T17:32:10Z,4123242255,212,3.5,4123242257,213,0.7,4123242253,141,94.1,4123242251,140,55.7,4123242249,56,Left,,,,,,,,,,2a45d0hq84uxfi5t9c65dw7vt,E. Toone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524513065,7,50,1,0,9,axwnneoekq2f2yq6r1l704y96,1,55.3,93.2,2023-03-25T17:32:06.685Z,2023-03-25T17:32:11Z,4123242335,233,3,4123242263,286,,4123242261,56,Left,,,,,,,,,,,,,,,,d29d4xtq3ib0nim6keirgdx3p,L. Galton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524513095,3,7,1,0,9,cz26xwowfjp8ei14n9z2ac135,1,44.7,6.8,2023-03-25T17:32:06.686Z,2023-03-26T13:30:09Z,4123242323,56,Back,4123242331,233,7,4123242321,167,,4123242325,285,,4124890087,385,,,,,,,,,,,9ov9x5gap2t34kv8clhwjqvh1,D. Brynjarsdóttir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
