id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,keyPass,qualifier/10/value,qualifier/8/value,assist,qualifier/14/value,qualifier/13/value
2537920977,1,34,16,0,0,bsbugp9qfasrrtg55bf7evvwv,1,0,0,2023-04-23T12:05:05.624Z,2023-04-23T13:42:04Z,4213076033,30,"5op3c93qca8mh67vkwrb3tvpx, 9aqn77y0knb58698qj46eee39, 16gnoas9x34hm887omkmeee39, 1o571356wx95l3qbpbe00o991, eje7ypyao1zalihq1b8y8161h, b0fb391qk3blyandllrxt6fh1, cannlc91eqjjy24i7keyvyaui, ce4cgftejsd46a0rahih0divp, blbeuhuw60c2dkx2ofl0xp82c, cdyp0hsm3q10ds5tv2ink2qxh, 3rh7yurfuhun7zvoymgjb7g7p, 6sq9uor68fca8nz7tes0vfdgp, 9parlijxpxnfis96jwy9p37bp, dly0s8kcg05jee3nkwnkd228l, 34vcol9n5hg1tv2v4tiq0et0q, dltovemexu20xdg1ff55b1ed, 6o0xf7vl4enney4rtwerkb5k9, 2eoggfnen5l1u32thxevo3sb8, 2g2xuwqmuz4ode16ndv9e00t0",4213076035,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",4213076047,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4213076041,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4213076045,197,5141,4213076037,59,"1, 9, 3, 27, 16, 17, 12, 23, 37, 51, 7, 2, 5, 11, 15, 18, 19, 30, 34",4213076039,130,2,4213076043,194,16gnoas9x34hm887omkmeee39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537929459,1,34,16,0,0,7kt37xy93vjy6wac8vq6fqz3g,1,0,0,2023-04-23T12:11:48.227Z,2023-04-23T12:11:48Z,4213119705,30,"ds8eeciyv1vk6nwh26qgy1lg5, avttb0ne86ra4pqruk0d8al05, bdiuv7a7j50drm3gsc9ne28dl, ekmg1wlig0qdtzhafm3lwsz4l, e6s5iphbrws04dxrvw0xqd7f9, 3c80px00lrpe84s9yurszqcid, bqbs20rirfi1eh7k7ss4pt0ix, 9x4qkir5sofsdi6jf3qdnvgx6, 27iu58a0k5jqsxidnaxbothbd, 8k21bzux0l41m2cdsuetbco9h, bmw6mvkeropjorm2rxzw2fzai, 8j67kyyfq5i300eeqbihgcqfp, 6flq1204p7494fm1ct06w6ket, 8zpj2ov0kc2d7a2b14ys2y8dl, 69nz7p1izpw4i8tle2c8hls2y, c4ptt043q3lm4npuwpyviprdh, e2lt71eeqb97hw6wnebjrrgt1, 24i5v2hlbeen8brcaa79oqjft",4213119711,130,4,4213119715,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4213119719,194,avttb0ne86ra4pqruk0d8al05,4213119721,197,726,4213119723,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4213119707,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4213119709,59,"18, 17, 27, 7, 20, 5, 28, 10, 25, 14, 11, 4, 8, 12, 15, 21, 22, 23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537978543,2,32,1,0,0,7kt37xy93vjy6wac8vq6fqz3g,1,0,0,2023-04-23T13:01:24.636Z,2023-04-23T13:01:26Z,4213374299,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537978525,2,32,1,0,0,bsbugp9qfasrrtg55bf7evvwv,1,0,0,2023-04-23T13:01:24.636Z,2023-04-23T13:01:24Z,4213374221,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537978631,3,1,1,0,0,bsbugp9qfasrrtg55bf7evvwv,1,50,50,2023-04-23T13:01:24.736Z,2023-04-23T13:01:28Z,4213374759,56,Back,4213374765,212,16.2,4213374761,140,36.6,4213374763,141,38.2,4213374769,279,S,4213374767,213,3.7,,,,,,,cdyp0hsm3q10ds5tv2ink2qxh,S. Troelsgaard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537978763,4,1,1,0,4,bsbugp9qfasrrtg55bf7evvwv,1,35.9,39.2,2023-04-23T13:01:28.695Z,2023-04-23T13:01:35Z,4213375481,140,9.5,4213375495,213,2.9,4213375491,212,28.3,4213375487,141,47.3,4213375479,56,Back,,,,,,,,,,1o571356wx95l3qbpbe00o991,J. Vanhaevermaet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537978855,5,1,1,0,11,bsbugp9qfasrrtg55bf7evvwv,1,13.4,42.8,2023-04-23T13:01:35.687Z,2023-04-23T13:01:38Z,4213375957,56,Back,4213375959,140,35.4,4213375965,213,5.5,4213375961,141,10.9,4213375955,155,,4213375963,212,31.7,,,,,,,5op3c93qca8mh67vkwrb3tvpx,G. Moloney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537978933,6,4,1,0,17,bsbugp9qfasrrtg55bf7evvwv,1,35.9,10,2023-04-23T13:01:41.771Z,2023-04-23T13:01:43Z,4213376457,233,3,4213376325,56,Back,4213376323,13,,4213376329,265,,4213376327,152,,4213376331,286,,,,,,,,16gnoas9x34hm887omkmeee39,E. Mukandi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537978945,3,4,1,0,17,7kt37xy93vjy6wac8vq6fqz3g,0,64.1,90,2023-04-23T13:01:41.772Z,2023-04-23T13:02:26Z,4213376385,265,,4213376383,152,,4213376379,56,Left,4213376375,13,,4213376501,233,6,4213376387,285,,,,,,,,bqbs20rirfi1eh7k7ss4pt0ix,K. Holmgaard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537979227,7,1,1,0,27,bsbugp9qfasrrtg55bf7evvwv,1,37.8,8.5,2023-04-23T13:01:52.063Z,2023-04-23T13:01:56Z,4213377791,213,6.3,4213377787,141,8.2,4213377789,212,21.1,4213377785,140,57.9,4213377781,152,,4213377779,5,,4213377783,56,Right,,,,16gnoas9x34hm887omkmeee39,E. Mukandi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
