id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/9/value,assist,qualifier/14/value,qualifier/12/value,qualifier/13/value
2524791969,1,34,16,0,0,bsbugp9qfasrrtg55bf7evvwv,1,0,0,2023-03-26T12:12:39.841Z,2023-03-26T12:59:23Z,4124721897,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4124721893,194,16gnoas9x34hm887omkmeee39,4124721885,130,13,4124721881,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",4124721879,30,"5op3c93qca8mh67vkwrb3tvpx, 6sq9uor68fca8nz7tes0vfdgp, 2jwojltrp06sa8qloordtohrd, 16gnoas9x34hm887omkmeee39, 9parlijxpxnfis96jwy9p37bp, eje7ypyao1zalihq1b8y8161h, cdyp0hsm3q10ds5tv2ink2qxh, 5vzr4dly8xl2hhybhel0comol, ce4cgftejsd46a0rahih0divp, 9aqn77y0knb58698qj46eee39, 3rh7yurfuhun7zvoymgjb7g7p, dly0s8kcg05jee3nkwnkd228l, cannlc91eqjjy24i7keyvyaui, 34vcol9n5hg1tv2v4tiq0et0q, b0fb391qk3blyandllrxt6fh1, 3q2zbn0eco577z0ss84g9f2s5, 1o571356wx95l3qbpbe00o991, 2eoggfnen5l1u32thxevo3sb8, 193rdm079hyxhkm8x6f205p1w",4124721891,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4124721883,59,"1, 2, 28, 3, 5, 16, 51, 20, 23, 9, 7, 11, 12, 15, 17, 25, 27, 30, 36",4124721895,197,5141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524792849,1,34,16,0,0,dcdnoyf6kzhj46iyfm7xq43fy,1,0,0,2023-03-26T12:14:52.077Z,2023-03-26T13:10:31Z,4124726105,59,"25, 16, 3, 8, 21, 5, 22, 7, 9, 10, 2, 1, 4, 12, 13, 14, 18, 20, 24, 51",4124811291,194,8iu9bdow1xgzswzl78cbioyxh,4124726109,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4124726111,197,17123,4124726101,30,"88k3tmpcg5ov13cd8b9rxyggl, 7b1gryih37fohrff85f13o4ph, 8lf62k2iwmb23gywex08s6m09, 7julfat1nytmjyt6ylz8xkh5h, 9egpxgjpxaa3dkgkzy8brq1re, 18f6a50q9okw7dcii40i8vd91, 5ye5h1o9ndhfeqdi8mh4f9une, 6kitz3oodxt3ejj5u0fwzhhat, 1yyfd17df158m5eymkechszpx, 8iu9bdow1xgzswzl78cbioyxh, 1vo1ye9ofjtt7avoll1cmc9re, czz8zqjv03gdbbxiadp90pq6t, 6038cudzzp36z0gsb621fp3sa, cluv8to27h67l6upuanv59bai, 92faf40oeermdhlvh8k482vo5, 8vr66twomklrat7c94k2knkr9, da8ymxqy00lunda8tq9oltuj9, an1ovi7c16xed4jqub6oxgclx, dn7zvdh0a5gsnrgjca32j2luc, 6e3bncv47qjjz7f2jfroaezo4",4124726113,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4124726107,130,5,4124726103,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524809999,2,32,1,0,0,dcdnoyf6kzhj46iyfm7xq43fy,1,0,0,2023-03-26T13:01:20.854Z,2023-03-26T13:01:21Z,4124815869,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524809997,2,32,1,0,0,bsbugp9qfasrrtg55bf7evvwv,1,0,0,2023-03-26T13:01:20.854Z,2023-03-26T13:01:21Z,4124815861,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524810055,3,1,1,0,0,dcdnoyf6kzhj46iyfm7xq43fy,1,49.9,50,2023-03-26T13:01:20.954Z,2023-03-26T13:01:28Z,4124816135,140,32.3,4124816141,213,3.4,4124816133,56,Back,4124816137,141,42.7,4124816145,279,S,4124816139,212,19.1,,,,,,,8iu9bdow1xgzswzl78cbioyxh,J. Olme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524810091,4,1,1,0,7,dcdnoyf6kzhj46iyfm7xq43fy,1,25.7,52.7,2023-03-26T13:01:28.615Z,2023-03-26T13:01:32Z,4124816339,213,1.8,4124816333,140,22.2,4124816337,212,13.8,4124816331,56,Back,4124816335,141,72.3,,,,,,,,,,9egpxgjpxaa3dkgkzy8brq1re,Z. Morse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524810099,5,1,1,0,11,dcdnoyf6kzhj46iyfm7xq43fy,0,23.5,88.1,2023-03-26T13:01:32.416Z,2023-03-26T13:01:33Z,4124816437,286,,4124816433,233,3,4124816373,56,Back,4124816377,141,91.7,4124816379,212,3.7,4124816381,213,0.7,4124816431,236,,4124816375,140,26.2,8lf62k2iwmb23gywex08s6m09,P. Pattinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524810097,3,74,1,0,11,bsbugp9qfasrrtg55bf7evvwv,1,64.1,4.4,2023-03-26T13:01:32.788Z,2023-03-26T13:01:33Z,4124816445,233,5,4124816371,285,,4124816369,56,Right,,,,,,,,,,,,,,,,6sq9uor68fca8nz7tes0vfdgp,F. Bryson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524810113,4,5,1,0,12,bsbugp9qfasrrtg55bf7evvwv,0,70.7,-1.4,2023-03-26T13:01:33.555Z,2023-03-26T13:01:44Z,4124816833,233,6,4124816463,347,,4124816461,56,Right,,,,,,,,,,,,,,,,6sq9uor68fca8nz7tes0vfdgp,F. Bryson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524810187,6,5,1,0,12,dcdnoyf6kzhj46iyfm7xq43fy,1,29.3,101.4,2023-03-26T13:01:33.729Z,2023-03-26T13:01:43Z,4124816815,347,,4124816817,233,4,4124816813,56,Back,,,,,,,,,,,,,,,,8lf62k2iwmb23gywex08s6m09,P. Pattinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
