id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/10/value,qualifier/11/value,assist,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2524766461,1,34,16,0,0,36tr17foeaf9ejjmt2txuoy3y,1,0,0,2023-03-26T10:43:04.370Z,2023-03-26T11:46:56Z,4124594359,59,"1, 14, 4, 25, 6, 5, 12, 7, 21, 9, 11, 2, 3, 8, 10, 13, 15, 22, 33, 41",4124594365,194,5vuw3lywsh90t394m8h6g5ihh,4124594367,197,1154,4124594363,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4124594361,130,4,4124594357,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4124594355,30,"20ccu2ngcfo3cvczhzk682ju1, bo5e35lsptja0pnlvk1y38dex, 470uu9issmbdfyhxjq75gdbs9, 7op9czmiln7ktmvetw97scz4l, 5vuw3lywsh90t394m8h6g5ihh, c6k1w8sothxmc08dbhqjzp1w5, 3ddo1m631pf9ruzzpaujs9gph, 7gmh6g5c39asg7gnthx1jxp79, cm84oje8txj7m34zuhhv68ct1, 8gxse7h6ucubo3weq7sp9dnf9, 10d8jj5vwrmib55tth0isfvft, 8hq106ex872xezlr1j901kpux, 1cyzpbgl74lage7toh7f1tgb9, brflebs8m00rgali2owyoyove, et72990p9axru09oxv51hokwl, 1to70vfsch5kwvw3kjgo1iggl, eb0h79vh5dwggjx7shj0ovetx, 6vqain7mmp94wueprv9aj5xp1, 6bcvcloym3tzxss5hgsw4h1at, a8p1m5xzbpbzere0gmb3rye0a",4124594369,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524768617,1,34,16,0,0,spi3g782q7m4evjxn1sv6cfa,1,0,0,2023-03-26T10:54:33.022Z,2023-03-26T11:45:04Z,4124606315,130,8,4124606317,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4124606323,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4124606309,30,"6fi5hacjc8lj8zej0d2lfq66t, daqovjw2z3rsq6rs1vq38980l, 9ohn9m84cy89huz745lirkted, amox5xqwe8gybft16wa7qbufp, 4wxqckb43bkeobwanys62zvmd, eincxi6xa1nrhr9qldtxboyqd, 9n2d2dv38kp2exb7z3xh2ykiy, 1tbavyz1q1hq1fqcoc3gijutx, 66f0rjs4c2yih8phn6meyj74l, cij18xj0bx2zyx3mi9xwykn9x, 1cfhmihovl78l8osqbo1w9nth, 6xrzl8rljlz8zmlaj69qqktlh, 6ypmyozp8zmq4tk36n49oz5xx, ek8x7y3jt0xcebttt75qi5exh, 2m6wew2746q1xsoio3703t8t1, c0my4y3kjf7jbbfujj5l8e8yx, eb16y0nh6ekr5yyrgfqigyq5l, 2hkkfeyzmu2pkqgjw3bpl7cnp",4124606319,194,eincxi6xa1nrhr9qldtxboyqd,4124606321,197,10448,4124606311,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4124606313,59,"30, 18, 7, 5, 26, 16, 10, 8, 20, 22, 11, 1, 15, 17, 19, 21, 27, 28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524782069,2,32,1,0,0,36tr17foeaf9ejjmt2txuoy3y,1,0,0,2023-03-26T11:41:17.995Z,2023-03-26T23:10:21Z,4124673449,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524782071,2,32,1,0,0,spi3g782q7m4evjxn1sv6cfa,1,0,0,2023-03-26T11:41:17.995Z,2023-03-26T11:41:19Z,4124673457,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524782103,3,1,1,0,1,36tr17foeaf9ejjmt2txuoy3y,1,49.9,49.9,2023-03-26T11:41:19.095Z,2023-03-26T23:10:59Z,4124673613,213,3.2,4124673611,212,16.4,4124673609,141,49.3,4124673615,279,S,4124673607,140,34.3,4124673605,56,Back,,,,,,,cm84oje8txj7m34zuhhv68ct1,K. Shaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524782111,4,1,1,0,4,36tr17foeaf9ejjmt2txuoy3y,1,35.3,50.9,2023-03-26T11:41:22.495Z,2023-03-26T11:41:23Z,4124673641,140,30.2,4124673653,213,2.1,4124673649,212,11.2,4124673637,56,Back,4124673645,141,65.4,,,,,,,,,,7op9czmiln7ktmvetw97scz4l,Y. Hasegawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524782135,5,1,1,0,5,36tr17foeaf9ejjmt2txuoy3y,1,30.2,65.4,2023-03-26T11:41:23.687Z,2023-03-26T11:41:30Z,4124673799,212,20.0,4124673797,141,36.1,4124673795,140,29.2,4124673801,213,4.7,4124673793,56,Back,,,,,,,,,,c6k1w8sothxmc08dbhqjzp1w5,A. Greenwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524782149,6,1,1,0,12,36tr17foeaf9ejjmt2txuoy3y,1,31.4,36.4,2023-03-26T11:41:30.319Z,2023-03-26T11:41:33Z,4124673875,141,53.0,4124673867,56,Back,4124673877,212,20.4,4124673881,213,2.6,4124673871,140,15.2,,,,,,,,,,5vuw3lywsh90t394m8h6g5ihh,S. Houghton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524782173,7,1,1,0,15,36tr17foeaf9ejjmt2txuoy3y,1,14.8,54.3,2023-03-26T11:41:33.615Z,2023-03-26T11:41:37Z,4124673985,212,15.0,4124673987,213,5.2,4124673979,56,Back,4124673981,140,20.9,4124673983,141,34.3,,,,,,,,,,20ccu2ngcfo3cvczhzk682ju1,E. Roebuck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524782183,8,1,1,0,19,36tr17foeaf9ejjmt2txuoy3y,0,24.8,28.9,2023-03-26T11:41:37.232Z,2023-03-26T11:41:39Z,4124674053,212,50.8,4124674045,155,,4124674051,141,28.8,4124674049,140,73.2,4124674047,56,Center,4124674055,213,6.3,4124674057,1,,,,,5vuw3lywsh90t394m8h6g5ihh,S. Houghton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
