id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,assist,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,keyPass,qualifier/9/value,qualifier/12/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/10/value,qualifier/16/value,qualifier/17/value
2488817409,1,34,16,0,0,28u3q82ip96ahymkup01vfxli,1,0,0,2022-12-03T14:25:32.039Z,2022-12-03T16:02:23Z,3932635491,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3932635483,30,"7n8jink50lk1tivoqpe57h32t, 4lfk4hy1a6ig3izoq3mgl9zhl, 3upyu7hn2q7voapvgtlnl1yad, 3km1u2mw1tkioh2mucow7d1pl, d3qtg5xhiwe3zamb4mh50whjp, 9bluldps4u93urd4x9p0xk4id, 7m31qpkmuh3amb6navttdlvpx, 2hoa4v8810rmsbi85pfanyfl6, c7giuh90mnvajsobobcbx4ley, 1ct6g590mpcg14jw94v4g2tm2, 32qdycwtlahk754bdqjsowduc, 9mjnqdz7dqs3ymr7bvec7lbkl, 6k1s7y9dnzdpppppdco7bgudx, 6zu0f63ej8pixk97nfzrexiad, 8xlmd18k335ypz59olrdjhcve, 7f7tbbjqhhyydjj4wurm28xcl, 8ctokja53x311jvllpdh6v4yd, dkjsgguge2u6wrt9epktjqbys, cxn46t7y57p1u243wp7dy8ydw, 7l34xmrhlyosdxfc7j3rru609",3932635495,197,9086,3932635489,130,4,3932635487,59,"1, 13, 23, 3, 15, 6, 10, 8, 16, 20, 32, 2, 4, 7, 12, 21, 28, 34, 40, 44",3932635493,194,7m31qpkmuh3amb6navttdlvpx,3932635499,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3932635485,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488818749,1,34,16,0,0,spi3g782q7m4evjxn1sv6cfa,1,0,0,2022-12-03T14:28:41.298Z,2022-12-03T15:16:08Z,3932642649,59,"30, 19, 21, 16, 4, 15, 14, 5, 20, 17, 11, 1, 3, 7, 9, 10, 13, 22, 27, 28",3932642657,197,12754,3932642655,194,eincxi6xa1nrhr9qldtxboyqd,3932642651,130,13,3932642659,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3932642647,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3932642653,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3932642645,30,"6fi5hacjc8lj8zej0d2lfq66t, 2m6wew2746q1xsoio3703t8t1, c0my4y3kjf7jbbfujj5l8e8yx, eincxi6xa1nrhr9qldtxboyqd, anghujtc4achyb9mflowgg9n9, 6ypmyozp8zmq4tk36n49oz5xx, 8m3okb64mh1m7dfmp0km4wct1, amox5xqwe8gybft16wa7qbufp, 66f0rjs4c2yih8phn6meyj74l, ek8x7y3jt0xcebttt75qi5exh, 1cfhmihovl78l8osqbo1w9nth, 6xrzl8rljlz8zmlaj69qqktlh, 1euxm106eodeidsr5gor1kbmd, 9ohn9m84cy89huz745lirkted, ctzcuzproy4kwpa5wweruw3px, 9n2d2dv38kp2exb7z3xh2ykiy, 9gquu0c64ha2dtrwt5jv2vdn9, cij18xj0bx2zyx3mi9xwykn9x, eb16y0nh6ekr5yyrgfqigyq5l, 2hkkfeyzmu2pkqgjw3bpl7cnp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488834471,2,32,1,0,0,28u3q82ip96ahymkup01vfxli,1,0,0,2022-12-03T15:01:42.201Z,2022-12-03T15:01:43Z,3932722365,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488834449,2,32,1,0,0,spi3g782q7m4evjxn1sv6cfa,1,0,0,2022-12-03T15:01:42.201Z,2022-12-03T15:01:42Z,3932722275,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488834507,3,1,1,0,0,28u3q82ip96ahymkup01vfxli,1,49.9,50,2022-12-03T15:01:42.301Z,2022-12-03T15:01:46Z,3932722517,140,36.5,3932722523,213,3.5,3932722515,56,Back,3932722519,141,42.1,3932722521,212,15.1,3932722525,279,S,,,,,,,32qdycwtlahk754bdqjsowduc,A. Baker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488834517,4,1,1,0,4,28u3q82ip96ahymkup01vfxli,0,36.5,42.1,2022-12-03T15:01:46.580Z,2022-12-03T15:01:47Z,3932722585,1,,3932722581,212,45.3,3932722579,141,31.3,3932722573,157,,3932722575,56,Center,3932722583,213,6.1,3932722577,140,79.1,,,,2hoa4v8810rmsbi85pfanyfl6,M. Pike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488834539,3,1,1,0,5,spi3g782q7m4evjxn1sv6cfa,0,26.9,62.1,2022-12-03T15:01:47.903Z,2022-12-03T15:01:50Z,3932722687,212,28.9,3932722679,56,Center,3932722685,141,77.3,3932722683,140,52.6,3932722677,3,,3932722689,213,0.4,,,,,,,anghujtc4achyb9mflowgg9n9,M. Bright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488834581,4,49,1,0,10,spi3g782q7m4evjxn1sv6cfa,1,64.9,94.2,2022-12-03T15:01:52.358Z,2022-12-03T15:01:52Z,,,,,,,,,,,,,,,,,,,,,,,,,1cfhmihovl78l8osqbo1w9nth,G. Reiten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488834699,5,1,1,0,11,spi3g782q7m4evjxn1sv6cfa,0,66,96,2022-12-03T15:01:54.055Z,2022-12-03T15:01:59Z,3932723441,1,,3932723437,212,34.9,3932723431,56,Left,3932723429,155,,3932723435,141,98.6,3932723433,140,99.2,3932723439,213,0.1,,,,1cfhmihovl78l8osqbo1w9nth,G. Reiten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488835133,13,81,1,0,12,spi3g782q7m4evjxn1sv6cfa,0,99.7,99.2,2022-12-03T15:01:54.846Z,2022-12-03T15:02:38Z,3932725677,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
