id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/8/value,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,assist,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId
2503577167,1,34,16,0,0,28u3q82ip96ahymkup01vfxli,1,0,0,2023-02-04T10:46:51.009Z,2023-02-04T11:32:43Z,4010480035,59,"33, 4, 2, 6, 15, 22, 16, 3, 21, 10, 20, 1, 8, 13, 14, 23, 28, 32, 34",4010480037,130,8,4010480043,197,9086,4010480031,30,"avud4qv9xovwlr2pxc8fcmiuh, 6k1s7y9dnzdpppppdco7bgudx, 4r1z04gidueqs684yxeyrq8ve, eqcpu383wnbhhcjssk6pn1695, d3qtg5xhiwe3zamb4mh50whjp, 8hmqpyniap0whyfhco0dhp3v9, c7giuh90mnvajsobobcbx4ley, 3km1u2mw1tkioh2mucow7d1pl, 7f7tbbjqhhyydjj4wurm28xcl, 7m31qpkmuh3amb6navttdlvpx, 1ct6g590mpcg14jw94v4g2tm2, 7n8jink50lk1tivoqpe57h32t, 2hoa4v8810rmsbi85pfanyfl6, 4lfk4hy1a6ig3izoq3mgl9zhl, 9mfotw533oa5qs1muu2z8t8lx, 3upyu7hn2q7voapvgtlnl1yad, 8ctokja53x311jvllpdh6v4yd, 32qdycwtlahk754bdqjsowduc, dkjsgguge2u6wrt9epktjqbys",4010480041,194,7m31qpkmuh3amb6navttdlvpx,4010480039,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4010480033,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",4010480045,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503579649,1,34,16,0,0,36tr17foeaf9ejjmt2txuoy3y,1,0,0,2023-02-04T10:59:08.595Z,2023-02-04T11:30:27Z,4010493155,30,"20ccu2ngcfo3cvczhzk682ju1, 8hq106ex872xezlr1j901kpux, 470uu9issmbdfyhxjq75gdbs9, 3ddo1m631pf9ruzzpaujs9gph, 5vuw3lywsh90t394m8h6g5ihh, c6k1w8sothxmc08dbhqjzp1w5, 8gxse7h6ucubo3weq7sp9dnf9, 7op9czmiln7ktmvetw97scz4l, cm84oje8txj7m34zuhhv68ct1, et72990p9axru09oxv51hokwl, 10d8jj5vwrmib55tth0isfvft, 7gmh6g5c39asg7gnthx1jxp79, brflebs8m00rgali2owyoyove, 1to70vfsch5kwvw3kjgo1iggl, eb0h79vh5dwggjx7shj0ovetx, 6vqain7mmp94wueprv9aj5xp1, a8p1m5xzbpbzere0gmb3rye0a",4010493169,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4010493163,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",4010493157,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5",4010493161,130,8,4010493159,59,"1, 2, 4, 12, 6, 5, 9, 25, 21, 10, 11, 7, 8, 13, 15, 22, 41",4010493165,194,5vuw3lywsh90t394m8h6g5ihh,4010493167,197,4268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503589161,2,32,1,0,0,36tr17foeaf9ejjmt2txuoy3y,1,0,0,2023-02-04T11:30:10.369Z,2023-02-04T11:30:10Z,4010541875,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503589165,2,32,1,0,0,28u3q82ip96ahymkup01vfxli,1,0,0,2023-02-04T11:30:10.369Z,2023-02-04T11:30:12Z,4010541881,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503589169,3,1,1,0,0,36tr17foeaf9ejjmt2txuoy3y,1,49.9,49.9,2023-02-04T11:30:10.469Z,2023-02-04T11:30:12Z,4010541923,213,3.3,4010541919,141,47.5,4010541921,212,13.4,4010541917,140,37.2,4010541925,279,S,4010541915,56,Back,,,,,,,cm84oje8txj7m34zuhhv68ct1,K. Shaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503589181,4,1,1,0,2,36tr17foeaf9ejjmt2txuoy3y,1,37.2,47.5,2023-02-04T11:30:12.749Z,2023-02-04T11:30:15Z,4010541971,140,24.0,4010541975,212,17.4,4010541977,213,2.5,4010541969,56,Back,4010541973,141,62.9,,,,,,,,,,7op9czmiln7ktmvetw97scz4l,Y. Hasegawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503589197,5,1,1,0,5,36tr17foeaf9ejjmt2txuoy3y,1,24,62.9,2023-02-04T11:30:15.781Z,2023-02-04T11:30:17Z,4010542037,212,9.2,4010542035,141,53.6,4010542031,56,Back,4010542033,140,30.4,4010542039,213,5.5,,,,,,,,,,470uu9issmbdfyhxjq75gdbs9,Laia Aleixandri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503589215,6,1,1,0,6,36tr17foeaf9ejjmt2txuoy3y,1,30.4,53.6,2023-02-04T11:30:17.333Z,2023-02-04T11:30:20Z,4010542141,140,34.6,4010542145,212,4.6,4010542147,213,0.3,4010542139,56,Back,4010542143,141,55.6,,,,,,,,,,7op9czmiln7ktmvetw97scz4l,Y. Hasegawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503589219,7,4,1,0,9,36tr17foeaf9ejjmt2txuoy3y,1,39.2,55.5,2023-02-04T11:30:19.912Z,2023-02-04T11:30:21Z,4010542169,56,Back,4010542175,286,,4010542171,152,,4010542189,233,3,4010542173,265,,4010542167,13,,,,,,,,et72990p9axru09oxv51hokwl,D. Castellanos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503589209,3,4,1,0,9,28u3q82ip96ahymkup01vfxli,0,60.8,44.5,2023-02-04T11:30:19.913Z,2023-02-04T11:30:21Z,4010542119,285,,4010542113,56,Center,4010542211,233,7,4010542117,265,,4010542115,152,,4010542111,13,,,,,,,,3km1u2mw1tkioh2mucow7d1pl,S. Tierney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
